읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조승래,미래통합당장동혁,우리공화당양순옥,민중당김선재,국가혁명배당금당김병수,계,무효투표수,기권수
합계,,148801,99185,55463,39588,368,2148,549,98116,1069,49616
거소·선상투표,,249,237,131,83,3,8,4,229,8,12
관외사전투표,,12617,12613,7947,4027,45,296,93,12408,205,4
국외부재자투표,,470,84,65,15,1,1,0,82,2,386
국외부재자투표(공관),,0,6,2,3,0,1,0,6,0,-6
진잠동,소계,26211,15577,8500,6517,79,243,83,15422,155,10634
,관내사전투표,3939,3939,2429,1369,16,64,18,3896,43,0
,진잠동제1투,3319,1324,637,625,11,27,9,1309,15,1995
,진잠동제2투,2573,1426,808,556,7,31,9,1411,15,1147
,진잠동제3투,2495,1441,760,623,12,17,7,1419,22,1054
,진잠동제4투,2633,1066,468,563,3,14,9,1057,9,1567
,진잠동제5투,398,245,100,137,2,1,1,241,4,153
,진잠동제6투,558,314,130,172,2,1,3,308,6,244
,진잠동제7투,3029,1772,999,705,10,33,8,1755,17,1257
,진잠동제8투,2955,1671,920,687,10,30,11,1658,13,1284
,진잠동제9투,4312,2379,1249,1080,6,25,8,2368,11,1933
온천1동,소계,29506,17079,8904,7347,68,409,117,16845,234,12427
,관내사전투표,6025,6023,3506,2283,15,129,26,5959,64,2
,온천1동제1투,3613,1539,697,750,12,35,15,1509,30,2074
,온천1동제2투,3843,1750,793,867,12,38,16,1726,24,2093
,온천1동제3투,3670,2038,949,1002,10,35,13,2009,29,1632
,온천1동제4투,3650,1549,713,739,10,46,19,1527,22,2101
,온천1동제5투,3679,1632,942,590,3,54,15,1604,28,2047
,온천1동제6투,3093,1445,697,678,5,43,6,1429,16,1648
,온천1동제7투,1933,1103,607,438,1,29,7,1082,21,830
온천2동,소계,29616,19667,10590,8167,80,538,94,19469,198,9949
,관내사전투표,4942,4942,3063,1680,11,124,20,4898,44,0
,온천2동제1투,3178,1447,678,694,9,37,14,1432,15,1731
,온천2동제2투,2953,1636,740,813,7,42,11,1613,23,1317
,온천2동제3투,2480,1258,625,525,8,70,8,1236,22,1222
,온천2동제4투,1737,1069,518,484,20,32,4,1058,11,668
,온천2동제5투,1826,1246,612,587,7,26,4,1236,10,580
,온천2동제6투,2082,1279,675,541,5,34,5,1260,19,803
,온천2동제7투,3227,1910,956,874,2,55,7,1894,16,1317
,온천2동제8투,2633,1717,968,687,6,38,7,1706,11,916
,온천2동제9투,2437,1722,881,760,2,56,9,1708,14,715
,온천2동제10투,2121,1441,874,522,3,24,5,1428,13,680
노은1동,소계,16668,11716,6942,4337,30,248,66,11623,93,4952
,관내사전투표,4881,4881,3271,1465,12,100,13,4861,20,0
,노은1동제1투,2567,1369,841,455,4,37,14,1351,18,1198
,노은1동제2투,2623,1742,910,771,3,38,9,1731,11,881
,노은1동제3투,3549,1959,1119,744,7,46,16,1932,27,1590
,노은1동제4투,3048,1765,801,902,4,27,14,1748,17,1283
원신흥동,소계,33464,22201,12381,9091,62,404,92,22030,171,11263
,관내사전투표,6996,6996,4406,2415,15,100,19,6955,41,0
,원신흥동제1투,3388,1956,1037,851,12,33,11,1944,12,1432
,원신흥동제2투,3346,1811,982,755,12,34,14,1797,14,1535
,원신흥동제3투,3534,2190,1131,990,4,41,7,2173,17,1344
,원신흥동제4투,3094,2158,931,1178,2,31,6,2148,10,936
,원신흥동제5투,3993,1850,1019,717,8,62,15,1821,29,2143
,원신흥동제6투,3772,1999,1266,661,2,42,9,1980,19,1773
,원신흥동제7투,3098,1997,1025,905,6,34,8,1978,19,1101
,원신흥동제8투,2243,1244,584,619,1,27,3,1234,10,999
잘못 투입·구분된 투표지,,0,5,1,1,0,0,0,2,3,-5
