읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당황운하,미래통합당이은권,국가혁명배당금당홍세영,계,무효투표수,기권수
합계,,205922,133503,66306,63498,1996,131800,1703,72419
거소·선상투표,,370,348,162,155,18,335,13,22
관외사전투표,,11921,11915,7325,4120,239,11684,231,6
국외부재자투표,,529,118,86,29,2,117,1,411
국외부재자투표(공관),,0,17,11,6,0,17,0,-17
은행선화동,소계,14228,7621,3911,3505,105,7521,100,6607
,관내사전투표,2447,2447,1441,953,23,2417,30,0
,은행선화동제1투,3638,1660,805,801,34,1640,20,1978
,은행선화동제2투,3175,1425,679,701,23,1403,22,1750
,은행선화동제3투,3230,1471,691,740,20,1451,20,1759
,은행선화동제4투,1738,618,295,310,5,610,8,1120
목동,소계,10674,7506,4353,3002,88,7443,63,3168
,관내사전투표,3296,3296,2163,1085,24,3272,24,0
,목동제1투,1874,1066,534,509,14,1057,9,808
,목동제2투,2994,1523,833,646,26,1505,18,1471
,목동제3투,2510,1621,823,762,24,1609,12,889
중촌동,소계,11249,7225,3643,3379,113,7135,90,4024
,관내사전투표,2302,2302,1298,947,30,2275,27,0
,중촌동제1투,1428,716,288,415,6,709,7,712
,중촌동제2투,1549,942,482,441,10,933,9,607
,중촌동제3투,2432,1235,544,646,27,1217,18,1197
,중촌동제4투,2338,1311,719,565,17,1301,10,1027
,중촌동제5투,1200,719,312,365,23,700,19,481
대흥동,소계,11592,7035,3690,3163,104,6957,78,4557
,관내사전투표,2898,2898,1708,1132,34,2874,24,0
,대흥동제1투,3444,1380,675,662,25,1362,18,2064
,대흥동제2투,2177,1044,458,538,26,1022,22,1133
,대흥동제3투,3073,1713,849,831,19,1699,14,1360
문창동,소계,4317,2579,1165,1317,54,2536,43,1738
,관내사전투표,884,884,477,390,11,878,6,0
,문창동제1투,1475,651,260,362,16,638,13,824
,문창동제2투,1958,1044,428,565,27,1020,24,914
석교동,소계,13594,7879,3529,4092,143,7764,115,5715
,관내사전투표,2518,2518,1285,1170,37,2492,26,0
,석교동제1투,2206,1015,429,541,21,991,24,1191
,석교동제2투,2128,988,427,521,23,971,17,1140
,석교동제3투,1997,873,366,482,14,862,11,1124
,석교동제4투,2394,1236,497,708,16,1221,15,1158
,석교동제5투,2351,1249,525,670,32,1227,22,1102
대사동,소계,4707,2705,1129,1494,39,2662,43,2002
,관내사전투표,887,887,415,457,5,877,10,0
,대사동제1투,2177,1123,403,678,23,1104,19,1054
,대사동제2투,1643,695,311,359,11,681,14,948
부사동,소계,5938,3492,1560,1803,68,3431,61,2446
,관내사전투표,1362,1362,711,614,17,1342,20,0
,부사동제1투,2185,1114,433,632,23,1088,26,1071
,부사동제2투,2391,1016,416,557,28,1001,15,1375
용두동,소계,8651,5552,2815,2585,72,5472,80,3099
,관내사전투표,2410,2410,1323,1042,21,2386,24,0
,용두동제1투,1999,1058,534,495,16,1045,13,941
,용두동제2투,1719,765,333,395,16,744,21,954
,용두동제3투,2523,1319,625,653,19,1297,22,1204
오류동,소계,8845,5860,2722,3007,73,5802,58,2985
,관내사전투표,2533,2533,1301,1195,12,2508,25,0
,오류동제1투,2280,999,449,519,20,988,11,1281
,오류동제2투,2100,1293,510,759,15,1284,9,807
,오류동제3투,1932,1035,462,534,26,1022,13,897
태평1동,소계,10684,7166,3773,3227,100,7100,66,3518
,관내사전투표,2554,2554,1486,1028,21,2535,19,0
,태평1동제1투,2210,1255,647,567,27,1241,14,955
,태평1동제2투,2020,978,400,546,19,965,13,1042
,태평1동제3투,2360,1455,748,676,17,1441,14,905
,태평1동제4투,1540,924,492,410,16,918,6,616
태평2동,소계,19583,13339,6229,6843,140,13212,127,6244
,관내사전투표,4404,4404,2348,1990,37,4375,29,0
,태평2동제1투,1637,821,304,494,12,810,11,816
,태평2동제2투,2057,1179,493,649,20,1162,17,878
,태평2동제3투,2537,1398,629,737,12,1378,20,1139
,태평2동제4투,2902,1666,752,886,15,1653,13,1236
,태평2동제5투,2707,1743,733,977,15,1725,18,964
,태평2동제6투,3339,2128,970,1110,29,2109,19,1211
유천1동,소계,6906,4228,2019,2094,55,4168,60,2678
,관내사전투표,2169,2169,1139,977,23,2139,30,0
,유천1동제1투,2748,1215,520,661,18,1199,16,1533
,유천1동제2투,1989,844,360,456,14,830,14,1145
유천2동,소계,11388,7260,3170,3896,104,7170,90,4128
,관내사전투표,2466,2466,1229,1176,27,2432,34,0
,유천2동제1투,1438,710,295,396,9,700,10,728
,유천2동제2투,2053,953,365,551,24,940,13,1100
,유천2동제3투,2445,1261,572,647,22,1241,20,1184
,유천2동제4투,2986,1870,709,1126,22,1857,13,1116
문화1동,소계,17022,11694,5697,5746,130,11573,121,5328
,관내사전투표,3886,3886,2147,1666,36,3849,37,0
,문화1동제1투,3297,1899,857,1007,17,1881,18,1398
,문화1동제2투,1443,796,378,395,13,786,10,647
,문화1동제3투,2146,1210,547,615,27,1189,21,936
,문화1동제4투,3129,2057,940,1080,17,2037,20,1072
,문화1동제5투,3121,1846,828,983,20,1831,15,1275
문화2동,소계,11010,6912,3250,3471,105,6826,86,4098
,관내사전투표,2825,2825,1524,1240,34,2798,27,0
,문화2동제1투,1533,737,291,413,21,725,12,796
,문화2동제2투,2658,1417,607,773,17,1397,20,1241
,문화2동제3투,2003,933,420,488,13,921,12,1070
,문화2동제4투,1991,1000,408,557,20,985,15,991
산성동,소계,22714,13050,6067,6562,244,12873,177,9664
,관내사전투표,3400,3399,1812,1509,39,3360,39,1
,산성동제1투,1972,906,355,516,21,892,14,1066
,산성동제2투,2227,1070,478,564,16,1058,12,1157
,산성동제3투,2950,1311,543,718,32,1293,18,1639
,산성동제4투,2624,1596,707,850,17,1574,22,1028
,산성동제5투,2433,1187,529,621,26,1176,11,1246
,산성동제6투,3152,1621,785,759,51,1595,26,1531
,산성동제7투,3130,1531,719,762,32,1513,18,1599
,산성동제8투,826,429,139,263,10,412,17,397
잘못 투입·구분된 투표지,,0,2,0,2,0,2,0,-2
