읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박경미,미래통합당박성중,민생당이정호,국가혁명배당금당이진호,계,무효투표수,기권수
합계,,196164,140056,62442,74445,1105,733,138725,1331,56108
거소·선상투표,,280,266,123,121,8,4,256,10,14
관외사전투표,,16020,15999,8731,6806,152,107,15796,203,21
국외부재자투표,,1935,420,209,208,2,0,419,1,1515
국외부재자투표(공관),,0,13,8,5,0,0,13,0,-13
서초1동,소계,17094,11687,4914,6526,98,41,11579,108,5407
,관내사전투표,4562,4561,2373,2102,35,14,4524,37,1
,서초1동제1투,3863,2236,747,1449,14,6,2216,20,1627
,서초1동제2투,2990,1716,653,1019,17,10,1699,17,1274
,서초1동제3투,2990,1664,533,1099,15,3,1650,14,1326
,서초1동제4투,2689,1510,608,857,17,8,1490,20,1179
서초2동,소계,14630,9823,3936,5701,64,41,9742,81,4807
,관내사전투표,3432,3432,1690,1700,15,9,3414,18,0
,서초2동제1투,1600,1052,288,736,8,7,1039,13,548
,서초2동제2투,3110,1505,665,796,18,11,1490,15,1605
,서초2동제3투,3292,2005,794,1173,7,9,1983,22,1287
,서초2동제4투,3196,1829,499,1296,16,5,1816,13,1367
서초3동,소계,24748,17013,6740,9938,114,78,16870,143,7735
,관내사전투표,5526,5524,2759,2694,19,18,5490,34,2
,서초3동제1투,2912,1694,369,1297,8,3,1677,17,1218
,서초3동제2투,2556,1586,604,936,19,13,1572,14,970
,서초3동제3투,2603,1630,544,1045,16,8,1613,17,973
,서초3동제4투,2476,1493,565,888,10,13,1476,17,983
,서초3동제5투,2826,1644,649,954,18,8,1629,15,1182
,서초3동제6투,3612,1932,803,1091,13,8,1915,17,1680
,서초3동제7투,2237,1510,447,1033,11,7,1498,12,727
서초4동,소계,22481,15802,4560,11002,97,38,15697,105,6679
,관내사전투표,3500,3499,1392,2063,21,6,3482,17,1
,서초4동제1투,3546,1733,504,1205,9,5,1723,10,1813
,서초4동제2투,3309,2247,588,1611,19,9,2227,20,1062
,서초4동제3투,3026,2093,424,1634,11,1,2070,23,933
,서초4동제4투,2808,2008,407,1574,10,9,2000,8,800
,서초4동제5투,3457,2179,582,1561,17,5,2165,14,1278
,서초4동제6투,2835,2043,663,1354,10,3,2030,13,792
방배2동,소계,16653,11966,5904,5746,115,76,11841,125,4687
,관내사전투표,4062,4062,2470,1512,31,19,4032,30,0
,방배2동제1투,2443,1254,546,661,10,17,1234,20,1189
,방배2동제2투,1350,770,362,378,9,9,758,12,580
,방배2동제3투,1350,795,345,420,9,8,782,13,555
,방배2동제4투,2456,1737,723,982,11,5,1721,16,719
,방배2동제5투,1991,1144,557,551,14,7,1129,15,847
,방배2동제6투,1805,1385,525,831,14,2,1372,13,420
,방배2동제7투,1196,819,376,411,17,9,813,6,377
방배3동,소계,16775,11932,4498,7189,91,50,11828,104,4843
,관내사전투표,3793,3793,1717,2011,28,9,3765,28,0
,방배3동제1투,2466,1589,360,1198,14,3,1575,14,877
,방배3동제2투,2548,1777,576,1167,11,6,1760,17,771
,방배3동제3투,1575,792,206,567,3,6,782,10,783
,방배3동제4투,1863,1111,495,588,8,11,1102,9,752
,방배3동제5투,2825,1787,734,1017,17,7,1775,12,1038
,방배3동제6투,1705,1083,410,641,10,8,1069,14,622
양재1동,소계,32900,22702,11036,11092,191,135,22454,248,10198
,관내사전투표,5250,5249,3033,2129,32,25,5219,30,1
,양재1동제1투,2385,1400,634,725,9,9,1377,23,985
,양재1동제2투,2945,1799,860,878,20,10,1768,31,1146
,양재1동제3투,2320,1355,520,801,16,4,1341,14,965
,양재1동제4투,2672,1840,728,1068,14,5,1815,25,832
,양재1동제5투,3273,2047,975,1012,11,21,2019,28,1226
,양재1동제6투,2527,1386,597,729,12,21,1359,27,1141
,양재1동제7투,2447,1486,451,998,17,7,1473,13,961
,양재1동제8투,2843,1929,1016,867,14,15,1912,17,914
,양재1동제9투,3457,2332,1146,1138,22,8,2314,18,1125
,양재1동제10투,2781,1879,1076,747,24,10,1857,22,902
양재2동,소계,18696,12459,7102,5027,104,103,12336,123,6237
,관내사전투표,4903,4903,3231,1581,29,31,4872,31,0
,양재2동제1투,2741,1320,662,618,7,16,1303,17,1421
,양재2동제2투,2338,1354,675,631,11,15,1332,22,984
,양재2동제3투,3012,1712,863,782,31,17,1693,19,1300
,양재2동제4투,2966,1721,892,789,11,14,1706,15,1245
,양재2동제5투,2736,1449,779,626,15,10,1430,19,1287
내곡동,소계,13952,9957,4672,5078,69,60,9879,78,3995
,관내사전투표,4188,4188,2252,1865,25,20,4162,26,0
,내곡동제1투,1491,755,235,500,3,8,746,9,736
,내곡동제2투,2407,1531,615,892,10,7,1524,7,876
,내곡동제3투,2941,1784,801,936,15,12,1764,20,1157
,내곡동제4투,2925,1699,769,885,16,13,1683,16,1226
잘못 투입·구분된 투표지,,0,17,9,6,0,0,15,2,-17
