읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박무성,미래통합당백종헌,민생당노창동,정의당신수영,국가혁명배당금당이재화,계,무효투표수,기권수
합계,,210078,144002,57459,77048,3544,3078,1046,142175,1827,66076
거소·선상투표,,465,442,189,188,23,20,9,429,13,23
관외사전투표,,11958,11953,6185,4721,322,356,103,11687,266,5
국외부재자투표,,737,201,143,45,4,8,0,200,1,536
국외부재자투표(공관),,0,6,3,2,0,1,0,6,0,-6
서제1동,소계,5898,3452,1149,2084,77,52,36,3398,54,2446
,관내사전투표,1178,1178,444,663,25,22,8,1162,16,0
,서제1동제1투,3161,1417,441,880,31,20,20,1392,25,1744
,서제1동제2투,1559,857,264,541,21,10,8,844,13,702
서제2동,소계,9107,5601,1949,3300,104,98,54,5505,96,3506
,관내사전투표,1841,1841,745,1013,26,26,11,1821,20,0
,서제2동제1투,2703,1460,467,886,33,26,23,1435,25,1243
,서제2동제2투,2318,1100,332,689,21,17,11,1070,30,1218
,서제2동제3투,2245,1200,405,712,24,29,9,1179,21,1045
서제3동,소계,10186,6162,2110,3684,118,110,61,6083,79,4024
,관내사전투표,2002,2000,783,1120,27,37,10,1977,23,2
,서제3동제1투,2117,1117,346,698,24,20,15,1103,14,1000
,서제3동제2투,2180,1190,414,708,28,19,11,1180,10,990
,서제3동제3투,2256,986,300,612,21,20,14,967,19,1270
,서제3동제4투,1631,869,267,546,18,14,11,856,13,762
부곡제1동,소계,8208,5403,1965,3128,108,91,40,5332,71,2805
,관내사전투표,2368,2368,973,1273,52,31,12,2341,27,0
,부곡제1동제1투,1479,736,246,445,12,17,5,725,11,743
,부곡제1동제2투,2743,1420,456,877,31,20,10,1394,26,1323
,부곡제1동제3투,1618,879,290,533,13,23,13,872,7,739
부곡제2동,소계,13877,9509,3875,5012,250,199,71,9407,102,4368
,관내사전투표,2899,2899,1391,1356,53,58,15,2873,26,0
