읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강준석,미래통합당박수영,정의당현정길,민중당김은진,국가혁명배당금당박금동,계,무효투표수,기권수
합계,,120446,82729,34778,43805,1803,895,483,81764,965,37717
거소·선상투표,,357,330,135,146,13,9,5,308,22,27
관외사전투표,,7309,7302,3838,2952,228,86,58,7162,140,7
국외부재자투표,,330,105,87,18,0,0,0,105,0,225
국외부재자투표(공관),,0,2,1,1,0,0,0,2,0,-2
대연제4동,소계,10431,7136,2995,3795,134,92,53,7069,67,3295
,관내사전투표,2374,2374,1090,1173,43,35,11,2352,22,0
,대연제4동제1투,1822,1125,365,702,23,13,12,1115,10,697
,대연제4동제2투,1945,939,304,578,20,11,12,925,14,1006
,대연제4동제3투,2037,1170,431,669,20,22,10,1152,18,867
,대연제4동제4투,2253,1528,805,673,28,11,8,1525,3,725
대연제5동,소계,13694,9089,3861,4777,215,66,54,8973,116,4605
,관내사전투표,3391,3391,1718,1557,61,21,12,3369,22,0
,대연제5동제1투,2661,1443,478,865,43,11,16,1413,30,1218
,대연제5동제2투,2745,1438,521,842,36,7,12,1418,20,1307
,대연제5동제3투,2589,1379,564,739,40,9,7,1359,20,1210
,대연제5동제4투,2308,1438,580,774,35,18,7,1414,24,870
대연제6동,소계,12544,9144,3949,4820,209,47,51,9076,68,3400
,관내사전투표,3619,3618,1850,1634,75,22,19,3600,18,1
,대연제6동제1투,2370,1276,439,767,41,7,9,1263,13,1094
,대연제6동제2투,2012,1177,449,669,22,7,10,1157,20,835
,대연제6동제3투,2547,1754,716,965,56,6,5,1748,6,793
,대연제6동제4투,1996,1319,495,785,15,5,8,1308,11,677
용당동,소계,6310,4265,1795,2284,87,43,24,4233,32,2045
,관내사전투표,1200,1200,616,543,21,8,6,1194,6,0
,용당동제1투,1222,612,182,390,10,14,10,606,6,610
,용당동제2투,1695,1009,420,537,26,10,6,999,10,686
,용당동제3투,2193,1444,577,814,30,11,2,1434,10,749
감만제1동,소계,12089,7776,3287,4114,122,126,35,7684,92,4313
,관내사전투표,2674,2674,1313,1255,32,37,15,2652,22,0
,감만제1동제1투,1434,576,195,340,13,19,3,570,6,858
,감만제1동제2투,1977,1059,436,576,20,11,9,1052,7,918
,감만제1동제3투,1408,734,230,465,7,12,3,717,17,674
,감만제1동제4투,1997,1083,407,615,19,14,3,1058,25,914
,감만제1동제5투,2599,1650,706,863,31,33,2,1635,15,949
감만제2동,소계,6485,4410,1816,2326,83,90,31,4346,64,2075
,관내사전투표,2017,2017,952,965,32,37,12,1998,19,0
,감만제2동제1투,2211,1194,431,658,26,33,19,1167,27,1017
,감만제2동제2투,2257,1199,433,703,25,20,0,1181,18,1058
문현제1동,소계,12283,7948,3143,4454,157,83,42,7879,69,4335
,관내사전투표,3005,3005,1402,1499,39,27,12,2979,26,0
,문현제1동제1투,2823,1450,491,876,45,15,9,1436,14,1373
,문현제1동제2투,2080,1208,444,715,25,11,5,1200,8,872
,문현제1동제3투,2656,1439,539,831,30,16,9,1425,14,1217
,문현제1동제4투,1719,846,267,533,18,14,7,839,7,873
문현제2동,소계,7626,4465,1726,2481,104,43,36,4390,75,3161
,관내사전투표,1627,1627,702,842,37,14,12,1607,20,0
,문현제2동제1투,1997,911,317,530,26,6,9,888,23,1086
,문현제2동제2투,1450,630,215,377,13,12,3,620,10,820
,문현제2동제3투,2552,1297,492,732,28,11,12,1275,22,1255
문현제3동,소계,11532,7896,3147,4380,210,60,35,7832,64,3636
,관내사전투표,2631,2631,1216,1308,66,16,8,2614,17,0
,문현제3동제1투,2072,1145,378,716,20,10,4,1128,17,927
,문현제3동제2투,2720,1449,446,920,46,11,9,1432,17,1271
,문현제3동제3투,4109,2671,1107,1436,78,23,14,2658,13,1438
문현제4동,소계,8185,5402,2108,3044,124,50,21,5347,55,2783
,관내사전투표,2031,2031,966,981,43,16,8,2014,17,0
,문현제4동제1투,2012,1170,396,724,27,9,4,1160,10,842
,문현제4동제2투,2505,1353,469,812,35,12,6,1334,19,1152
,문현제4동제3투,1637,848,277,527,19,13,3,839,9,789
우암동,소계,11271,7459,2890,4213,117,100,38,7358,101,3812
,관내사전투표,1539,1539,678,807,10,15,10,1520,19,0
,우암동제1투,1518,1003,412,540,23,12,4,991,12,515
,우암동제2투,3217,1990,786,1118,25,34,4,1967,23,1227
,우암동제3투,2734,1765,665,1013,33,20,8,1739,26,969
,우암동제4투,2263,1162,349,735,26,19,12,1141,21,1101
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
