읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박재호,미래통합당이언주,국가혁명배당금당조호근,계,무효투표수,기권수
합계,,114836,82159,41005,39575,616,81196,963,32677
거소·선상투표,,394,376,193,148,15,356,20,18
관외사전투표,,7953,7949,4773,2938,102,7813,136,4
국외부재자투표,,456,116,80,35,1,116,0,340
국외부재자투표(공관),,0,5,5,0,0,5,0,-5
대연제1동,소계,13933,8712,4102,4418,89,8609,103,5221
,관내사전투표,3395,3394,1851,1495,25,3371,23,1
,대연제1동제1투,3157,1544,675,830,17,1522,22,1613
,대연제1동제2투,3484,1802,794,950,25,1769,33,1682
,대연제1동제3투,2976,1494,618,841,16,1475,19,1482
,대연제1동제4투,921,478,164,302,6,472,6,443
대연제3동,소계,25173,16943,8863,7825,105,16793,150,8230
,관내사전투표,5180,5179,3259,1865,25,5149,30,1
,대연제3동제1투,2597,1345,640,662,15,1317,28,1252
,대연제3동제2투,3120,1890,867,999,7,1873,17,1230
,대연제3동제3투,2763,1184,516,639,12,1167,17,1579
,대연제3동제4투,3294,2058,1056,974,16,2046,12,1236
,대연제3동제5투,2939,1982,909,1038,16,1963,19,957
,대연제3동제6투,2619,1749,897,832,4,1733,16,870
,대연제3동제7투,2661,1556,719,816,10,1545,11,1105
용호제1동,소계,31695,22363,9974,12034,134,22142,221,9332
,관내사전투표,3931,3929,2065,1800,17,3882,47,2
,용호제1동제1투,2232,1083,456,594,14,1064,19,1149
,용호제1동제2투,2353,1250,551,655,19,1225,25,1103
,용호제1동제3투,2513,1476,624,817,13,1454,22,1037
,용호제1동제4투,3182,2153,1226,895,19,2140,13,1029
,용호제1동제5투,3363,2388,1117,1248,8,2373,15,975
,용호제1동제6투,3335,2351,962,1363,14,2339,12,984
,용호제1동제7투,3453,2342,877,1453,5,2335,7,1111
,용호제1동제8투,2346,1625,785,795,7,1587,38,721
,용호제1동제9투,2248,1695,592,1083,7,1682,13,553
,용호제1동제10투,2739,2071,719,1331,11,2061,10,668
용호제2동,소계,13589,9625,4689,4732,66,9487,138,3964
,관내사전투표,2992,2984,1576,1327,20,2923,61,8
,용호제2동제1투,1686,839,371,447,9,827,12,847
,용호제2동제2투,1319,689,251,413,10,674,15,630
,용호제2동제3투,2204,1378,737,626,4,1367,11,826
,용호제2동제4투,2247,1560,742,782,12,1536,24,687
,용호제2동제5투,3141,2175,1012,1137,11,2160,15,966
용호제3동,소계,13777,10461,5279,5003,61,10343,118,3316
,관내사전투표,5698,5695,3142,2492,19,5653,42,3
,용호제3동제1투,2076,1222,546,636,10,1192,30,854
,용호제3동제2투,1832,1065,491,548,10,1049,16,767
,용호제3동제3투,1883,1039,428,586,10,1024,15,844
,용호제3동제4투,2288,1440,672,741,12,1425,15,848
용호제4동,소계,7866,5588,3038,2433,42,5513,75,2278
,관내사전투표,2795,2794,1611,1118,16,2745,49,1
,용호제4동제1투,2678,1556,834,689,17,1540,16,1122
,용호제4동제2투,2393,1238,593,626,9,1228,10,1155
잘못 투입·구분된 투표지,,0,21,9,9,1,19,2,-21
