읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당노웅래,미래통합당강승규,국가혁명배당금당김명숙,통일민주당박선아,계,무효투표수,기권수
합계,,136147,96058,53160,40775,482,512,94929,1129,40089
거소·선상투표,,158,150,94,45,3,2,144,6,8
관외사전투표,,11209,11206,6931,3934,77,73,11015,191,3
국외부재자투표,,1012,289,176,112,0,1,289,0,723
국외부재자투표(공관),,0,13,9,4,0,0,13,0,-13
공덕동,소계,30484,19344,10707,8193,97,105,19102,242,11140
,관내사전투표,4794,4794,3144,1579,9,18,4750,44,0
,공덕동제1투,2975,1658,891,714,13,13,1631,27,1317
,공덕동제2투,3410,2142,1021,1078,7,6,2112,30,1268
,공덕동제3투,2268,1142,652,448,8,17,1125,17,1126
,공덕동제4투,2224,1016,590,391,7,10,998,18,1208
,공덕동제5투,2578,1493,862,590,13,7,1472,21,1085
,공덕동제6투,2840,1359,694,629,11,10,1344,15,1481
,공덕동제7투,3052,1621,888,691,13,9,1601,20,1431
,공덕동제8투,2899,2004,972,998,6,4,1980,24,895
,공덕동제9투,3444,2115,993,1075,10,11,2089,26,1329
아현동,소계,19924,14073,7248,6584,41,69,13942,131,5851
,관내사전투표,4838,4838,2930,1836,8,22,4796,42,0
,아현동제1투,2534,1203,556,617,4,7,1184,19,1331
,아현동제2투,1897,1243,633,582,8,8,1231,12,654
,아현동제3투,2454,1545,755,763,6,8,1532,13,909
,아현동제4투,1602,880,414,443,5,6,868,12,722
,아현동제5투,3072,2017,885,1099,4,9,1997,20,1055
,아현동제6투,3527,2347,1075,1244,6,9,2334,13,1180
도화동,소계,18729,13605,7125,6193,69,65,13452,153,5124
,관내사전투표,5060,5057,3131,1841,22,23,5017,40,3
,도화동제1투,2334,1023,546,446,6,9,1007,16,1311
,도화동제2투,2002,1244,534,685,7,3,1229,15,758
,도화동제3투,1695,1207,436,746,5,7,1194,13,488
,도화동제4투,1697,1228,636,567,6,8,1217,11,469
,도화동제5투,1647,884,450,399,9,4,862,22,763
,도화동제6투,2306,1690,709,946,8,7,1670,20,616
,도화동제7투,1988,1272,683,563,6,4,1256,16,716
용강동,소계,16459,11945,6597,5117,58,57,11829,116,4514
,관내사전투표,4674,4674,3009,1604,15,20,4648,26,0
,용강동제1투,2581,1569,758,780,7,12,1557,12,1012
,용강동제2투,2105,1206,623,549,10,3,1185,21,899
,용강동제3투,2858,1733,780,918,6,6,1710,23,1125
,용강동제4투,2004,1387,681,669,11,9,1370,17,617
,용강동제5투,2237,1376,746,597,9,7,1359,17,861
대흥동,소계,10409,6358,3579,2606,46,37,6268,90,4051
,관내사전투표,2130,2130,1381,692,20,9,2102,28,0
,대흥동제1투,2196,1262,636,600,6,3,1245,17,934
,대흥동제2투,1250,681,341,307,9,8,665,16,569
,대흥동제3투,2393,1107,580,502,7,6,1095,12,1286
,대흥동제4투,2440,1178,641,505,4,11,1161,17,1262
염리동,소계,10026,6982,4057,2778,39,32,6906,76,3044
,관내사전투표,3112,3111,2055,997,15,15,3082,29,1
,염리동제1투,1800,832,449,371,4,4,828,4,968
,염리동제2투,1113,537,252,274,2,3,531,6,576
,염리동제3투,2464,1543,845,660,13,6,1524,19,921
,염리동제4투,1537,959,456,476,5,4,941,18,578
신수동,소계,17737,12091,6637,5207,52,71,11967,124,5646
,관내사전투표,3994,3994,2537,1398,10,18,3963,31,0
,신수동제1투,2751,1419,787,598,10,8,1403,16,1332
,신수동제2투,1666,968,446,497,5,5,953,15,698
,신수동제3투,3318,1961,1016,896,9,17,1938,23,1357
,신수동제4투,3176,1900,885,975,10,13,1883,17,1276
,신수동제5투,2832,1849,966,843,8,10,1827,22,983
잘못 투입·구분된 투표지,,0,2,0,2,0,0,2,0,-2
