읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이상호,미래통합당조경태,우리공화당하봉규,민중당김진주,국가혁명배당금당천서은,계,무효투표수,기권수
합계,,157166,101631,38944,59042,526,1163,744,100419,1212,55535
거소·선상투표,,428,394,133,218,5,10,8,374,20,34
관외사전투표,,7749,7738,3631,3736,36,115,71,7589,149,11
국외부재자투표,,357,103,70,30,0,1,1,102,1,254
국외부재자투표(공관),,0,3,0,2,0,0,1,3,0,-3
신평제1동,소계,15333,9255,3272,5635,48,92,87,9134,121,6078
,관내사전투표,3585,3584,1485,2002,11,26,26,3550,34,1
,신평제1동제1투,3935,2048,678,1296,13,23,19,2029,19,1887
,신평제1동제2투,2592,1178,376,744,8,13,10,1151,27,1414
,신평제1동제3투,2763,1148,334,761,9,8,17,1129,19,1615
,신평제1동제4투,2458,1297,399,832,7,22,15,1275,22,1161
신평제2동,소계,13347,8738,3338,5131,45,107,42,8663,75,4609
,관내사전투표,3158,3158,1460,1622,4,40,13,3139,19,0
,신평제2동제1투,2450,1046,347,648,16,14,9,1034,12,1404
,신평제2동제2투,3172,1914,667,1184,11,21,9,1892,22,1258
,신평제2동제3투,2392,1334,436,850,6,19,8,1319,15,1058
,신평제2동제4투,2175,1286,428,827,8,13,3,1279,7,889
장림제1동,소계,10180,6170,2687,3237,29,67,56,6076,94,4010
,관내사전투표,2364,2363,1115,1161,12,26,19,2333,30,1
,장림제1동제1투,2127,898,335,519,6,13,12,885,13,1229
,장림제1동제2투,2295,1028,372,603,5,6,13,999,29,1267
,장림제1동제3투,3394,1881,865,954,6,22,12,1859,22,1513
장림제2동,소계,22267,13319,5072,7793,67,153,99,13184,135,8948
,관내사전투표,3441,3441,1611,1736,10,40,20,3417,24,0
,장림제2동제1투,2747,1192,392,740,13,14,9,1168,24,1555
,장림제2동제2투,2835,1517,563,894,10,26,13,1506,11,1318
,장림제2동제3투,2804,1509,500,961,4,14,10,1489,20,1295
,장림제2동제4투,2910,1698,536,1096,11,23,13,1679,19,1212
,장림제2동제5투,3730,1871,630,1185,6,15,14,1850,21,1859
,장림제2동제6투,3800,2091,840,1181,13,21,20,2075,16,1709
다대제1동,소계,31736,20295,7629,11991,100,228,138,20086,209,11441
,관내사전투표,4359,4358,2043,2206,16,51,19,4335,23,1
,다대제1동제1투,3636,2070,756,1238,10,30,13,2047,23,1566
,다대제1동제2투,3015,1651,509,1086,8,19,8,1630,21,1364
,다대제1동제3투,2048,1097,362,682,11,18,7,1080,17,951
,다대제1동제4투,2329,1506,499,954,6,16,16,1491,15,823
,다대제1동제5투,2535,1351,470,845,6,12,6,1339,12,1184
,다대제1동제6투,2033,998,405,545,7,16,13,986,12,1035
,다대제1동제7투,2586,1625,533,1042,9,9,9,1602,23,961
,다대제1동제8투,1620,879,256,573,10,11,9,859,20,741
,다대제1동제9투,1493,815,306,468,6,9,15,804,11,678
,다대제1동제10투,3418,2148,845,1250,4,20,13,2132,16,1270
,다대제1동제11투,2664,1797,645,1102,7,17,10,1781,16,867
다대제2동,소계,23796,15649,5730,9344,102,196,98,15470,179,8147
,관내사전투표,4614,4614,2081,2387,22,54,19,4563,51,0
,다대제2동제1투,2165,1398,501,843,8,20,5,1377,21,767
,다대제2동제2투,2283,1550,505,992,11,18,10,1536,14,733
,다대제2동제3투,2479,1372,401,919,5,21,6,1352,20,1107
,다대제2동제4투,2648,1412,513,843,14,18,12,1400,12,1236
,다대제2동제5투,3978,2144,709,1363,12,29,15,2128,16,1834
,다대제2동제6투,3222,1978,664,1239,11,23,11,1948,30,1244
,다대제2동제7투,2407,1181,356,758,19,13,20,1166,15,1226
구평동,소계,9248,5944,2419,3362,26,45,46,5898,46,3304
,관내사전투표,2124,2124,1081,1002,4,14,13,2114,10,0
,구평동제1투,1715,1041,398,609,10,8,9,1034,7,674
,구평동제2투,2068,1141,338,756,7,12,13,1126,15,927
,구평동제3투,306,165,39,123,1,1,0,164,1,141
,구평동제4투,3035,1473,563,872,4,10,11,1460,13,1562
감천제1동,소계,16915,10747,3901,6495,46,127,65,10634,113,6168
,관내사전투표,3096,3096,1350,1661,8,29,15,3063,33,0
,감천제1동제1투,2709,1311,402,856,9,12,16,1295,16,1398
,감천제1동제2투,2239,943,296,604,5,12,7,924,19,1296
,감천제1동제3투,1875,1029,309,683,9,14,10,1025,4,846
,감천제1동제4투,2088,1380,537,806,8,14,3,1368,12,708
,감천제1동제5투,2441,1491,508,949,1,18,4,1480,11,950
,감천제1동제6투,2467,1497,499,936,6,28,10,1479,18,970
감천제2동,소계,5810,3275,1062,2067,22,22,32,3205,70,2535
,관내사전투표,1070,1070,434,598,8,4,9,1053,17,0
,감천제2동제1투,1627,710,191,494,7,5,2,699,11,917
,감천제2동제2투,1724,795,233,521,4,6,15,779,16,929
,감천제2동제3투,1389,700,204,454,3,7,6,674,26,689
잘못 투입·구분된 투표지,,0,1,0,1,0,0,0,1,0,-1
