읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이재강,미래통합당안병길,우리공화당김태수,국가혁명배당금당김성기,계,무효투표수,기권수
합계,,80987,52770,21905,29040,565,417,51927,843,28217
거소·선상투표,,207,188,80,94,5,1,180,8,19
관외사전투표,,4536,4535,2539,1835,27,45,4446,89,1
국외부재자투표,,209,57,45,12,0,0,57,0,152
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
초량제1동,소계,4071,2363,991,1274,37,18,2320,43,1708
,관내사전투표,937,937,450,453,10,9,922,15,0
,초량제1동제1투,1988,826,322,465,16,7,810,16,1162
,초량제1동제2투,1146,600,219,356,11,2,588,12,546
초량제2동,소계,5241,3141,1172,1860,33,17,3082,59,2100
,관내사전투표,1352,1352,567,753,11,1,1332,20,0
,초량제2동제1투,2261,963,300,616,11,13,940,23,1298
,초량제2동제2투,1628,826,305,491,11,3,810,16,802
초량제3동,소계,7843,4929,2438,2344,53,31,4866,63,2914
,관내사전투표,1861,1861,1003,824,14,5,1846,15,0
,초량제3동제1투,3258,1733,851,809,25,15,1700,33,1525
,초량제3동제2투,2724,1335,584,711,14,11,1320,15,1389
초량제6동,소계,5738,3607,1300,2183,34,26,3543,64,2131
,관내사전투표,1508,1508,579,883,12,10,1484,24,0
,초량제6동제1투,2032,920,323,566,12,7,908,12,1112
,초량제6동제2투,2198,1179,398,734,10,9,1151,28,1019
수정제1동,소계,3942,2663,1118,1472,23,26,2639,24,1279
,관내사전투표,1404,1404,631,736,10,14,1391,13,0
,수정제1동제1투,1067,460,190,258,5,3,456,4,607
,수정제1동제2투,1471,799,297,478,8,9,792,7,672
수정제2동,소계,8443,5274,2095,3001,66,32,5194,80,3169
,관내사전투표,1582,1582,713,832,13,5,1563,19,0
,수정제2동제1투,2863,1621,631,945,16,13,1605,16,1242
,수정제2동제2투,1914,932,365,521,15,5,906,26,982
,수정제2동제3투,2084,1139,386,703,22,9,1120,19,945
수정제4동,소계,3741,2408,838,1489,24,19,2370,38,1333
,관내사전투표,1000,1000,390,582,6,7,985,15,0
,수정제4동제1투,1261,577,189,366,4,8,567,10,684
,수정제4동제2투,1480,831,259,541,14,4,818,13,649
수정제5동,소계,5019,3237,1213,1928,36,18,3195,42,1782
,관내사전투표,1455,1455,607,819,8,6,1440,15,0
,수정제5동제1투,1699,898,320,541,17,7,885,13,801
,수정제5동제2투,1865,884,286,568,11,5,870,14,981
좌천동,소계,9908,6408,2668,3501,85,60,6314,94,3500
,관내사전투표,2491,2491,1230,1189,30,15,2464,27,0
,좌천동제1투,2509,1302,472,758,24,22,1276,26,1207
,좌천동제2투,2247,1220,431,743,17,10,1201,19,1027
,좌천동제3투,2661,1395,535,811,14,13,1373,22,1266
범일제1동,소계,10576,6562,2365,3929,67,71,6432,130,4014
,관내사전투표,1741,1741,691,986,12,19,1708,33,0
,범일제1동제1투,2615,1569,595,916,23,12,1546,23,1046
,범일제1동제2투,1952,1113,391,674,12,15,1092,21,839
,범일제1동제3투,2448,1337,430,847,12,15,1304,33,1111
,범일제1동제4투,1820,802,258,506,8,10,782,20,1018
범일제2동,소계,7742,4945,1976,2807,58,34,4875,70,2797
,관내사전투표,1630,1630,786,801,17,7,1611,19,0
,범일제2동제1투,1911,936,279,621,11,6,917,19,975
,범일제2동제2투,2589,1406,518,842,20,10,1390,16,1183
,범일제2동제3투,1612,973,393,543,10,11,957,16,639
범일제5동,소계,3771,2453,1067,1311,17,19,2414,39,1318
,관내사전투표,722,722,372,333,3,3,711,11,0
,범일제5동제1투,1568,979,410,538,6,10,964,15,589
,범일제5동제2투,1481,752,285,440,8,6,739,13,729
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
