읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이재강,미래통합당안병길,우리공화당김태수,국가혁명배당금당김성기,계,무효투표수,기권수
합계,,96522,63012,26189,34815,597,417,62018,994,33510
거소·선상투표,,340,321,129,145,10,10,294,27,19
관외사전투표,,5518,5517,2946,2361,47,59,5413,104,1
국외부재자투표,,253,81,53,25,2,0,80,1,172
국외부재자투표(공관),,0,3,1,2,0,0,3,0,-3
동대신제1동,소계,4081,2764,1047,1615,33,22,2717,47,1317
,관내사전투표,1194,1194,534,629,13,7,1183,11,0
,동대신제1동제1투,1712,948,270,634,11,9,924,24,764
,동대신제1동제2투,1175,622,243,352,9,6,610,12,553
동대신제2동,소계,6206,3945,1463,2363,40,24,3890,55,2261
,관내사전투표,1237,1237,530,671,15,7,1223,14,0
,동대신제2동제1투,1537,976,291,654,10,8,963,13,561
,동대신제2동제2투,1830,874,319,526,10,5,860,14,956
,동대신제2동제3투,1602,858,323,512,5,4,844,14,744
동대신제3동,소계,6047,4100,1683,2289,43,31,4046,54,1947
,관내사전투표,2065,2065,965,1050,19,7,2041,24,0
,동대신제3동제1투,1788,853,281,542,6,11,840,13,935
,동대신제3동제2투,2194,1182,437,697,18,13,1165,17,1012
서대신제1동,소계,9828,6421,2769,3505,45,29,6348,73,3407
,관내사전투표,2383,2383,1212,1128,16,7,2363,20,0
,서대신제1동제1투,1792,955,368,561,8,5,942,13,837
,서대신제1동제2투,1010,529,168,335,6,5,514,15,481
,서대신제1동제3투,2456,1217,436,747,10,9,1202,15,1239
,서대신제1동제4투,2187,1337,585,734,5,3,1327,10,850
서대신제3동,소계,6769,4669,1903,2630,53,20,4606,63,2100
,관내사전투표,2025,2025,928,1052,19,8,2007,18,0
,서대신제3동제1투,2741,1569,571,947,21,7,1546,23,1172
,서대신제3동제2투,2003,1075,404,631,13,5,1053,22,928
서대신제4동,소계,6360,4494,2002,2388,31,22,4443,51,1866
,관내사전투표,1894,1894,940,925,9,3,1877,17,0
,서대신제4동제1투,1550,891,366,495,10,9,880,11,659
,서대신제4동제2투,2284,1329,575,728,8,5,1316,13,955
,서대신제4동제3투,632,380,121,240,4,5,370,10,252
부민동,소계,6736,4404,1985,2283,25,24,4317,87,2332
,관내사전투표,1798,1798,940,802,13,4,1759,39,0
,부민동제1투,2780,1427,598,793,6,10,1407,20,1353
,부민동제2투,2158,1179,447,688,6,10,1151,28,979
아미동,소계,6453,3606,1387,2069,42,39,3537,69,2847
,관내사전투표,1000,1000,470,507,7,9,993,7,0
,아미동제1투,1824,779,281,454,15,9,759,20,1045
,아미동제2투,1259,602,214,362,9,8,593,9,657
,아미동제3투,1200,516,179,310,4,7,500,16,684
,아미동제4투,1170,709,243,436,7,6,692,17,461
초장동,소계,4150,2338,885,1372,28,12,2297,41,1812
,관내사전투표,934,934,386,515,10,4,915,19,0
,초장동제1투,1828,769,274,463,11,8,756,13,1059
,초장동제2투,1388,635,225,394,7,0,626,9,753
충무동,소계,9479,5970,2300,3471,54,45,5870,100,3509
,관내사전투표,2749,2748,1205,1471,23,16,2715,33,1
,충무동제1투,3956,1897,673,1155,19,16,1863,34,2059
,충무동제2투,2774,1325,422,845,12,13,1292,33,1449
남부민제1동,소계,4203,2485,919,1484,27,12,2442,43,1718
,관내사전투표,778,778,350,404,8,5,767,11,0
,남부민제1동제1투,2019,1012,327,651,9,4,991,21,1007
,남부민제1동제2투,1406,695,242,429,10,3,684,11,711
남부민제2동,소계,8532,5176,2005,3006,63,27,5101,75,3356
,관내사전투표,1482,1482,673,775,15,5,1468,14,0
,남부민제2동제1투,2579,1241,500,701,15,6,1222,19,1338
,남부민제2동제2투,1416,718,228,459,11,7,705,13,698
,남부민제2동제3투,1502,855,303,523,13,5,844,11,647
,남부민제2동제4투,1553,880,301,548,9,4,862,18,673
암남동,소계,11567,6717,2711,3807,54,41,6613,104,4850
,관내사전투표,1911,1911,945,931,12,6,1894,17,0
,암남동제1투,2186,839,286,532,8,4,830,9,1347
,암남동제2투,1312,766,315,409,9,5,738,28,546
,암남동제3투,1399,767,324,421,8,4,757,10,632
,암남동제4투,2594,1313,443,824,10,11,1288,25,1281
,암남동제5투,2165,1121,398,690,7,11,1106,15,1044
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
