읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김해영,미래통합당이주환,민생당박재홍,계,무효투표수,기권수
합계,,182148,128204,60570,64640,1653,126863,1341,53944
거소·선상투표,,366,348,175,155,5,335,13,18
관외사전투표,,11372,11366,6651,4337,200,11188,178,6
국외부재자투표,,509,154,109,43,1,153,1,355
국외부재자투표(공관),,0,4,3,0,1,4,0,-4
거제제1동,소계,22190,16436,7956,8169,187,16312,124,5754
,관내사전투표,4024,4022,2439,1522,35,3996,26,2
,거제제1동제1투,2697,1896,895,955,29,1879,17,801
,거제제1동제2투,3331,2325,970,1319,17,2306,19,1006
,거제제1동제3투,2283,1413,572,812,19,1403,10,870
,거제제1동제4투,2156,1504,736,737,17,1490,14,652
,거제제1동제5투,2602,1807,829,930,35,1794,13,795
,거제제1동제6투,2409,1399,674,699,11,1384,15,1010
,거제제1동제7투,2688,2070,841,1195,24,2060,10,618
거제제2동,소계,9672,7197,3378,3670,80,7128,69,2475
,관내사전투표,2819,2819,1476,1290,35,2801,18,0
,거제제2동제1투,1484,869,352,498,10,860,9,615
,거제제2동제2투,2327,1567,721,813,11,1545,22,760
,거제제2동제3투,1690,1039,427,584,13,1024,15,651
,거제제2동제4투,1352,903,402,485,11,898,5,449
거제제3동,소계,8935,6310,2635,3532,80,6247,63,2625
,관내사전투표,2525,2524,1194,1282,23,2499,25,1
,거제제3동제1투,2272,1350,563,757,14,1334,16,922
,거제제3동제2투,2078,1149,406,719,17,1142,7,929
,거제제3동제3투,2060,1287,472,774,26,1272,15,773
거제제4동,소계,8863,6182,2741,3311,60,6112,70,2681
,관내사전투표,2530,2530,1266,1221,19,2506,24,0
,거제제4동제1투,2938,1648,663,946,14,1623,25,1290
,거제제4동제2투,1296,746,325,412,7,744,2,550
,거제제4동제3투,2099,1258,487,732,20,1239,19,841
연산제1동,소계,13916,9783,4486,5133,82,9701,82,4133
,관내사전투표,3053,3053,1662,1348,20,3030,23,0
,연산제1동제1투,2607,1649,667,942,21,1630,19,958
,연산제1동제2투,3186,1738,727,981,13,1721,17,1448
,연산제1동제3투,2182,1193,470,694,17,1181,12,989
,연산제1동제4투,2888,2150,960,1168,11,2139,11,738
연산제2동,소계,15133,10743,5182,5343,123,10648,95,4390
,관내사전투표,3713,3713,2153,1501,33,3687,26,0
,연산제2동제1투,1882,1165,443,698,12,1153,12,717
,연산제2동제2투,1632,888,314,548,9,871,17,744
,연산제2동제3투,2270,1316,526,766,11,1303,13,954
,연산제2동제4투,2026,1066,481,552,18,1051,15,960
,연산제2동제5투,2061,1551,787,741,19,1547,4,510
,연산제2동제6투,1549,1044,478,537,21,1036,8,505
연산제3동,소계,6888,4514,1907,2476,66,4449,65,2374
,관내사전투표,1670,1670,838,794,16,1648,22,0
,연산제3동제1투,2001,1114,395,676,18,1089,25,887
,연산제3동제2투,3217,1730,674,1006,32,1712,18,1487
연산제4동,소계,15056,9831,4248,5375,101,9724,107,5225
,관내사전투표,3455,3454,1706,1699,24,3429,25,1
,연산제4동제1투,1798,1207,502,686,7,1195,12,591
,연산제4동제2투,2370,1185,439,709,20,1168,17,1185
,연산제4동제3투,2893,1456,534,878,19,1431,25,1437
,연산제4동제4투,2278,1354,537,788,16,1341,13,924
,연산제4동제5투,2262,1175,530,615,15,1160,15,1087
연산제5동,소계,14086,8376,4112,4044,120,8276,100,5710
,관내사전투표,2971,2971,1696,1209,40,2945,26,0
,연산제5동제1투,2902,1314,557,719,20,1296,18,1588
,연산제5동제2투,2783,1413,613,755,24,1392,21,1370
,연산제5동제3투,2630,1244,529,674,17,1220,24,1386
,연산제5동제4투,2800,1434,717,687,19,1423,11,1366
연산제6동,소계,14418,9295,4128,4908,119,9155,140,5123
,관내사전투표,2444,2444,1235,1161,27,2423,21,0
,연산제6동제1투,1514,888,350,521,5,876,12,626
,연산제6동제2투,2496,1400,498,857,22,1377,23,1096
,연산제6동제3투,2218,1030,405,582,16,1003,27,1188
,연산제6동제4투,1848,1003,402,557,16,975,28,845
,연산제6동제5투,2105,1223,494,695,17,1206,17,882
,연산제6동제6투,1793,1307,744,535,16,1295,12,486
연산제8동,소계,12137,8399,4019,4196,117,8332,67,3738
,관내사전투표,2237,2237,1254,943,22,2219,18,0
,연산제8동제1투,2271,1184,427,724,20,1171,13,1087
,연산제8동제2투,2409,1442,584,820,25,1429,13,967
,연산제8동제3투,1823,1053,402,625,18,1045,8,770
,연산제8동제4투,3397,2483,1352,1084,32,2468,15,914
연산제9동,소계,28607,19265,8840,9947,311,19098,167,9342
,관내사전투표,4400,4400,2405,1899,51,4355,45,0
,연산제9동제1투,2034,1174,480,663,26,1169,5,860
,연산제9동제2투,2366,1591,624,930,22,1576,15,775
,연산제9동제3투,2105,1265,483,752,17,1252,13,840
,연산제9동제4투,2898,1935,929,960,38,1927,8,963
,연산제9동제5투,3153,1944,768,1110,41,1919,25,1209
,연산제9동제6투,2404,1092,454,610,20,1084,8,1312
,연산제9동제7투,2099,1064,479,549,23,1051,13,1035
,연산제9동제8투,2906,1908,905,957,27,1889,19,998
,연산제9동제9투,1300,1016,326,668,16,1010,6,284
,연산제9동제10투,2942,1876,987,849,30,1866,10,1066
잘못 투입·구분된 투표지,,0,1,0,1,0,1,0,-1
