읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김비오,미래통합당황보승희,국가혁명배당금당김가은,무소속정창범,계,무효투표수,기권수
합계,,104519,68143,30722,34224,614,1624,67184,959,36376
거소·선상투표,,353,332,167,123,16,15,321,11,21
관외사전투표,,4912,4905,2767,1821,59,166,4813,92,7
국외부재자투표,,306,100,79,18,0,1,98,2,206
국외부재자투표(공관),,0,4,2,2,0,0,4,0,-4
남항동,소계,9701,6120,2442,3390,43,170,6045,75,3581
,관내사전투표,2364,2364,1089,1176,17,65,2347,17,0
,남항동제1투,2489,1255,457,737,4,41,1239,16,1234
,남항동제2투,2136,1156,406,691,15,25,1137,19,980
,남항동제3투,2712,1345,490,786,7,39,1322,23,1367
영선제1동,소계,3659,2387,1019,1244,15,83,2361,26,1272
,관내사전투표,1126,1125,558,521,4,32,1115,10,1
,영선제1동제1투,1185,560,198,329,8,19,554,6,625
,영선제1동제2투,1348,702,263,394,3,32,692,10,646
영선제2동,소계,8705,6123,2633,3219,47,137,6036,87,2582
,관내사전투표,2911,2911,1368,1433,15,62,2878,33,0
,영선제2동제1투,2498,1368,540,756,8,42,1346,22,1130
,영선제2동제2투,2052,1186,471,658,16,20,1165,21,866
,영선제2동제3투,1244,658,254,372,8,13,647,11,586
신선동,소계,7817,4372,1810,2322,33,125,4290,82,3445
,관내사전투표,1126,1126,551,524,2,31,1108,18,0
,신선동제1투,1908,823,309,456,9,30,804,19,1085
,신선동제2투,2017,1118,437,622,3,34,1096,22,899
,신선동제3투,1316,674,293,352,8,12,665,9,642
,신선동제4투,1450,631,220,368,11,18,617,14,819
봉래제1동,소계,6574,4440,1911,2309,25,133,4378,62,2134
,관내사전투표,1896,1896,905,919,8,42,1874,22,0
,봉래제1동제1투,2422,1341,524,744,8,44,1320,21,1081
,봉래제1동제2투,2256,1203,482,646,9,47,1184,19,1053
봉래제2동,소계,4729,2853,1207,1503,28,62,2800,53,1876
,관내사전투표,662,662,365,275,7,9,656,6,0
,봉래제2동제1투,2322,1215,437,709,12,29,1187,28,1107
,봉래제2동제2투,1745,976,405,519,9,24,957,19,769
청학제1동,소계,5894,3556,1593,1827,20,73,3513,43,2338
,관내사전투표,1407,1406,734,622,6,31,1393,13,1
,청학제1동제1투,2644,1209,501,665,7,22,1195,14,1435
,청학제1동제2투,1843,941,358,540,7,20,925,16,902
청학제2동,소계,14908,9344,4321,4654,67,191,9233,111,5564
,관내사전투표,3028,3027,1645,1295,13,54,3007,20,1
,청학제2동제1투,2404,1353,598,705,9,22,1334,19,1051
,청학제2동제2투,1871,882,353,485,9,20,867,15,989
,청학제2동제3투,2458,1337,608,674,10,32,1324,13,1121
,청학제2동제4투,2705,1466,648,753,16,36,1453,13,1239
,청학제2동제5투,2442,1279,469,742,10,27,1248,31,1163
동삼제1동,소계,23937,15251,7133,7489,146,306,15074,177,8686
,관내사전투표,5968,5968,3139,2635,34,97,5905,63,0
,동삼제1동제1투,2061,1097,489,561,13,24,1087,10,964
,동삼제1동제2투,2144,1044,454,545,16,16,1031,13,1100
,동삼제1동제3투,2676,1474,609,805,16,25,1455,19,1202
,동삼제1동제4투,2517,1336,596,690,12,24,1322,14,1181
,동삼제1동제5투,2549,1267,570,631,11,40,1252,15,1282
,동삼제1동제6투,2172,1197,490,645,15,32,1182,15,975
,동삼제1동제7투,1815,756,304,412,10,17,743,13,1059
,동삼제1동제8투,2035,1112,482,565,19,31,1097,15,923
동삼제2동,소계,3245,2101,921,1068,27,45,2061,40,1144
,관내사전투표,1012,1012,501,467,10,22,1000,12,0
,동삼제2동투표소,2233,1089,420,601,17,23,1061,28,1144
동삼제3동,소계,9779,6250,2716,3234,88,117,6155,95,3529
,관내사전투표,2776,2776,1372,1287,37,46,2742,34,0
,동삼제3동제1투,1617,865,327,489,10,23,849,16,752
,동삼제3동제2투,1731,857,332,482,14,16,844,13,874
,동삼제3동제3투,1897,802,266,486,14,9,775,27,1095
,동삼제3동제4투,1758,950,419,490,13,23,945,5,808
잘못 투입·구분된 투표지,,0,5,1,1,0,0,2,3,-5
