읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당유영민,미래통합당하태경,우리공화당한근형,국가혁명배당금당이수명,무소속박주언,계,무효투표수,기권수
합계,,191197,133831,49633,78971,1513,544,2114,132775,1056,57366
거소·선상투표,,459,439,156,230,9,4,17,416,23,20
관외사전투표,,11327,11326,4998,5733,87,61,297,11176,150,1
국외부재자투표,,926,213,126,76,2,1,5,210,3,713
국외부재자투표(공관),,0,8,4,3,1,0,0,8,0,-8
우제1동,소계,18689,11650,3841,7280,164,73,186,11544,106,7039
,관내사전투표,3159,3157,1355,1700,33,11,39,3138,19,2
,우제1동제1투,2694,1370,384,907,25,12,29,1357,13,1324
,우제1동제2투,3220,1965,687,1185,28,19,28,1947,18,1255
,우제1동제3투,2870,1558,443,1021,32,9,33,1538,20,1312
,우제1동제4투,3972,1790,484,1207,31,15,34,1771,19,2182
,우제1동제5투,2774,1810,488,1260,15,7,23,1793,17,964
우제2동,소계,23809,17003,5765,10670,150,56,244,16885,118,6806
,관내사전투표,4748,4748,2064,2571,20,11,61,4727,21,0
,우제2동제1투,3530,2508,798,1623,21,6,39,2487,21,1022
,우제2동제2투,3430,2104,683,1348,18,7,29,2085,19,1326
,우제2동제3투,2935,1634,519,1026,33,9,27,1614,20,1301
,우제2동제4투,3202,2018,624,1306,19,7,43,1999,19,1184
,우제2동제5투,3331,2299,660,1565,25,10,29,2289,10,1032
,우제2동제6투,2633,1692,417,1231,14,6,16,1684,8,941
중제1동,소계,18704,12084,4316,7318,129,63,174,12000,84,6620
,관내사전투표,3425,3425,1505,1814,32,13,44,3408,17,0
,중제1동제1투,3122,1631,380,1198,17,8,20,1623,8,1491
,중제1동제2투,2804,1672,560,1036,18,16,24,1654,18,1132
,중제1동제3투,3291,1878,653,1145,22,10,30,1860,18,1413
,중제1동제4투,3210,1797,676,1052,25,7,26,1786,11,1413
,중제1동제5투,2852,1681,542,1073,15,9,30,1669,12,1171
중제2동,소계,13297,8631,3145,5175,104,35,114,8573,58,4666
,관내사전투표,3138,3137,1462,1605,17,8,35,3127,10,1
,중제2동제1투,1197,578,153,390,10,4,11,568,10,619
,중제2동제2투,2784,1438,481,870,31,11,26,1419,19,1346
,중제2동제3투,2911,1612,476,1085,20,6,18,1605,7,1299
,중제2동제4투,3267,1866,573,1225,26,6,24,1854,12,1401
좌제1동,소계,14911,10301,4279,5602,123,40,177,10221,80,4610
,관내사전투표,3611,3612,1923,1563,29,10,66,3591,21,-1
,좌제1동제1투,2797,1271,473,733,18,9,24,1257,14,1526
,좌제1동제2투,2456,1520,480,954,33,6,31,1504,16,936
,좌제1동제3투,2752,1657,623,963,17,11,30,1644,13,1095
,좌제1동제4투,3295,2241,780,1389,26,4,26,2225,16,1054
좌제2동,소계,25835,17148,6974,9484,203,71,277,17009,139,8687
,관내사전투표,5010,5010,2538,2316,36,22,72,4984,26,0
,좌제2동제1투,3204,1631,577,982,24,4,30,1617,14,1573
,좌제2동제2투,3868,1911,730,1078,29,4,42,1883,28,1957
,좌제2동제3투,2844,1636,612,973,8,7,23,1623,13,1208
,좌제2동제4투,2675,1630,640,917,23,11,27,1618,12,1045
,좌제2동제5투,3127,2025,726,1211,23,14,28,2002,23,1102
,좌제2동제6투,2642,1701,610,1021,26,4,28,1689,12,941
,좌제2동제7투,2465,1604,541,986,34,5,27,1593,11,861
좌제3동,소계,13361,9533,3805,5324,149,35,147,9460,73,3828
,관내사전투표,3600,3600,1735,1749,27,11,58,3580,20,0
,좌제3동제1투,2786,1659,560,1028,31,3,26,1648,11,1127
,좌제3동제2투,2107,1302,481,749,33,13,13,1289,13,805
,좌제3동제3투,2409,1435,507,853,31,2,29,1422,13,974
,좌제3동제4투,2459,1537,522,945,27,6,21,1521,16,922
좌제4동,소계,19243,14358,6024,7837,148,38,223,14270,88,4885
,관내사전투표,5045,5045,2685,2216,34,9,76,5020,25,0
,좌제4동제1투,2303,1429,540,834,10,4,32,1420,9,874
,좌제4동제2투,1440,903,358,515,9,5,12,899,4,537
,좌제4동제3투,2476,1557,598,901,18,5,22,1544,13,919
,좌제4동제4투,2837,1811,626,1115,25,3,27,1796,15,1026
,좌제4동제5투,2639,1861,641,1131,40,9,26,1847,14,778
,좌제4동제6투,2503,1752,576,1125,12,3,28,1744,8,751
송정동,소계,8857,5496,2116,3115,99,33,77,5440,56,3361
,관내사전투표,1866,1866,900,894,23,11,20,1848,18,0
,송정동제1투,2462,1108,352,688,25,4,23,1092,16,1354
,송정동제2투,2813,1546,521,933,31,15,25,1525,21,1267
,송정동제3투,1716,976,343,600,20,3,9,975,1,740
우제3동,소계,21779,15641,4084,11124,145,34,176,15563,78,6138
,관내사전투표,5101,5101,1806,3200,29,9,46,5090,11,0
,우제3동제1투,2930,1782,480,1235,23,4,32,1774,8,1148
,우제3동제2투,3008,2013,492,1442,34,4,26,1998,15,995
,우제3동제3투,2345,1503,242,1209,21,3,18,1493,10,842
,우제3동제4투,3238,1900,379,1450,19,7,25,1880,20,1338
,우제3동제5투,2875,1830,347,1450,9,6,11,1823,7,1045
,우제3동제6투,2282,1512,338,1138,10,1,18,1505,7,770
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
