읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤준호,미래통합당김미애,국가혁명배당금당이현호,계,무효투표수,기권수
합계,,154630,103215,46799,53900,1246,101945,1270,51415
거소·선상투표,,354,340,152,143,13,308,32,14
관외사전투표,,8624,8622,4842,3492,122,8456,166,2
국외부재자투표,,402,111,74,34,0,108,3,291
국외부재자투표(공관),,0,1,0,1,0,1,0,-1
반여제1동,소계,27593,19429,9225,9827,172,19224,205,8164
,관내사전투표,5030,5030,2916,2043,30,4989,41,0
,반여제1동제1투,2104,1189,426,707,24,1157,32,915
,반여제1동제2투,2484,1451,554,849,17,1420,31,1033
,반여제1동제3투,3042,1795,746,1018,15,1779,16,1247
,반여제1동제4투,2671,1562,578,953,13,1544,18,1109
,반여제1동제5투,2418,1636,746,863,14,1623,13,782
,반여제1동제6투,2254,1607,779,797,16,1592,15,647
,반여제1동제7투,2082,1394,718,656,12,1386,8,688
,반여제1동제8투,2521,1712,741,937,15,1693,19,809
,반여제1동제9투,2987,2053,1021,1004,16,2041,12,934
반여제2동,소계,12176,7354,3171,3974,105,7250,104,4822
,관내사전투표,2721,2719,1351,1310,30,2691,28,2
,반여제2동제1투,2470,1252,524,680,23,1227,25,1218
,반여제2동제2투,1994,992,423,539,13,975,17,1002
,반여제2동제3투,1725,753,280,450,12,742,11,972
,반여제2동제4투,1937,1016,377,613,12,1002,14,921
,반여제2동제5투,1329,622,216,382,15,613,9,707
반여제3동,소계,8350,4993,2086,2768,73,4927,66,3357
,관내사전투표,1939,1939,936,965,19,1920,19,0
,반여제3동제1투,2221,1068,394,650,11,1055,13,1153
,반여제3동제2투,1915,969,367,571,17,955,14,946
,반여제3동제3투,2275,1017,389,582,26,997,20,1258
반여제4동,소계,13014,8956,4178,4616,91,8885,71,4058
,관내사전투표,2790,2790,1444,1298,28,2770,20,0
,반여제4동제1투,2329,1194,499,673,12,1184,10,1135
,반여제4동제2투,2260,1234,455,754,17,1226,8,1026
,반여제4동제3투,2792,1956,940,974,23,1937,19,836
,반여제4동제4투,2843,1782,840,917,11,1768,14,1061
반송제1동,소계,13471,8058,3374,4418,151,7943,115,5413
,관내사전투표,3346,3345,1600,1645,59,3304,41,1
,반송제1동제1투,1746,823,319,465,17,801,22,923
,반송제1동제2투,1505,757,269,463,14,746,11,748
,반송제1동제3투,1493,749,292,429,19,740,9,744
,반송제1동제4투,1442,704,252,427,11,690,14,738
,반송제1동제5투,1877,703,289,387,14,690,13,1174
,반송제1동제6투,1775,803,298,485,16,799,4,972
,반송제1동제7투,287,174,55,117,1,173,1,113
반송제2동,소계,21595,13874,5967,7487,219,13673,201,7721
,관내사전투표,5047,5047,2553,2392,51,4996,51,0
,반송제2동제1투,2154,1235,413,790,19,1222,13,919
,반송제2동제2투,2904,1424,619,765,26,1410,14,1480
,반송제2동제3투,1520,728,245,458,10,713,15,792
,반송제2동제4투,1247,650,243,374,20,637,13,597
,반송제2동제5투,2607,1448,588,805,30,1423,25,1159
,반송제2동제6투,1948,1051,389,607,35,1031,20,897
,반송제2동제7투,1752,992,330,613,17,960,32,760
,반송제2동제8투,2416,1299,587,683,11,1281,18,1117
재송제1동,소계,27643,18655,8116,10240,139,18495,160,8988
,관내사전투표,5308,5307,2769,2470,31,5270,37,1
,재송제1동제1투,3400,1607,624,948,16,1588,19,1793
,재송제1동제2투,2980,1547,582,925,22,1529,18,1433
,재송제1동제3투,2704,1442,580,826,14,1420,22,1262
,재송제1동제4투,3337,2186,987,1179,10,2176,10,1151
,재송제1동제5투,3937,2583,943,1611,11,2565,18,1354
,재송제1동제6투,3574,2301,865,1404,18,2287,14,1273
,재송제1동제7투,2403,1682,766,877,17,1660,22,721
재송제2동,소계,21408,12818,5612,6898,161,12671,147,8590
,관내사전투표,3362,3362,1773,1538,28,3339,23,0
,재송제2동제1투,2172,1070,398,638,18,1054,16,1102
,재송제2동제2투,1977,979,411,544,10,965,14,998
,재송제2동제3투,2746,1299,585,682,18,1285,14,1447
,재송제2동제4투,2370,1309,518,758,16,1292,17,1061
,재송제2동제5투,1824,957,428,500,18,946,11,867
,재송제2동제6투,1926,965,352,576,18,946,19,961
,재송제2동제7투,2568,1414,541,834,22,1397,17,1154
,재송제2동제8투,2463,1463,606,828,13,1447,16,1000
잘못 투입·구분된 투표지,,0,4,2,2,0,4,0,-4
