읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김성곤,미래통합당태구민,민생당정동희,국가혁명배당금당김정훈,계,무효투표수,기권수
합계,,167537,104485,40935,60324,1378,642,103279,1206,63052
거소·선상투표,,182,170,58,100,5,3,166,4,12
관외사전투표,,11982,11978,6116,5457,158,89,11820,158,4
국외부재자투표,,1486,324,152,161,6,4,323,1,1162
국외부재자투표(공관),,0,12,4,8,0,0,12,0,-12
신사동,소계,13990,9441,2975,6215,123,39,9352,89,4549
,관내사전투표,2716,2716,1146,1511,25,15,2697,19,0
,신사동제1투,2370,1177,354,788,19,6,1167,10,1193
,신사동제2투,1712,843,373,426,23,3,825,18,869
,신사동제3투,1829,1008,514,448,22,5,989,19,821
,신사동제4투,2842,1925,246,1650,13,4,1913,12,917
,신사동제5투,2521,1772,342,1392,21,6,1761,11,749
논현1동,소계,20216,10105,4940,4775,164,80,9959,146,10111
,관내사전투표,2990,2990,1750,1152,32,23,2957,33,0
,논현1동제1투,3515,1105,521,527,23,11,1082,23,2410
,논현1동제2투,3273,1450,613,781,17,12,1423,27,1823
,논현1동제3투,3661,1815,693,1053,31,12,1789,26,1846
,논현1동제4투,3608,1422,701,649,36,17,1403,19,2186
,논현1동제5투,3169,1323,662,613,25,5,1305,18,1846
논현2동,소계,17913,10470,4248,5901,142,65,10356,114,7443
,관내사전투표,2892,2892,1437,1387,32,15,2871,21,0
,논현2동제1투,3562,1589,519,1031,17,7,1574,15,1973
,논현2동제2투,2392,1284,410,822,21,12,1265,19,1108
,논현2동제3투,1949,1043,438,563,22,8,1031,12,906
,논현2동제4투,3868,2139,760,1323,21,13,2117,22,1729
,논현2동제5투,3250,1523,684,775,29,10,1498,25,1727
압구정동,소계,21475,14917,3046,11565,105,55,14771,146,6558
,관내사전투표,3870,3870,1021,2790,23,10,3844,26,0
,압구정동제1투,3097,1697,196,1463,7,6,1672,25,1400
,압구정동제2투,2068,1422,227,1158,15,6,1406,16,646
,압구정동제3투,2535,1755,216,1501,15,1,1733,22,780
,압구정동제4투,2362,1365,414,924,7,7,1352,13,997
,압구정동제5투,3157,2074,400,1643,15,7,2065,9,1083
,압구정동제6투,3022,1922,353,1522,11,14,1900,22,1100
,압구정동제7투,1364,812,219,564,12,4,799,13,552
청담동,소계,22795,14537,4595,9549,169,69,14382,155,8258
,관내사전투표,3557,3557,1502,1986,29,11,3528,29,0
,청담동제1투,3353,1674,442,1182,25,5,1654,20,1679
,청담동제2투,2450,1412,265,1112,16,7,1400,12,1038
,청담동제3투,2287,1488,315,1132,16,7,1470,18,799
,청담동제4투,3245,1906,463,1384,22,17,1886,20,1339
,청담동제5투,3026,1806,641,1111,25,6,1783,23,1220
,청담동제6투,2997,1746,687,1002,23,10,1722,24,1251
,청담동제7투,1880,948,280,640,13,6,939,9,932
역삼1동,소계,30109,14913,7463,6849,266,138,14716,197,15196
,관내사전투표,3693,3693,2259,1316,53,33,3661,32,0
,역삼1동제1투,3474,1383,656,676,25,9,1366,17,2091
,역삼1동제2투,2934,1249,582,603,24,20,1229,20,1685
,역삼1동제3투,3460,1474,701,689,37,24,1451,23,1986
,역삼1동제4투,3822,1655,770,818,26,11,1625,30,2167
,역삼1동제5투,4569,1558,748,745,28,13,1534,24,3011
,역삼1동제6투,3193,1515,694,762,29,15,1500,15,1678
,역삼1동제7투,4964,2386,1053,1240,44,13,2350,36,2578
역삼2동,소계,27389,17617,7337,9744,240,100,17421,196,9772
,관내사전투표,5327,5326,2768,2443,47,19,5277,49,1
,역삼2동제1투,4010,2069,722,1276,37,12,2047,22,1941
,역삼2동제2투,3656,2316,749,1502,26,10,2287,29,1340
,역삼2동제3투,4169,1919,859,972,41,15,1887,32,2250
,역삼2동제4투,3604,1806,865,860,38,23,1786,20,1798
,역삼2동제5투,3083,1830,705,1072,31,6,1814,16,1253
,역삼2동제6투,3540,2351,669,1619,20,15,2323,28,1189
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
