읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당진선미,미래통합당이수희,국가혁명배당금당강옥기,계,무효투표수,기권수
합계,,221217,157793,80361,74441,1231,156033,1760,63424
거소·선상투표,,426,415,204,163,14,381,34,11
관외사전투표,,15079,15072,9095,5583,146,14824,248,7
국외부재자투표,,1085,264,173,87,2,262,2,821
국외부재자투표(공관),,0,11,8,3,0,11,0,-11
강일동,소계,23178,16160,8846,6964,162,15972,188,7018
,관내사전투표,4817,4817,3020,1717,38,4775,42,0
,강일동제1투,3087,1697,805,846,20,1671,26,1390
,강일동제2투,2707,1656,786,823,21,1630,26,1051
,강일동제3투,2601,1606,742,829,15,1586,20,995
,강일동제4투,2912,1769,882,841,18,1741,28,1143
,강일동제5투,2601,1758,1042,685,17,1744,14,843
,강일동제6투,2091,1269,683,554,23,1260,9,822
,강일동제7투,2362,1588,886,669,10,1565,23,774
상일동,소계,19860,14569,6825,7545,70,14440,129,5291
,관내사전투표,5353,5353,3002,2289,22,5313,40,0
,상일동제1투,4905,3163,1372,1751,14,3137,26,1742
,상일동제2투,2055,1136,519,591,8,1118,18,919
,상일동제3투,2358,1468,579,859,12,1450,18,890
,상일동제4투,2645,1674,695,965,7,1667,7,971
,상일동제5투,2544,1775,658,1090,7,1755,20,769
명일제1동,소계,20356,14500,6878,7355,102,14335,165,5856
,관내사전투표,4075,4075,2319,1693,26,4038,37,0
,명일제1동제1투,3147,1795,794,948,22,1764,31,1352
,명일제1동제2투,3407,2197,891,1255,21,2167,30,1210
,명일제1동제3투,2810,1988,788,1174,7,1969,19,822
,명일제1동제4투,3452,2290,1051,1204,8,2263,27,1162
,명일제1동제5투,3465,2155,1035,1081,18,2134,21,1310
명일제2동,소계,13578,10505,4749,5605,68,10422,83,3073
,관내사전투표,3616,3616,1922,1656,20,3598,18,0
,명일제2동제1투,2335,1697,728,950,10,1688,9,638
,명일제2동제2투,2355,1406,605,761,16,1382,24,949
,명일제2동제3투,2720,1937,834,1074,14,1922,15,783
,명일제2동제4투,2552,1849,660,1164,8,1832,17,703
고덕제1동,소계,18842,13970,6875,6885,83,13843,127,4872
,관내사전투표,4603,4603,2669,1875,20,4564,39,0
,고덕제1동제1투,1963,1191,607,570,5,1182,9,772
,고덕제1동제2투,2013,1303,642,636,10,1288,15,710
,고덕제1동제3투,1945,1230,530,672,14,1216,14,715
,고덕제1동제4투,2183,1207,525,642,19,1186,21,976
,고덕제1동제5투,3098,2272,917,1338,6,2261,11,826
,고덕제1동제6투,3037,2164,985,1152,9,2146,18,873
고덕제2동,소계,15858,11589,4841,6542,90,11473,116,4269
,관내사전투표,3901,3900,1994,1842,34,3870,30,1
,고덕제2동제1투,2261,1107,447,627,15,1089,18,1154
,고덕제2동제2투,2082,1094,464,597,14,1075,19,988
,고덕제2동제3투,3186,2289,798,1459,7,2264,25,897
,고덕제2동제4투,1894,1403,553,833,6,1392,11,491
,고덕제2동제5투,2534,1796,585,1184,14,1783,13,738
암사제1동,소계,28479,17384,9530,7476,153,17159,225,11095
,관내사전투표,4682,4682,2997,1624,30,4651,31,0
,암사제1동제1투,3629,1566,849,675,14,1538,28,2063
,암사제1동제2투,3115,1578,856,670,22,1548,30,1537
,암사제1동제3투,2945,1498,798,667,14,1479,19,1447
,암사제1동제4투,2922,1518,800,683,16,1499,19,1404
,암사제1동제5투,2542,1324,722,570,14,1306,18,1218
,암사제1동제6투,2819,1457,754,660,14,1428,29,1362
,암사제1동제7투,2782,1546,768,721,25,1514,32,1236
,암사제1동제8투,3043,2215,986,1206,4,2196,19,828
암사제2동,소계,12989,9419,5079,4186,75,9340,79,3570
,관내사전투표,4512,4511,2762,1679,37,4478,33,1
,암사제2동제1투,2091,1216,498,699,9,1206,10,875
,암사제2동제2투,3521,1878,987,859,15,1861,17,1643
,암사제2동제3투,2865,1814,832,949,14,1795,19,1051
암사제3동,소계,14580,10967,5356,5461,54,10871,96,3613
,관내사전투표,3883,3883,2234,1616,12,3862,21,0
,암사제3동제1투,3113,1975,843,1107,7,1957,18,1138
,암사제3동제2투,2657,1872,750,1085,13,1848,24,785
,암사제3동제3투,2630,1704,794,880,11,1685,19,926
,암사제3동제4투,2297,1533,735,773,11,1519,14,764
길동,소계,36907,22965,11901,10584,212,22697,268,13942
,관내사전투표,6322,6321,3846,2384,48,6278,43,1
,길동제1투,3593,1855,923,872,23,1818,37,1738
,길동제2투,2812,1635,765,839,11,1615,20,1177
,길동제3투,3266,1825,890,888,18,1796,29,1441
,길동제4투,4467,2239,1190,997,23,2210,29,2228
,길동제5투,2414,1377,706,642,10,1358,19,1037
,길동제6투,3509,1476,732,705,20,1457,19,2033
,길동제7투,3224,1931,848,1045,15,1908,23,1293
,길동제8투,1234,692,343,336,5,684,8,542
,길동제9투,2822,1662,722,910,13,1645,17,1160
,길동제10투,3244,1952,936,966,26,1928,24,1292
잘못 투입·구분된 투표지,,0,3,1,2,0,3,0,-3
