읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이해식,미래통합당이재영,정의당권중도,국가혁명배당금당박희열,계,무효투표수,기권수
합계,,165610,109651,59175,45617,2996,705,108493,1158,55959
거소·선상투표,,214,205,101,83,11,5,200,5,9
관외사전투표,,10780,10775,6696,3493,333,95,10617,158,5
국외부재자투표,,715,222,146,64,12,0,222,0,493
국외부재자투표(공관),,0,8,4,3,1,0,8,0,-8
천호제1동,소계,23602,14779,7933,6166,409,93,14601,178,8823
,관내사전투표,4664,4664,2898,1607,97,20,4622,42,0
,천호제1동제1투,3673,1733,891,736,54,16,1697,36,1940
,천호제1동제2투,3175,1735,784,876,50,9,1719,16,1440
,천호제1동제3투,3236,1656,905,647,68,13,1633,23,1580
,천호제1동제4투,3189,1756,865,800,60,11,1736,20,1433
,천호제1동제5투,2785,1551,719,764,37,13,1533,18,1234
,천호제1동제6투,2880,1684,871,736,43,11,1661,23,1196
천호제2동,소계,29174,17608,9608,7189,479,136,17412,196,11566
,관내사전투표,5550,5548,3462,1890,118,37,5507,41,2
,천호제2동제1투,2479,1298,659,564,41,15,1279,19,1181
,천호제2동제2투,2872,1614,823,735,31,11,1600,14,1258
,천호제2동제3투,2240,1195,642,495,41,1,1179,16,1045
,천호제2동제4투,2900,1490,712,705,45,9,1471,19,1410
,천호제2동제5투,3505,1795,907,787,52,20,1766,29,1710
,천호제2동제6투,3388,1783,952,737,54,18,1761,22,1605
,천호제2동제7투,3855,1765,892,776,65,10,1743,22,2090
,천호제2동제8투,2385,1120,559,500,32,15,1106,14,1265
천호제3동,소계,22285,13580,7055,5939,367,79,13440,140,8705
,관내사전투표,3580,3580,2138,1333,71,14,3556,24,0
,천호제3동제1투,3000,1433,665,702,43,11,1421,12,1567
,천호제3동제2투,3196,2026,878,1066,54,11,2009,17,1170
,천호제3동제3투,3412,1913,979,840,52,13,1884,29,1499
,천호제3동제4투,2936,1363,687,601,39,12,1339,24,1573
,천호제3동제5투,3238,1585,833,672,49,7,1561,24,1653
,천호제3동제6투,2923,1680,875,725,59,11,1670,10,1243
성내제1동,소계,16055,11221,6073,4725,287,43,11128,93,4834
,관내사전투표,4261,4261,2667,1467,88,16,4238,23,0
,성내제1동제1투,2623,1405,677,677,31,8,1393,12,1218
,성내제1동제2투,3334,2026,977,957,62,11,2007,19,1308
,성내제1동제3투,2869,1645,890,678,54,2,1624,21,1224
,성내제1동제4투,2968,1884,862,946,52,6,1866,18,1084
성내제2동,소계,20811,13019,6971,5453,376,84,12884,135,7792
,관내사전투표,4739,4739,2869,1697,108,27,4701,38,0
,성내제2동제1투,3269,1490,748,663,52,11,1474,16,1779
,성내제2동제2투,3344,1776,871,815,59,11,1756,20,1568
,성내제2동제3투,3446,1809,862,851,60,12,1785,24,1637
,성내제2동제4투,2924,1570,799,700,52,4,1555,15,1354
,성내제2동제5투,3089,1635,822,727,45,19,1613,22,1454
성내제3동,소계,19743,13171,7073,5543,348,91,13055,116,6572
,관내사전투표,5633,5632,3448,2004,112,27,5591,41,1
,성내제3동제1투,3044,1463,653,726,53,17,1449,14,1581
,성내제3동제2투,3030,1665,734,837,61,17,1649,16,1365
,성내제3동제3투,3921,2199,1075,1027,54,15,2171,28,1722
,성내제3동제4투,4115,2212,1163,949,68,15,2195,17,1903
둔촌제2동,소계,22231,15058,7513,6957,372,79,14921,137,7173
,관내사전투표,4539,4538,2717,1664,107,16,4504,34,1
,둔촌제2동제1투,3730,1896,897,905,53,15,1870,26,1834
,둔촌제2동제2투,3341,1948,885,977,58,12,1932,16,1393
,둔촌제2동제3투·둔촌제1동투,4046,2541,1265,1191,52,15,2523,18,1505
,둔촌제2동제4투,3116,1932,844,1000,50,10,1904,28,1184
,둔촌제2동제5투,3459,2203,905,1220,52,11,2188,15,1256
잘못 투입·구분된 투표지,,0,5,2,2,1,0,5,0,-5
