읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박용진,미래통합당안홍렬,국가혁명배당금당좌태홍,계,무효투표수,기권수
합계,,137495,89639,57013,30708,737,88458,1181,47856
거소·선상투표,,197,187,101,75,4,180,7,10
관외사전투표,,9328,9327,6691,2405,85,9181,146,1
국외부재자투표,,556,121,83,37,1,121,0,435
국외부재자투표(공관),,0,10,5,4,1,10,0,-10
삼양동,소계,20264,11838,7460,4136,95,11691,147,8426
,관내사전투표,3388,3388,2344,990,23,3357,31,0
,삼양동제1투,1355,387,225,150,6,381,6,968
,삼양동제2투,2086,1009,578,408,5,991,18,1077
,삼양동제3투,2232,1013,638,354,8,1000,13,1219
,삼양동제4투,2796,1390,860,498,14,1372,18,1406
,삼양동제5투,2915,1663,1037,594,12,1643,20,1252
,삼양동제6투,1829,823,497,306,7,810,13,1006
,삼양동제7투,1314,674,372,284,3,659,15,640
,삼양동제8투,2349,1491,909,552,17,1478,13,858
미아동,소계,19814,12386,7928,4162,102,12192,194,7428
,관내사전투표,4581,4581,3329,1176,29,4534,47,0
,미아동제1투,2942,1449,906,502,12,1420,29,1493
,미아동제2투,1435,814,492,303,12,807,7,621
,미아동제3투,3434,1781,997,713,23,1733,48,1653
,미아동제4투,2579,1313,745,536,5,1286,27,1266
,미아동제5투,2362,1267,759,479,11,1249,18,1095
,미아동제6투,2481,1181,700,453,10,1163,18,1300
송중동,소계,24581,14809,9262,5253,110,14625,184,9772
,관내사전투표,4005,4004,2887,1062,18,3967,37,1
,송중동제1투,2564,1067,626,423,8,1057,10,1497
,송중동제2투,2394,1156,680,442,11,1133,23,1238
,송중동제3투,2937,1762,989,741,13,1743,19,1175
,송중동제4투,2818,1579,907,630,13,1550,29,1239
,송중동제5투,2595,1497,949,521,11,1481,16,1098
,송중동제6투,1916,932,519,395,9,923,9,984
,송중동제7투,2886,1579,960,582,13,1555,24,1307
,송중동제8투,2466,1233,745,457,14,1216,17,1233
송천동,소계,23680,14263,8683,5242,143,14068,195,9417
,관내사전투표,3825,3825,2670,1083,26,3779,46,0
,송천동제1투,2746,1140,613,492,19,1124,16,1606
,송천동제2투,2171,1173,675,461,18,1154,19,998
,송천동제3투,2337,1313,744,543,15,1302,11,1024
,송천동제4투,2289,1403,794,582,9,1385,18,886
,송천동제5투,2676,1404,817,546,19,1382,22,1272
,송천동제6투,2339,1205,706,462,13,1181,24,1134
,송천동제7투,2774,1519,953,542,7,1502,17,1255
,송천동제8투,2523,1281,711,531,17,1259,22,1242
삼각산동,소계,24392,17195,11083,5850,108,17041,154,7197
,관내사전투표,4832,4831,3545,1233,19,4797,34,1
,삼각산동제1투,2365,1406,864,523,8,1395,11,959
,삼각산동제2투,2062,981,545,408,11,964,17,1081
,삼각산동제3투,2886,1908,1208,666,15,1889,19,978
,삼각산동제4투,2224,1623,956,644,11,1611,12,601
,삼각산동제5투,2981,2108,1373,705,11,2089,19,873
,삼각산동제6투,2560,1440,788,619,14,1421,19,1120
,삼각산동제7투,2041,1287,744,521,12,1277,10,754
,삼각산동제8투,2441,1611,1060,531,7,1598,13,830
번3동,소계,14683,9498,5712,3544,88,9344,154,5185
,관내사전투표,3584,3582,2366,1148,22,3536,46,2
,번3동제1투,1755,744,380,339,14,733,11,1011
,번3동제2투,2400,1341,813,499,9,1321,20,1059
,번3동제3투,1748,806,465,314,11,790,16,942
,번3동제4투,2502,1464,799,603,23,1425,39,1038
,번3동제5투,2694,1561,889,641,9,1539,22,1133
잘못 투입·구분된 투표지,,0,5,5,0,0,5,0,-5
