읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당진성준,미래통합당김태우,우리공화당박혜영,국가혁명배당금당정홍대,계,무효투표수,기권수
합계,,176017,120281,66684,50281,1087,705,118757,1524,55736
거소·선상투표,,310,294,133,143,4,6,286,8,16
관외사전투표,,11876,11869,7529,3967,79,102,11677,192,7
국외부재자투표,,842,227,162,60,3,0,225,2,615
국외부재자투표(공관),,0,7,6,1,0,0,7,0,-7
등촌제3동,소계,26611,18161,9905,7655,223,114,17897,264,8450
,관내사전투표,5411,5410,3496,1808,43,21,5368,42,1
,등촌제3동제1투,2610,1409,669,661,23,15,1368,41,1201
,등촌제3동제2투,3043,2146,1083,996,30,6,2115,31,897
,등촌제3동제3투,2954,1944,1000,893,17,11,1921,23,1010
,등촌제3동제4투,2001,1047,496,489,29,10,1024,23,954
,등촌제3동제5투,1969,1147,604,486,14,12,1116,31,822
,등촌제3동제6투,2366,1204,614,543,18,10,1185,19,1162
,등촌제3동제7투,2461,1582,845,701,12,12,1570,12,879
,등촌제3동제8투,2040,1098,499,524,30,13,1066,32,942
,등촌제3동제9투,1756,1174,599,554,7,4,1164,10,582
가양제1동,소계,26221,16737,9207,7142,130,66,16545,192,9484
,관내사전투표,4806,4805,2972,1736,33,18,4759,46,1
,가양제1동제1투,2491,1535,666,827,19,7,1519,16,956
,가양제1동제2투,1733,1035,523,486,6,10,1025,10,698
,가양제1동제3투,2352,1378,525,818,12,5,1360,18,974
,가양제1동제4투,1896,1050,570,458,3,6,1037,13,846
,가양제1동제5투,1591,1046,481,540,11,1,1033,13,545
,가양제1동제6투,2009,1409,662,726,5,6,1399,10,600
,가양제1동제7투,3656,1928,1190,690,19,5,1904,24,1728
,가양제1동제8투,2902,1266,806,426,7,7,1246,20,1636
,가양제1동제9투,2785,1285,812,435,15,1,1263,22,1500
가양제2동,소계,13784,9372,4928,4132,101,57,9218,154,4412
,관내사전투표,3694,3694,2236,1367,30,19,3652,42,0
,가양제2동제1투,1648,938,307,615,8,5,935,3,710
,가양제2동제2투,2021,1278,717,527,12,4,1260,18,743
,가양제2동제3투,2264,1117,547,508,15,16,1086,31,1147
,가양제2동제4투,1718,886,421,422,17,5,865,21,832
,가양제2동제5투,2439,1459,700,693,19,8,1420,39,980
공항동,소계,21322,12930,7273,5311,107,82,12773,157,8392
,관내사전투표,4057,4057,2589,1395,19,18,4021,36,0
,공항동제1투,2428,1394,668,691,15,4,1378,16,1034
,공항동제2투,3096,1428,716,651,19,16,1402,26,1668
,공항동제3투,2712,1083,543,500,21,13,1077,6,1629
,공항동제4투,2381,1050,557,453,12,8,1030,20,1331
,공항동제5투,2379,1204,629,531,11,8,1179,25,1175
,공항동제6투,4269,2714,1571,1090,10,15,2686,28,1555
방화제1동,소계,34666,23937,13387,10037,175,106,23705,232,10729
,관내사전투표,7560,7560,4833,2608,40,28,7509,51,0
,방화제1동제1투,2404,1498,798,669,8,9,1484,14,906
,방화제1동제2투,2508,1378,680,664,9,8,1361,17,1130
,방화제1동제3투,2539,1301,638,619,19,9,1285,16,1238
,방화제1동제4투,2252,1063,472,538,16,12,1038,25,1189
,방화제1동제5투,2337,1406,717,655,14,4,1390,16,931
,방화제1동제6투,3236,1870,930,906,9,8,1853,17,1366
,방화제1동제7투,2516,1609,867,698,13,8,1586,23,907
,방화제1동제8투,2793,1773,993,744,14,6,1757,16,1020
,방화제1동제9투,2638,1823,1098,691,12,8,1809,14,815
,방화제1동제10투,3883,2656,1361,1245,21,6,2633,23,1227
방화제2동,소계,19557,12249,6429,5440,116,93,12078,171,7308
,관내사전투표,4017,4017,2487,1452,28,28,3995,22,0
,방화제2동제1투,2742,1304,686,563,20,12,1281,23,1438
,방화제2동제2투,2638,1078,516,512,16,12,1056,22,1560
,방화제2동제3투,2785,1559,778,730,19,9,1536,23,1226
,방화제2동제4투,2260,1335,629,670,8,12,1319,16,925
,방화제2동제5투,1963,1127,555,524,10,10,1099,28,836
,방화제2동제6투,1337,804,277,502,4,5,788,16,533
,방화제2동제7투,1815,1025,501,487,11,5,1004,21,790
방화제3동,소계,20828,14495,7724,6391,149,79,14343,152,6333
,관내사전투표,5602,5601,3382,2107,37,24,5550,51,1
,방화제3동제1투,2863,1545,793,701,22,11,1527,18,1318
,방화제3동제2투,1867,1108,638,448,11,8,1105,3,759
,방화제3동제3투,1915,1074,547,464,31,9,1051,23,841
,방화제3동제4투,2557,1468,702,733,10,8,1453,15,1089
,방화제3동제5투,1921,1287,531,734,10,2,1277,10,634
,방화제3동제6투,1813,1053,479,529,15,11,1034,19,760
,방화제3동제7투,2290,1359,652,675,13,6,1346,13,931
잘못 투입·구분된 투표지,,0,3,1,2,0,0,3,0,-3
