읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당유기홍,민생당이승한,정의당이동영,우리공화당권미성,민중당송명숙,국가혁명배당금당김용태,무소속김성식,계,무효투표수,기권수
합계,,243127,161860,83479,2749,6306,3477,2223,947,50078,149259,12601,81267
거소·선상투표,,294,285,129,5,9,4,0,8,51,206,79,9
관외사전투표,,17950,17942,10803,393,916,515,272,171,4022,17092,850,8
국외부재자투표,,1138,314,209,2,6,1,0,1,29,248,66,824
국외부재자투표(공관),,0,8,2,0,0,0,1,0,0,3,5,-8
보라매동,소계,20833,12915,6550,259,559,317,201,78,3750,11714,1201,7918
,관내사전투표,3731,3731,2281,76,153,71,61,21,934,3597,134,0
,보라매동제1투,3075,1877,778,43,60,68,17,9,668,1643,234,1198
,보라매동제2투,3033,1775,850,40,76,42,29,10,510,1557,218,1258
,보라매동제3투,3834,2079,940,41,101,35,31,20,647,1815,264,1755
,보라매동제4투,3602,1636,799,23,71,44,26,8,464,1435,201,1966
,보라매동제5투,3558,1817,902,36,98,57,37,10,527,1667,150,1741
은천동,소계,27652,17845,8972,295,837,406,188,80,5648,16426,1419,9807
,관내사전투표,5963,5963,3493,109,264,111,64,27,1700,5768,195,0
,은천동제1투,3025,1548,661,26,75,48,21,8,522,1361,187,1477
,은천동제2투,3204,1692,713,34,84,51,22,10,607,1521,171,1512
,은천동제3투,2807,1529,625,25,75,47,12,1,587,1372,157,1278
,은천동제4투,2896,1971,934,28,99,39,19,6,709,1834,137,925
,은천동제5투,2940,1847,914,28,59,45,20,10,598,1674,173,1093
,은천동제6투,3252,1627,787,19,93,32,17,8,483,1439,188,1625
,은천동제7투,3565,1668,845,26,88,33,13,10,442,1457,211,1897
성현동,소계,23936,16593,8155,189,421,318,135,65,6152,15435,1158,7343
,관내사전투표,4609,4609,2730,63,110,75,31,13,1476,4498,111,0
,성현동제1투,2906,1731,824,24,33,40,10,4,610,1545,186,1175
,성현동제2투,3720,2226,1051,24,66,38,25,10,832,2046,180,1494
,성현동제3투,2555,1881,792,15,47,39,15,6,870,1784,97,674
,성현동제4투,2847,1985,823,13,55,32,11,13,893,1840,145,862
,성현동제5투,2791,1788,823,11,51,35,13,8,723,1664,124,1003
,성현동제6투,1718,779,386,15,18,3,8,5,266,701,78,939
,성현동제7투,2790,1594,726,24,41,56,22,6,482,1357,237,1196
중앙동,소계,13679,8575,4418,146,299,142,183,60,2648,7896,679,5104
,관내사전투표,3471,3471,2117,60,116,56,71,21,925,3366,105,0
,중앙동제1투,3165,1638,713,33,58,23,31,20,585,1463,175,1527
,중앙동제2투,3144,1706,822,22,57,33,29,13,538,1514,192,1438
,중앙동제3투,3899,1760,766,31,68,30,52,6,600,1553,207,2139
청림동,소계,12866,9172,4440,117,274,188,71,47,3410,8547,625,3694
,관내사전투표,3610,3610,2061,50,110,58,30,15,1181,3505,105,0
,청림동제1투,2732,1657,550,24,64,36,13,9,762,1458,199,1075
,청림동제2투,3067,1566,699,20,34,39,16,12,543,1363,203,1501
,청림동제3투,3457,2339,1130,23,66,55,12,11,924,2221,118,1118
행운동,소계,25251,16477,8357,279,584,314,249,75,5551,15409,1068,8774
,관내사전투표,5403,5403,3230,94,191,64,95,20,1563,5257,146,0
,행운동제1투,3107,1752,857,39,84,41,26,12,550,1609,143,1355
,행운동제2투,3553,2048,929,46,101,50,30,9,730,1895,153,1505
,행운동제3투,3787,2086,1052,24,81,38,28,14,646,1883,203,1701
,행운동제4투,3518,1648,771,36,48,37,35,9,568,1504,144,1870
,행운동제5투,2540,1349,634,18,44,23,14,8,497,1238,111,1191
,행운동제6투,3343,2191,884,22,35,61,21,3,997,2023,168,1152
청룡동,소계,27657,17352,8632,297,646,353,258,98,5621,15905,1447,10305
,관내사전투표,5150,5150,3077,78,190,82,81,30,1431,4969,181,0
,청룡동제1투,3849,1903,903,44,91,60,27,15,541,1681,222,1946
,청룡동제2투,3786,1993,947,31,72,53,32,10,615,1760,233,1793
,청룡동제3투,3723,2078,999,44,90,32,43,10,624,1842,236,1645
,청룡동제4투,3809,2259,1042,41,74,62,25,12,793,2049,210,1550
,청룡동제5투,4474,2542,1095,42,83,49,42,17,981,2309,233,1932
,청룡동제6투,2866,1427,569,17,46,15,8,4,636,1295,132,1439
낙성대동,소계,14069,9173,4630,150,356,162,136,39,3008,8481,692,4896
,관내사전투표,3884,3884,2280,85,161,60,49,14,1127,3776,108,0
,낙성대동제1투,3772,1950,872,24,65,39,40,8,649,1697,253,1822
,낙성대동제2투,3255,1555,684,20,56,24,25,5,592,1406,149,1700
,낙성대동제3투,3158,1784,794,21,74,39,22,12,640,1602,182,1374
인헌동,소계,22926,15166,7673,244,511,279,194,89,4997,13987,1179,7760
,관내사전투표,6091,6091,3634,95,221,100,73,30,1778,5931,160,0
,인헌동제1투,3025,1464,651,27,43,32,22,7,498,1280,184,1561
,인헌동제2투,3716,1838,786,26,63,41,32,15,667,1630,208,1878
,인헌동제3투,3411,1833,810,37,61,32,26,17,633,1616,217,1578
,인헌동제4투,3341,1809,820,33,69,39,20,8,603,1592,217,1532
,인헌동제5투,3342,2131,972,26,54,35,21,12,818,1938,193,1211
남현동,소계,15389,9956,4910,144,388,254,108,64,3052,8920,1036,5433
,관내사전투표,3106,3106,1916,46,113,67,34,14,802,2992,114,0
,남현동제1투,3100,1815,840,25,72,42,15,4,587,1585,230,1285
,남현동제2투,2893,1756,758,16,51,44,17,14,637,1537,219,1137
,남현동제3투,3221,1619,720,33,77,37,14,15,504,1400,219,1602
,남현동제4투,3069,1660,676,24,75,64,28,17,522,1406,254,1409
신림동,소계,19487,10079,5595,229,500,224,227,72,2138,8985,1094,9408
,관내사전투표,3345,3345,2171,78,153,84,74,17,626,3203,142,0
,신림동제1투,4880,2014,1056,42,93,36,36,21,453,1737,277,2866
,신림동제2투,4747,1828,957,43,94,35,47,18,364,1558,270,2919
,신림동제3투,3434,1405,705,27,83,27,32,7,302,1183,222,2029
,신림동제4투,3081,1487,706,39,77,42,38,9,393,1304,183,1594
잘못 투입·구분된 투표지,,0,8,4,0,0,0,0,0,1,5,3,-8
