읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당전혜숙,미래통합당김병민,민생당임동순,정의당오봉석,국가혁명배당금당이승욱,계,무효투표수,기권수
합계,,156559,106506,56608,42822,1842,3690,492,105454,1052,50053
거소·선상투표,,206,197,75,89,12,11,3,190,7,9
관외사전투표,,10763,10756,6555,3413,151,424,71,10614,142,7
국외부재자투표,,783,206,146,52,0,6,1,205,1,577
국외부재자투표(공관),,0,4,1,3,0,0,0,4,0,-4
중곡제1동,소계,13396,8441,4664,3115,223,313,44,8359,82,4955
,관내사전투표,3357,3357,2070,1054,83,121,7,3335,22,0
,중곡제1동제1투,2978,1423,739,562,31,68,8,1408,15,1555
,중곡제1동제2투,1962,982,496,392,37,37,8,970,12,980
,중곡제1동제3투,2785,1500,763,621,41,44,14,1483,17,1285
,중곡제1동제4투,2314,1179,596,486,31,43,7,1163,16,1135
중곡제2동,소계,18358,11564,6303,4444,223,436,42,11448,116,6794
,관내사전투표,4054,4054,2535,1271,91,116,8,4021,33,0
,중곡제2동제1투,2693,1353,650,588,36,59,6,1339,14,1340
,중곡제2동제2투,3009,1690,906,674,18,67,7,1672,18,1319
,중곡제2동제3투,3353,1810,911,745,35,88,10,1789,21,1543
,중곡제2동제4투,2259,1122,564,489,12,41,5,1111,11,1137
,중곡제2동제5투,2990,1535,737,677,31,65,6,1516,19,1455
중곡제3동,소계,14300,8866,4667,3578,199,277,52,8773,93,5434
,관내사전투표,2738,2738,1672,938,42,61,9,2722,16,0
,중곡제3동제1투,2258,1302,639,566,27,49,6,1287,15,956
,중곡제3동제2투,2123,1227,601,533,39,32,5,1210,17,896
,중곡제3동제3투,2300,1222,595,517,48,34,10,1204,18,1078
,중곡제3동제4투,2684,1314,627,567,28,61,14,1297,17,1370
,중곡제3동제5투,2197,1063,533,457,15,40,8,1053,10,1134
중곡제4동,소계,25318,16628,8872,6615,362,539,99,16487,141,8690
,관내사전투표,5412,5411,3437,1654,103,162,23,5379,32,1
,중곡제4동제1투,2693,1657,785,741,45,62,9,1642,15,1036
,중곡제4동제2투,3133,1910,1018,775,40,51,9,1893,17,1223
,중곡제4동제3투,2731,1337,620,607,33,55,10,1325,12,1394
,중곡제4동제4투,2491,1357,661,588,31,46,13,1339,18,1134
,중곡제4동제5투,2883,1545,777,670,24,52,7,1530,15,1338
,중곡제4동제6투,2712,1416,626,667,36,53,17,1399,17,1296
,중곡제4동제7투,3263,1995,948,913,50,58,11,1980,15,1268
능동,소계,10092,6832,3742,2577,106,306,23,6754,78,3260
,관내사전투표,2734,2734,1731,830,41,99,5,2706,28,0
,능동제1투,2099,1074,515,466,17,63,5,1066,8,1025
,능동제2투,2359,1266,651,492,24,65,9,1241,25,1093
,능동제3투,2900,1758,845,789,24,79,4,1741,17,1142
구의제2동,소계,21688,14244,7626,5756,226,446,55,14109,135,7444
,관내사전투표,4318,4318,2707,1379,61,124,11,4282,36,0
,구의제2동제1투,2623,1239,617,535,19,50,5,1226,13,1384
,구의제2동제2투,2355,1548,741,739,13,38,6,1537,11,807
,구의제2동제3투,2252,1288,647,562,19,50,4,1282,6,964
,구의제2동제4투,3249,1891,954,815,34,60,9,1872,19,1358
,구의제2동제5투,3258,1801,870,818,37,46,9,1780,21,1457
,구의제2동제6투,3633,2159,1090,908,43,78,11,2130,29,1474
광장동,소계,25198,18473,8437,9184,132,543,45,18341,132,6725
,관내사전투표,5384,5383,3002,2179,37,134,8,5360,23,1
,광장동제1투,3717,2054,758,1186,21,64,3,2032,22,1663
,광장동제2투,2537,1600,459,1060,16,46,5,1586,14,937
,광장동제3투,3140,2180,1077,1001,15,62,7,2162,18,960
,광장동제4투,3432,2496,1153,1223,12,79,8,2475,21,936
,광장동제5투,3779,2490,1159,1213,17,75,7,2471,19,1289
,광장동제6투,3209,2270,829,1322,14,83,7,2255,15,939
군자동,소계,16457,10293,5518,3996,208,389,57,10168,125,6164
,관내사전투표,2999,2999,1869,959,50,80,9,2967,32,0
,군자동제1투,2882,1506,745,618,32,72,13,1480,26,1376
,군자동제2투,2078,1184,639,450,20,57,4,1170,14,894
,군자동제3투,2091,1158,585,468,29,59,8,1149,9,933
,군자동제4투,2207,1189,608,471,29,48,10,1166,23,1018
,군자동제5투,2009,1156,535,539,29,35,7,1145,11,853
,군자동제6투,2191,1101,537,491,19,38,6,1091,10,1090
잘못 투입·구분된 투표지,,0,2,2,0,0,0,0,2,0,-2
