읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당오기형,미래통합당김선동,국가혁명배당금당김관석,무소속최순자,계,무효투표수,기권수
합계,,148641,98926,51756,44554,641,683,97634,1292,49715
거소·선상투표,,341,321,127,159,7,8,301,20,20
관외사전투표,,8659,8649,5290,3007,98,103,8498,151,10
국외부재자투표,,540,136,94,41,0,0,135,1,404
국외부재자투표(공관),,0,5,4,0,0,0,4,1,-5
쌍문2동,소계,16281,10028,5358,4391,78,72,9899,129,6253
,관내사전투표,2659,2658,1609,999,13,12,2633,25,1
,쌍문2동제1투,3390,1605,830,720,13,14,1577,28,1785
,쌍문2동제2투,3004,1598,791,753,14,15,1573,25,1406
,쌍문2동제3투,2094,1140,545,555,17,9,1126,14,954
,쌍문2동제4투,2608,1678,854,793,7,9,1663,15,930
,쌍문2동제5투,2526,1349,729,571,14,13,1327,22,1177
쌍문4동,소계,15185,10317,5419,4717,52,52,10240,77,4868
,관내사전투표,3633,3633,2203,1386,11,12,3612,21,0
,쌍문4동제1투,2821,1495,731,729,12,10,1482,13,1326
,쌍문4동제2투,2971,1799,795,972,8,12,1787,12,1172
,쌍문4동제3투,2699,1668,798,833,16,7,1654,14,1031
,쌍문4동제4투,3061,1722,892,797,5,11,1705,17,1339
방학1동,소계,23639,14791,7467,7003,83,95,14648,143,8848
,관내사전투표,4400,4398,2554,1772,21,17,4364,34,2
,방학1동제1투,2774,1231,598,602,7,10,1217,14,1543
,방학1동제2투,2589,1339,677,620,12,11,1320,19,1250
,방학1동제3투,3090,1598,785,773,6,14,1578,20,1492
,방학1동제4투,3219,1750,814,888,12,14,1728,22,1469
,방학1동제5투,2981,1586,823,720,18,12,1573,13,1395
,방학1동제6투,2273,1334,554,760,2,9,1325,9,939
,방학1동제7투,2313,1555,662,868,5,8,1543,12,758
방학2동,소계,17679,10561,5464,4828,70,80,10442,119,7118
,관내사전투표,4053,4053,2366,1605,20,28,4019,34,0
,방학2동제1투,2520,1091,512,545,12,7,1076,15,1429
,방학2동제2투,1830,931,459,447,7,9,922,9,899
,방학2동제3투,2340,1112,514,570,8,6,1098,14,1228
,방학2동제4투,2446,1284,608,643,10,12,1273,11,1162
,방학2동제5투,2205,979,465,483,7,10,965,14,1226
,방학2동제6투,2285,1111,540,535,6,8,1089,22,1174
방학3동,소계,22779,15775,8318,7152,82,83,15635,140,7004
,관내사전투표,5559,5559,3315,2178,24,14,5531,28,0
,방학3동제1투,2480,1347,706,608,3,12,1329,18,1133
,방학3동제2투,2702,1582,699,847,11,9,1566,16,1120
,방학3동제3투,2970,1609,716,849,10,14,1589,20,1361
,방학3동제4투,2257,1280,645,611,8,8,1272,8,977
,방학3동제5투,2218,1445,663,757,2,9,1431,14,773
,방학3동제6투,2300,1554,844,670,10,9,1533,21,746
,방학3동제7투,2293,1399,730,632,14,8,1384,15,894
도봉1동,소계,19555,12117,5960,5730,79,101,11870,247,7438
,관내사전투표,4160,4160,2421,1650,17,32,4120,40,0
,도봉1동제1투,2767,1111,541,540,7,14,1102,9,1656
,도봉1동제2투,3610,2062,922,1072,15,17,2026,36,1548
,도봉1동제3투,1940,923,401,472,11,8,892,31,1017
,도봉1동제4투,1258,669,290,348,7,6,651,18,589
,도봉1동제5투,2284,1365,567,756,5,8,1336,29,919
,도봉1동제6투,3536,1827,818,892,17,16,1743,84,1709
도봉2동,소계,23983,16219,8252,7524,92,89,15957,262,7764
,관내사전투표,4686,4673,2812,1784,13,15,4624,49,13
,도봉2동제1투,2114,892,424,434,6,5,869,23,1222
,도봉2동제2투,2414,1533,659,835,9,8,1511,22,881
,도봉2동제3투,2196,1023,542,459,7,6,1014,9,1173
,도봉2동제4투,2343,1296,641,583,14,11,1249,47,1047
,도봉2동제5투,3548,2192,1025,1105,18,14,2162,30,1356
,도봉2동제6투,3169,2180,1043,1050,14,9,2116,64,989
,도봉2동제7투,3513,2430,1106,1274,11,21,2412,18,1083
잘못 투입·구분된 투표지,,0,7,3,2,0,0,5,2,-7
