읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김성환,미래통합당이준석,정의당이남수,민중당김선경,국가혁명배당금당김광철,계,무효투표수,기권수
합계,,151435,105415,55556,46373,1645,551,400,104525,890,46020
거소·선상투표,,296,281,127,136,7,0,6,276,5,15
관외사전투표,,10565,10551,6035,3993,230,98,60,10416,135,14
국외부재자투표,,605,188,137,42,5,0,1,185,3,417
국외부재자투표(공관),,0,12,7,5,0,0,0,12,0,-12
상계1동,소계,31664,20912,10880,9413,304,71,71,20739,173,10752
,관내사전투표,6042,6042,3616,2271,75,24,19,6005,37,0
,상계1동제1투,3744,1684,838,786,30,5,10,1669,15,2060
,상계1동제2투,2907,1688,899,733,26,10,5,1673,15,1219
,상계1동제3투,3385,2122,1148,917,25,5,5,2100,22,1263
,상계1동제4투,2972,1755,723,984,27,6,4,1744,11,1217
,상계1동제5투,3047,1864,944,855,32,9,7,1847,17,1183
,상계1동제6투,3088,1892,935,912,21,2,9,1879,13,1196
,상계1동제7투,3028,1789,789,935,35,3,5,1767,22,1239
,상계1동제8투,3451,2076,988,1020,33,7,7,2055,21,1375
상계2동,소계,17121,11328,5773,5164,176,77,37,11227,101,5793
,관내사전투표,4587,4586,2646,1808,67,34,7,4562,24,1
,상계2동제1투,3083,1529,696,756,32,12,13,1509,20,1554
,상계2동제2투,3198,1729,746,936,19,7,6,1714,15,1469
,상계2동제3투,3094,1669,834,773,28,10,5,1650,19,1425
,상계2동제4투,3159,1815,851,891,30,14,6,1792,23,1344
상계3·4동,소계,21871,13786,7088,6191,212,75,77,13643,143,8085
,관내사전투표,3394,3394,2053,1233,40,21,14,3361,33,0
,상계3·4동제1투,3483,1885,941,871,31,17,4,1864,21,1598
,상계3·4동제2투,2750,1906,935,906,26,9,16,1892,14,844
,상계3·4동제3투,2533,1637,827,748,27,7,10,1619,18,896
,상계3·4동제4투,1998,1038,475,526,18,2,7,1028,10,960
,상계3·4동제5투,2564,1665,764,851,24,4,7,1650,15,899
,상계3·4동제6투,2721,1071,507,518,17,7,7,1056,15,1650
,상계3·4동제7투,2428,1190,586,538,29,8,12,1173,17,1238
상계5동,소계,21192,13854,6978,6413,186,117,57,13751,103,7338
,관내사전투표,4816,4815,2728,1967,44,32,20,4791,24,1
,상계5동제1투,2683,1163,534,568,18,16,8,1144,19,1520
,상계5동제2투,3097,1789,863,851,33,27,2,1776,13,1308
,상계5동제3투,2425,1211,544,615,26,11,7,1203,8,1214
,상계5동제4투,2944,1846,911,885,24,3,9,1832,14,1098
,상계5동제5투,2524,1485,685,741,23,15,6,1470,15,1039
,상계5동제6투,2703,1545,713,786,18,13,5,1535,10,1158
상계8동,소계,17478,12553,7133,5091,178,36,25,12463,90,4925
,관내사전투표,4690,4690,3006,1587,52,12,10,4667,23,0
,상계8동제1투,2426,1477,788,647,24,8,1,1468,9,949
,상계8동제2투,3012,1951,994,898,35,7,3,1937,14,1061
,상계8동제3투,2701,1690,812,829,28,4,2,1675,15,1011
,상계8동제4투,1890,977,618,326,19,1,5,969,8,913
,상계8동제5투,2759,1768,915,804,20,4,4,1747,21,991
상계9동,소계,16970,12054,6189,5536,174,46,38,11983,71,4916
,관내사전투표,4451,4451,2675,1672,58,17,8,4430,21,0
,상계9동제1투,2918,1665,776,840,27,2,8,1653,12,1253
,상계9동제2투,3017,1902,819,1034,30,5,3,1891,11,1115
,상계9동제3투,3043,1843,883,900,24,7,11,1825,18,1200
,상계9동제4투,3541,2193,1036,1090,35,15,8,2184,9,1348
상계10동,소계,13673,9881,5196,4387,173,31,28,9815,66,3792
,관내사전투표,3746,3746,2296,1364,58,10,4,3732,14,0
,상계10동제1투,2766,1737,738,954,24,9,4,1729,8,1029
,상계10동제2투,2766,1617,796,767,31,3,4,1601,16,1149
,상계10동제3투,1673,1071,553,469,27,6,8,1063,8,602
,상계10동제4투,2722,1710,813,833,33,3,8,1690,20,1012
잘못 투입·구분된 투표지,,0,15,13,2,0,0,0,15,0,-15
