읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당안규백,미래통합당허용범,민생당백금산,민중당오준석,국가혁명배당금당정공명,무소속이가현,계,무효투표수,기권수
합계,,148982,99027,51551,40874,1679,1264,393,2009,97770,1257,49955
거소·선상투표,,235,221,125,74,6,3,2,4,214,7,14
관외사전투표,,12209,12207,7546,3713,153,193,56,315,11976,231,2
국외부재자투표,,741,188,127,56,2,0,0,2,187,1,553
국외부재자투표(공관),,0,11,7,2,0,0,0,2,11,0,-11
용신동,소계,25653,15007,8098,6058,174,148,63,281,14822,185,10646
,관내사전투표,4520,4520,2814,1484,47,36,22,71,4474,46,0
,용신동제1투,3361,1504,673,764,14,8,3,31,1493,11,1857
,용신동제2투,2891,1519,768,658,17,21,8,27,1499,20,1372
,용신동제3투,2798,1425,748,597,22,17,10,18,1412,13,1373
,용신동제4투,2416,1290,689,531,14,9,1,24,1268,22,1126
,용신동제5투,2668,1290,669,545,13,17,6,22,1272,18,1378
,용신동제6투,1140,544,258,242,11,1,4,14,530,14,596
,용신동제7투,2908,1360,684,583,14,22,4,37,1344,16,1548
,용신동제8투,2951,1555,795,654,22,17,5,37,1530,25,1396
제기동,소계,21075,13217,6581,5906,168,139,51,213,13058,159,7858
,관내사전투표,4799,4799,2799,1792,61,43,8,63,4766,33,0
,제기동제1투,3082,1448,607,757,17,16,13,16,1426,22,1634
,제기동제2투,2807,1540,642,814,14,12,3,26,1511,29,1267
,제기동제3투,2842,1176,542,549,15,18,5,24,1153,23,1666
,제기동제4투,2656,1415,625,683,29,15,12,32,1396,19,1241
,제기동제5투,2303,1363,666,607,19,11,5,33,1341,22,940
,제기동제6투,2586,1476,700,704,13,24,5,19,1465,11,1110
청량리동,소계,17873,11485,5277,5606,168,95,53,153,11352,133,6388
,관내사전투표,3659,3659,1999,1484,39,26,19,57,3624,35,0
,청량리동제1투,2389,920,418,442,21,12,4,9,906,14,1469
,청량리동제2투,2549,1618,743,779,41,13,7,21,1604,14,931
,청량리동제3투,1968,1020,452,505,12,17,3,14,1003,17,948
,청량리동제4투,1990,1065,435,566,23,7,5,11,1047,18,925
,청량리동제5투,2340,1347,589,696,14,8,8,18,1333,14,993
,청량리동제6투,2978,1856,641,1134,18,12,7,23,1835,21,1122
회기동,소계,9568,6627,3418,2607,139,124,22,220,6530,97,2941
,관내사전투표,3469,3469,1977,1175,79,67,9,116,3423,46,0
,회기동제1투,2430,1174,519,543,19,24,4,40,1149,25,1256
,회기동제2투,1953,1102,494,507,27,21,1,37,1087,15,851
,회기동제3투,1716,882,428,382,14,12,8,27,871,11,834
휘경제1동,소계,11520,7303,3652,3044,204,116,28,159,7203,100,4217
,관내사전투표,2997,2997,1712,1077,63,52,6,54,2964,33,0
,휘경제1동제1투,2832,1456,625,716,59,16,9,20,1445,11,1376
,휘경제1동제2투,1088,406,173,188,22,8,1,7,399,7,682
,휘경제1동제3투,2527,1266,608,516,33,25,5,51,1238,28,1261
,휘경제1동제4투,2076,1178,534,547,27,15,7,27,1157,21,898
휘경제2동,소계,18642,12203,6198,5145,265,169,52,228,12057,146,6439
,관내사전투표,2782,2782,1702,922,63,20,12,40,2759,23,0
,휘경제2동제1투,2113,1055,464,504,26,19,4,27,1044,11,1058
,휘경제2동제2투,2262,1549,764,699,24,23,4,19,1533,16,713
,휘경제2동제3투,3265,1872,881,802,41,40,12,54,1830,42,1393
,휘경제2동제4투,3182,1773,827,775,49,38,15,37,1741,32,1409
,휘경제2동제5투,2743,1799,830,891,23,8,4,30,1786,13,944
,휘경제2동제6투,2295,1373,730,552,39,21,1,21,1364,9,922
이문제1동,소계,15229,9576,4673,4142,231,150,30,239,9465,111,5653
,관내사전투표,3115,3115,1778,1127,71,41,8,68,3093,22,0
,이문제1동제1투,2399,959,449,429,32,16,1,15,942,17,1440
,이문제1동제2투,1940,1001,479,430,41,9,5,25,989,12,939
,이문제1동제3투,1695,1134,451,595,25,14,2,35,1122,12,561
,이문제1동제4투,1672,774,356,333,19,22,7,29,766,8,898
,이문제1동제5투,2132,1310,591,637,15,20,3,30,1296,14,822
,이문제1동제6투,2276,1283,569,591,28,28,4,37,1257,26,993
이문제2동,소계,16237,10978,5846,4521,169,127,36,193,10892,86,5259
,관내사전투표,3721,3719,2271,1284,46,37,9,54,3701,18,2
,이문제2동제1투,2855,1340,644,579,27,27,10,40,1327,13,1515
,이문제2동제2투,1870,880,424,381,26,16,5,16,868,12,990
,이문제2동제3투,2545,1539,762,695,24,16,6,22,1525,14,1006
,이문제2동제4투,2602,1784,873,823,32,11,3,28,1770,14,818
,이문제2동제5투,2644,1716,872,759,14,20,3,33,1701,15,928
잘못 투입·구분된 투표지,,0,4,3,0,0,0,0,0,3,1,-4
