읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이수진,미래통합당나경원,정의당이호영,민중당최서현,국가혁명배당금당조현숙,계,무효투표수,기권수
합계,,162038,119000,61407,53026,2334,614,345,117726,1274,43038
거소·선상투표,,224,218,86,114,5,3,1,209,9,6
관외사전투표,,14235,14221,8540,4974,327,103,51,13995,226,14
국외부재자투표,,1087,253,171,74,5,2,0,252,1,834
국외부재자투표(공관),,0,5,4,1,0,0,0,5,0,-5
상도제1동,소계,35325,24708,12484,11295,466,108,53,24406,302,10617
,관내사전투표,7583,7582,4452,2919,118,21,12,7522,60,1
,상도제1동제1투,4072,2424,1239,1084,47,16,1,2387,37,1648
,상도제1동제2투,3883,2266,1135,1003,54,14,11,2217,49,1617
,상도제1동제3투,3304,2078,1032,947,52,8,6,2045,33,1226
,상도제1동제4투,3038,1905,827,999,32,8,4,1870,35,1133
,상도제1동제5투,3322,1939,757,1102,47,11,2,1919,20,1383
,상도제1동제6투,3088,1931,877,974,42,11,8,1912,19,1157
,상도제1동제7투,3062,1786,915,770,46,15,7,1753,33,1276
,상도제1동제8투,3973,2797,1250,1497,28,4,2,2781,16,1176
흑석동,소계,26169,18673,8313,9657,375,81,59,18485,188,7496
,관내사전투표,6477,6477,3446,2848,90,20,19,6423,54,0
,흑석동제1투,2783,1798,550,1209,19,6,5,1789,9,985
,흑석동제2투,2566,1111,464,591,16,9,4,1084,27,1455
,흑석동제3투,2637,1698,658,964,42,8,7,1679,19,939
,흑석동제4투,2746,1773,642,1042,54,7,8,1753,20,973
,흑석동제5투,2815,1761,737,932,53,14,6,1742,19,1054
,흑석동제6투,3160,1943,867,979,56,12,7,1921,22,1217
,흑석동제7투,2985,2112,949,1092,45,5,3,2094,18,873
사당제1동,소계,19710,13284,7567,5078,332,102,45,13124,160,6426
,관내사전투표,4461,4461,2900,1385,91,27,12,4415,46,0
,사당제1동제1투,4204,2494,1372,1004,60,18,10,2464,30,1710
,사당제1동제2투,3052,1841,1002,732,50,18,11,1813,28,1211
,사당제1동제3투,2555,1473,706,684,45,14,3,1452,21,1082
,사당제1동제4투,2444,1402,764,573,39,11,5,1392,10,1042
,사당제1동제5투,2994,1613,823,700,47,14,4,1588,25,1381
사당제2동,소계,22668,16612,8023,8003,353,63,38,16480,132,6056
,관내사전투표,5853,5853,3480,2228,94,19,4,5825,28,0
,사당제2동제1투,3165,2257,933,1266,26,5,6,2236,21,908
,사당제2동제2투,1945,1019,511,465,20,8,6,1010,9,926
,사당제2동제3투,2132,1299,686,550,37,7,4,1284,15,833
,사당제2동제4투,2955,1642,667,902,42,10,2,1623,19,1313
,사당제2동제5투,1966,1247,590,593,42,1,7,1233,14,719
,사당제2동제6투,2326,1610,586,957,46,6,4,1599,11,716
,사당제2동제7투,2326,1685,570,1042,46,7,5,1670,15,641
사당제3동,소계,19269,13926,6750,6768,209,53,38,13818,108,5343
,관내사전투표,3567,3567,2039,1442,51,6,9,3547,20,0
,사당제3동제1투,2891,1848,911,883,23,13,5,1835,13,1043
,사당제3동제2투,1441,858,424,404,12,1,1,842,16,583
,사당제3동제3투,2568,1581,584,950,24,8,6,1572,9,987
,사당제3동제4투,3756,2441,1208,1157,45,7,9,2426,15,1315
,사당제3동제5투,2482,1764,830,883,24,5,4,1746,18,718
,사당제3동제6투,2564,1867,754,1049,30,13,4,1850,17,697
사당제4동,소계,12494,9132,5073,3724,156,60,31,9044,88,3362
,관내사전투표,3993,3993,2555,1317,59,17,13,3961,32,0
,사당제4동제1투,2117,1250,620,582,23,11,3,1239,11,867
,사당제4동제2투,1911,1215,541,627,21,8,5,1202,13,696
,사당제4동제3투,2537,1510,768,669,33,15,4,1489,21,1027
,사당제4동제4투,1936,1164,589,529,20,9,6,1153,11,772
사당제5동,소계,10857,7967,4395,3338,106,39,29,7907,60,2890
,관내사전투표,3582,3582,2269,1241,32,14,11,3567,15,0
,사당제5동제1투,923,553,245,292,9,1,4,551,2,370
,사당제5동제2투,2266,1490,696,743,25,9,5,1478,12,776
,사당제5동제3투,2183,1196,598,551,20,4,7,1180,16,987
,사당제5동제4투,1903,1146,587,511,20,11,2,1131,15,757
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,1,0,-1
