읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당우상호,미래통합당이성헌,우리공화당신민호,민중당전진희,국가혁명배당금당고상일,무소속신지예,계,무효투표수,기권수
합계,,131930,91096,47980,37522,330,1026,331,2916,90105,991,40834
거소·선상투표,,222,214,124,70,3,4,7,1,209,5,8
관외사전투표,,12973,12968,7933,4059,30,152,57,560,12791,177,5
국외부재자투표,,962,221,141,66,0,2,0,10,219,2,741
국외부재자투표(공관),,0,17,13,4,0,0,0,0,17,0,-17
충현동,소계,13803,8407,4208,3698,42,122,27,216,8313,94,5396
,관내사전투표,2571,2571,1469,990,8,33,7,45,2552,19,0
,충현동제1투,2919,1268,564,607,7,28,4,41,1251,17,1651
,충현동제2투,2348,1173,518,571,10,17,3,33,1152,21,1175
,충현동제3투,821,472,211,234,1,8,3,13,470,2,349
,충현동제4투,2510,1451,711,647,9,17,6,44,1434,17,1059
,충현동제5투,2634,1472,735,649,7,19,4,40,1454,18,1162
천연동,소계,14411,10175,5355,4372,40,76,34,217,10094,81,4236
,관내사전투표,3612,3612,2162,1304,8,30,7,75,3586,26,0
,천연동제1투,2631,1373,595,720,8,9,7,24,1363,10,1258
,천연동제2투,2588,1518,827,615,8,15,10,28,1503,15,1070
,천연동제3투,2284,1418,736,609,7,9,7,40,1408,10,866
,천연동제4투,515,354,198,140,2,3,1,9,353,1,161
,천연동제5투,2781,1900,837,984,7,10,2,41,1881,19,881
북아현동,소계,14163,9856,5125,4153,38,118,33,295,9762,94,4307
,관내사전투표,4125,4123,2487,1408,15,45,9,120,4084,39,2
,북아현동제1투,2177,1010,482,469,7,12,3,24,997,13,1167
,북아현동제2투,2073,1116,527,517,7,20,5,30,1106,10,957
,북아현동제3투,2912,1769,820,841,6,19,6,63,1755,14,1143
,북아현동제4투,2876,1838,809,918,3,22,10,58,1820,18,1038
신촌동,소계,14983,8755,4166,3692,34,146,32,519,8589,166,6228
,관내사전투표,2331,2332,1337,774,8,35,10,115,2279,53,-1
,신촌동제1투,1826,1015,376,544,4,13,2,65,1004,11,811
,신촌동제2투,3404,1769,729,844,3,17,7,133,1733,36,1635
,신촌동제3투,2217,1045,430,492,4,24,5,72,1027,18,1172
,신촌동제4투,2719,1324,643,537,7,32,3,73,1295,29,1395
,신촌동제5투,2486,1270,651,501,8,25,5,61,1251,19,1216
연희동,소계,29520,18742,9541,8031,59,205,72,627,18535,207,10778
,관내사전투표,5111,5110,2995,1858,5,54,8,157,5077,33,1
,연희동제1투,3204,1463,656,720,2,20,6,44,1448,15,1741
,연희동제2투,1941,1202,526,603,6,8,3,47,1193,9,739
,연희동제3투,2562,1375,642,664,4,17,1,31,1359,16,1187
,연희동제4투,2858,1630,894,639,9,10,10,46,1608,22,1228
,연희동제5투,2613,1640,866,675,5,12,11,51,1620,20,973
,연희동제6투,2623,1517,812,626,8,13,9,35,1503,14,1106
,연희동제7투,2702,1511,672,742,7,25,8,41,1495,16,1191
,연희동제8투,3057,1670,732,770,8,25,11,86,1632,38,1387
,연희동제9투,2849,1624,746,734,5,21,5,89,1600,24,1225
홍제제1동,소계,18710,12803,6727,5465,61,126,44,287,12710,93,5907
,관내사전투표,2691,2691,1652,957,5,17,7,42,2680,11,0
,홍제제1동제1투,2605,1433,759,581,8,16,9,47,1420,13,1172
,홍제제1동제2투,2775,1864,905,882,14,10,6,29,1846,18,911
,홍제제1동제3투,2569,1657,894,685,17,11,4,34,1645,12,912
,홍제제1동제4투,2138,1262,652,538,5,22,8,28,1253,9,876
,홍제제1동제5투,2579,1667,820,755,5,17,5,47,1649,18,912
,홍제제1동제6투,2226,1466,681,700,5,24,4,42,1456,10,760
,홍제제1동제7투,1127,763,364,367,2,9,1,18,761,2,364
홍제제2동,소계,12183,8932,4644,3909,23,75,25,184,8860,72,3251
,관내사전투표,3904,3901,2275,1483,7,30,11,67,3873,28,3
,홍제제2동제1투,1965,975,494,429,6,7,3,25,964,11,990
,홍제제2동제2투,2480,1632,762,796,2,13,3,42,1618,14,848
,홍제제2동제3투,1948,1207,539,618,4,11,3,23,1198,9,741
,홍제제2동제4투,1886,1217,574,583,4,14,5,27,1207,10,669
잘못 투입·구분된 투표지,,0,6,3,3,0,0,0,0,6,0,-6
