읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이용선,미래통합당손영택,우리공화당박철성,국가혁명배당금당김명시,계,무효투표수,기권수
합계,,176413,117575,66759,47897,577,789,116022,1553,58838
거소·선상투표,,242,235,119,104,3,2,228,7,7
관외사전투표,,12015,12008,7758,3897,55,106,11816,192,7
국외부재자투표,,656,179,127,48,2,1,178,1,477
국외부재자투표(공관),,0,9,4,5,0,0,9,0,-9
신월1동,소계,18218,10893,6021,4570,68,82,10741,152,7325
,관내사전투표,3724,3722,2298,1350,13,21,3682,40,2
,신월1동제1투,3342,1526,779,696,12,7,1494,32,1816
,신월1동제2투,2677,1215,606,577,8,8,1199,16,1462
,신월1동제3투,2312,1182,616,536,7,8,1167,15,1130
,신월1동제4투,2851,1422,740,633,15,16,1404,18,1429
,신월1동제5투,3312,1826,982,778,13,22,1795,31,1486
신월2동,소계,17121,11164,5908,4982,49,60,10999,165,5957
,관내사전투표,3739,3739,2229,1428,16,13,3686,53,0
,신월2동제1투,2563,1332,656,639,5,7,1307,25,1231
,신월2동제2투,1637,903,424,448,6,11,889,14,734
,신월2동제3투,3623,2178,1080,1051,7,10,2148,30,1445
,신월2동제4투,2950,1675,836,791,9,14,1650,25,1275
,신월2동제5투,2609,1337,683,625,6,5,1319,18,1272
신월3동,소계,13006,7403,4145,3033,52,69,7299,104,5603
,관내사전투표,2832,2832,1807,963,17,18,2805,27,0
,신월3동제1투,2539,998,517,449,10,11,987,11,1541
,신월3동제2투,2571,1238,678,516,9,12,1215,23,1333
,신월3동제3투,2329,1073,520,506,9,19,1054,19,1256
,신월3동제4투,2735,1262,623,599,7,9,1238,24,1473
신월4동,소계,15139,10147,5829,4087,46,71,10033,114,4992
,관내사전투표,4249,4249,2737,1436,15,29,4217,32,0
,신월4동제1투,3074,1614,810,765,6,15,1596,18,1460
,신월4동제2투,2601,1454,767,658,4,6,1435,19,1147
,신월4동제3투,3078,1736,933,737,15,16,1701,35,1342
,신월4동제4투,2137,1094,582,491,6,5,1084,10,1043
신월5동,소계,12614,8011,4538,3275,42,47,7902,109,4603
,관내사전투표,3744,3743,2337,1321,15,23,3696,47,1
,신월5동제1투,2854,1467,761,681,7,5,1454,13,1387
,신월5동제2투,2919,1345,675,626,12,9,1322,23,1574
,신월5동제3투,3097,1456,765,647,8,10,1430,26,1641
신월6동,소계,6870,5213,3173,1938,18,28,5157,56,1657
,관내사전투표,2975,2974,2022,907,6,13,2948,26,1
,신월6동제1투,1592,847,420,405,3,9,837,10,745
,신월6동제2투,977,603,276,316,1,1,594,9,374
,신월6동제3투,1326,789,455,310,8,5,778,11,537
신월7동,소계,18010,11611,6462,4875,45,71,11453,158,6399
,관내사전투표,4055,4055,2596,1387,13,24,4020,35,0
,신월7동제1투,2526,1127,570,512,12,11,1105,22,1399
,신월7동제2투,2397,1246,632,579,5,9,1225,21,1151
,신월7동제3투,2066,1082,537,518,1,6,1062,20,984
,신월7동제4투,1941,1000,484,487,10,6,987,13,941
,신월7동제5투,2640,1651,884,724,2,11,1621,30,989
,신월7동제6투,2385,1450,759,668,2,4,1433,17,935
신정3동,소계,34314,22925,12768,9690,97,130,22685,240,11389
,관내사전투표,5084,5080,3242,1753,20,21,5036,44,4
,신정3동제1투,2147,1192,630,530,7,10,1177,15,955
,신정3동제2투,1613,742,368,349,5,7,729,13,871
,신정3동제3투,1599,614,272,326,3,8,609,5,985
,신정3동제4투,1703,790,388,388,3,7,786,4,913
,신정3동제5투,1683,991,513,452,8,7,980,11,692
,신정3동제6투,2937,1896,877,978,6,9,1870,26,1041
,신정3동제7투,2657,1687,934,715,8,10,1667,20,970
,신정3동제8투,2540,1583,787,764,5,7,1563,20,957
,신정3동제9투,2691,1754,948,776,6,9,1739,15,937
,신정3동제10투,2923,1931,1081,811,10,8,1910,21,992
,신정3동제11투,2818,1871,1108,722,8,14,1852,19,947
,신정3동제12투,2001,1478,847,606,4,9,1466,12,523
,신정3동제13투,1918,1316,773,520,4,4,1301,15,602
신정4동,소계,28208,17771,9906,7390,100,122,17518,253,10437
,관내사전투표,5838,5838,3759,1965,12,27,5763,75,0
,신정4동제1투,3145,1746,948,731,12,19,1710,36,1399
,신정4동제2투,2377,1200,594,570,10,11,1185,15,1177
,신정4동제3투,2528,1083,510,533,8,15,1066,17,1445
,신정4동제4투,2624,1555,773,732,14,11,1530,25,1069
,신정4동제5투,3029,1727,908,776,10,13,1707,20,1302
,신정4동제6투,2799,1432,765,633,5,6,1409,23,1367
,신정4동제7투,2622,1382,741,603,13,6,1363,19,1240
,신정4동제8투,3246,1808,908,847,16,14,1785,23,1438
잘못 투입·구분된 투표지,,0,6,1,3,0,0,4,2,-6
