읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당최기상,미래통합당강성만,국가혁명배당금당박창래,무소속차성수,계,무효투표수,기권수
합계,,207730,132177,64735,46278,1057,18365,130435,1742,75553
거소·선상투표,,302,282,106,98,14,54,272,10,20
관외사전투표,,12226,12223,7270,3156,99,1514,12039,184,3
국외부재자투표,,657,178,128,36,2,11,177,1,479
국외부재자투표(공관),,0,7,3,3,0,0,6,1,-7
가산동,소계,18625,10788,5839,3353,99,1331,10622,166,7837
,관내사전투표,3701,3700,2308,898,30,420,3656,44,1
,가산동제1투,3569,1402,685,491,13,187,1376,26,2167
,가산동제2투,2461,1112,579,357,14,134,1084,28,1349
,가산동제3투,2836,1698,760,709,8,209,1686,12,1138
,가산동제4투,3140,1506,777,464,13,226,1480,26,1634
,가산동제5투,1012,502,234,205,8,46,493,9,510
,가산동제6투,1906,868,496,229,13,109,847,21,1038
독산제1동,소계,33416,20734,9999,7276,147,3067,20489,245,12682
,관내사전투표,4656,4656,2663,1208,27,719,4617,39,0
,독산제1동제1투,3811,1615,745,556,12,277,1590,25,2196
,독산제1동제2투,2651,1227,610,416,12,162,1200,27,1424
,독산제1동제3투,5236,2423,1201,802,20,369,2392,31,2813
,독산제1동제4투,3576,2290,1089,879,13,287,2268,22,1286
,독산제1동제5투,2903,1686,771,602,23,239,1635,51,1217
,독산제1동제6투,3667,2337,942,1015,18,337,2312,25,1330
,독산제1동제7투,4026,2661,1147,1132,13,354,2646,15,1365
,독산제1동제8투,2890,1839,831,666,9,323,1829,10,1051
독산제2동,소계,16589,9822,4724,3470,99,1419,9712,110,6767
,관내사전투표,3657,3656,2006,1093,34,498,3631,25,1
,독산제2동제1투,2232,1059,453,407,15,166,1041,18,1173
,독산제2동제2투,2134,979,423,390,8,140,961,18,1155
,독산제2동제3투,2026,991,463,362,13,140,978,13,1035
,독산제2동제4투,2043,1078,447,454,14,157,1072,6,965
,독산제2동제5투,2124,904,418,324,7,140,889,15,1220
,독산제2동제6투,2373,1155,514,440,8,178,1140,15,1218
독산제3동,소계,21558,12530,6310,4458,100,1485,12353,177,9028
,관내사전투표,4499,4498,2523,1372,26,519,4440,58,1
,독산제3동제1투,3042,1490,703,591,18,154,1466,24,1552
,독산제3동제2투,3030,1577,741,636,10,162,1549,28,1453
,독산제3동제3투,3099,1431,655,548,18,191,1412,19,1668
,독산제3동제4투,2700,986,459,364,10,133,966,20,1714
,독산제3동제5투,2409,1158,566,423,7,157,1153,5,1251
,독산제3동제6투,2779,1390,663,524,11,169,1367,23,1389
독산제4동,소계,14028,8420,4187,2867,57,1194,8305,115,5608
,관내사전투표,3713,3713,2023,1099,18,533,3673,40,0
,독산제4동제1투,2688,1104,546,386,19,133,1084,20,1584
,독산제4동제2투,2670,1232,531,500,8,181,1220,12,1438
,독산제4동제3투,2127,930,406,358,3,143,910,20,1197
,독산제4동제4투,2830,1441,681,524,9,204,1418,23,1389
시흥제1동,소계,27870,16347,7554,6243,133,2198,16128,219,11523
,관내사전투표,4794,4793,2506,1587,26,622,4741,52,1
,시흥제1동제1투,2677,1498,682,579,17,198,1476,22,1179
,시흥제1동제2투,3536,1949,811,800,14,296,1921,28,1587
,시흥제1동제3투,4666,2547,1149,1126,6,244,2525,22,2119
,시흥제1동제4투,2253,898,425,309,11,132,877,21,1355
,시흥제1동제5투,2481,1161,465,482,12,178,1137,24,1320
,시흥제1동제6투,2262,1157,521,434,20,167,1142,15,1105
,시흥제1동제7투,2183,1145,485,445,15,183,1128,17,1038
,시흥제1동제8투,3018,1199,510,481,12,178,1181,18,1819
시흥제2동,소계,17784,12481,5579,4733,64,1978,12354,127,5303
,관내사전투표,3988,3988,2066,1241,17,621,3945,43,0
,시흥제2동제1투,2103,906,344,354,5,189,892,14,1197
,시흥제2동제2투,2297,1420,573,593,12,227,1405,15,877
,시흥제2동제3투,2588,1766,621,891,8,231,1751,15,822
,시흥제2동제4투,2724,1960,809,810,10,318,1947,13,764
,시흥제2동제5투,2472,1606,785,528,5,273,1591,15,866
,시흥제2동제6투,1612,835,381,316,7,119,823,12,777
시흥제3동,소계,9770,6671,3134,2473,59,934,6600,71,3099
,관내사전투표,2848,2848,1480,899,26,423,2828,20,0
,시흥제3동제1투,2385,1220,531,495,11,167,1204,16,1165
,시흥제3동제2투,1661,901,400,338,7,145,890,11,760
,시흥제3동제3투,1715,925,392,398,6,117,913,12,790
,시흥제3동제4투,1161,777,331,343,9,82,765,12,384
시흥제4동,소계,17760,10980,5129,4107,99,1496,10831,149,6780
,관내사전투표,4062,4062,2148,1303,27,539,4017,45,0
,시흥제4동제1투,2622,1352,594,535,9,201,1339,13,1270
,시흥제4동제2투,2114,806,356,319,13,99,787,19,1308
,시흥제4동제3투,1832,926,380,410,14,110,914,12,906
,시흥제4동제4투,2375,1400,614,552,9,208,1383,17,975
,시흥제4동제5투,2369,1143,473,489,8,151,1121,22,1226
,시흥제4동제6투,2386,1291,564,499,19,188,1270,21,1095
시흥제5동,소계,17145,10713,4772,4005,85,1684,10546,167,6432
,관내사전투표,4000,4000,1989,1312,32,609,3942,58,0
,시흥제5동제1투,2315,1181,448,464,13,237,1162,19,1134
,시흥제5동제2투,3064,1439,622,560,10,214,1406,33,1625
,시흥제5동제3투,2980,1663,718,666,5,248,1637,26,1317
,시흥제5동제4투,2481,1206,476,488,14,207,1185,21,1275
,시흥제5동제5투,2305,1224,519,515,11,169,1214,10,1081
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
