읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강태웅,미래통합당권영세,민생당권혁문,정의당정연욱,민중당김은희,국가혁명배당금당김희전,계,무효투표수,기권수
합계,,203233,135043,63001,63891,1311,4251,648,541,133643,1400,68190
거소·선상투표,,259,246,105,100,8,12,2,6,233,13,13
관외사전투표,,13812,13797,7555,5346,137,395,100,52,13585,212,15
국외부재자투표,,1588,400,190,193,3,11,1,0,398,2,1188
국외부재자투표(공관),,0,10,4,6,0,0,0,0,10,0,-10
후암동,소계,14738,9419,5280,3521,116,310,51,50,9328,91,5319
,관내사전투표,3987,3987,2548,1231,28,115,21,16,3959,28,0
,후암동제1투,3329,1526,802,626,23,52,6,4,1513,13,1803
,후암동제2투,2345,1174,593,476,25,41,13,8,1156,18,1171
,후암동제3투,2500,1344,635,597,21,56,7,15,1331,13,1156
,후암동제4투,2577,1388,702,591,19,46,4,7,1369,19,1189
용산2가동,소계,8837,5494,2920,2156,78,215,37,23,5429,65,3343
,관내사전투표,2270,2270,1348,773,28,85,9,4,2247,23,0
,용산2가동제1투,2264,951,463,410,15,30,15,6,939,12,1313
,용산2가동제2투,1487,791,345,382,11,37,4,3,782,9,696
,용산2가동제3투,1354,744,389,298,13,25,4,6,735,9,610
,용산2가동제4투,1462,738,375,293,11,38,5,4,726,12,724
남영동,소계,7100,3963,2147,1501,49,143,35,26,3901,62,3137
,관내사전투표,1511,1511,925,478,14,49,15,12,1493,18,0
,남영동제1투,2984,1252,654,495,16,50,11,9,1235,17,1732
,남영동제2투,2605,1200,568,528,19,44,9,5,1173,27,1405
청파동,소계,15860,9364,5232,3384,100,388,95,35,9234,130,6496
,관내사전투표,3051,3050,1969,861,27,127,33,9,3026,24,1
,청파동제1투,1546,802,377,356,10,40,4,4,791,11,744
,청파동제2투,2022,1061,571,412,11,32,8,5,1039,22,961
,청파동제3투,2266,1154,642,424,14,42,6,7,1135,19,1112
,청파동제4투,2637,1315,698,519,15,47,13,4,1296,19,1322
,청파동제5투,2060,1091,526,450,12,63,20,2,1073,18,969
,청파동제6투,2278,891,449,362,11,37,11,4,874,17,1387
원효로제1동,소계,12948,8795,4439,3777,103,336,36,32,8723,72,4153
,관내사전투표,3459,3459,2036,1245,28,108,18,4,3439,20,0
,원효로제1동제1투,2667,1517,744,634,28,76,10,10,1502,15,1150
,원효로제1동제2투,2392,1348,596,643,18,62,3,13,1335,13,1044
,원효로제1동제3투,4430,2471,1063,1255,29,90,5,5,2447,24,1959
원효로제2동,소계,11211,7612,3865,3252,76,295,30,28,7546,66,3599
,관내사전투표,2877,2877,1720,997,17,107,11,5,2857,20,0
,원효로제2동제1투,3486,1934,864,963,21,69,5,4,1926,8,1552
,원효로제2동제2투,2427,1419,613,693,10,64,5,11,1396,23,1008
,원효로제2동제3투,2421,1382,668,599,28,55,9,8,1367,15,1039
효창동,소계,8405,5975,3076,2465,66,255,30,31,5923,52,2430
