읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강병원,미래통합당허용석,정의당김종민,기본소득당신민주,계,무효투표수,기권수
합계,,210129,139045,78897,49796,6127,2600,137420,1625,71084
거소·선상투표,,846,789,395,200,73,46,714,75,57
관외사전투표,,14423,14404,9276,3970,662,270,14178,226,19
국외부재자투표,,1025,244,173,59,6,6,244,0,781
국외부재자투표(공관),,0,7,5,2,0,0,7,0,-7
갈현제2동,소계,24650,15236,9004,5139,621,330,15094,142,9414
,관내사전투표,5908,5908,4019,1532,206,110,5867,41,0
,갈현제2동제1투,3817,1731,931,656,76,53,1716,15,2086
,갈현제2동제2투,4016,2014,1041,811,97,47,1996,18,2002
,갈현제2동제3투,3822,1862,1043,689,75,33,1840,22,1960
,갈현제2동제4투,3814,1993,1063,776,82,48,1969,24,1821
,갈현제2동제5투,3273,1728,907,675,85,39,1706,22,1545
구산동,소계,26731,15920,9209,5599,645,267,15720,200,10811
,관내사전투표,5222,5220,3494,1433,171,69,5167,53,2
,구산동제1투,4253,1823,1005,671,91,37,1804,19,2430
,구산동제2투,4386,2270,1294,795,91,51,2231,39,2116
,구산동제3투,3207,1519,811,583,70,22,1486,33,1688
,구산동제4투,2503,1291,668,538,57,19,1282,9,1212
,구산동제5투,3628,1871,981,737,83,45,1846,25,1757
,구산동제6투,3532,1926,956,842,82,24,1904,22,1606
갈현제1동,소계,20019,12182,6927,4432,430,234,12023,159,7837
,관내사전투표,4848,4848,3048,1525,155,81,4809,39,0
,갈현제1동제1투,2671,1193,613,489,50,18,1170,23,1478
,갈현제1동제2투,2467,1211,606,511,36,36,1189,22,1256
,갈현제1동제3투,3269,1606,876,609,66,23,1574,32,1663
,갈현제1동제4투,3558,1712,910,671,63,42,1686,26,1846
,갈현제1동제5투,3206,1612,874,627,60,34,1595,17,1594
진관동,소계,42427,30185,15647,11967,1871,476,29961,224,12242
,관내사전투표,8922,8921,5420,2858,466,128,8872,49,1
,진관동제1투,3112,2020,928,916,131,24,1999,21,1092
,진관동제2투,3307,2244,968,1055,171,32,2226,18,1063
,진관동제3투,2724,1757,823,789,106,27,1745,12,967
,진관동제4투,2910,1832,850,809,129,34,1822,10,1078
,진관동제5투,2728,1820,893,767,124,27,1811,9,908
,진관동제6투,3220,2126,887,1049,141,36,2113,13,1094
,진관동제7투,2503,1645,703,813,105,17,1638,7,858
,진관동제8투,2843,1999,907,923,126,22,1978,21,844
,진관동제9투,3578,2323,1268,845,147,39,2299,24,1255
,진관동제10투,3297,2133,1236,698,143,33,2110,23,1164
,진관동제11투,3283,1365,764,445,82,57,1348,17,1918
불광제1동,소계,32230,20972,11547,8082,737,381,20747,225,11258
,관내사전투표,5885,5882,3747,1795,186,104,5832,50,3
,불광제1동제1투,3279,1445,755,577,56,36,1424,21,1834
,불광제1동제2투,3515,2242,1062,1035,73,44,2214,28,1273
,불광제1동제3투,2967,1536,838,594,50,34,1516,20,1431
,불광제1동제4투,2448,1777,748,904,78,30,1760,17,671
,불광제1동제5투,3602,2279,1249,888,82,40,2259,20,1323
,불광제1동제6투,2872,1662,917,650,67,14,1648,14,1210
,불광제1동제7투,4508,2473,1272,1034,83,50,2439,34,2035
,불광제1동제8투,3154,1676,959,605,62,29,1655,21,1478
불광제2동,소계,24682,15146,8664,5482,525,281,14952,194,9536
,관내사전투표,5417,5416,3527,1605,170,80,5382,34,1
,불광제2동제1투,2612,1215,630,518,35,14,1197,18,1397
,불광제2동제2투,2937,1465,788,559,65,28,1440,25,1472
,불광제2동제3투,3000,1387,776,501,51,32,1360,27,1613
,불광제2동제4투,2461,1146,553,508,37,23,1121,25,1315
,불광제2동제5투,2825,1491,778,616,42,31,1467,24,1334
,불광제2동제6투,2546,1398,743,544,54,33,1374,24,1148
,불광제2동제7투,2884,1628,869,631,71,40,1611,17,1256
대조동,소계,23096,13941,8037,4860,555,309,13761,180,9155
,관내사전투표,5204,5201,3341,1543,188,90,5162,39,3
,대조동제1투,3993,1939,1020,761,85,48,1914,25,2054
,대조동제2투,3907,1735,918,668,82,37,1705,30,2172
,대조동제3투,2605,1416,756,535,60,38,1389,27,1189
,대조동제4투,945,457,251,176,11,12,450,7,488
,대조동제5투,3173,1590,868,582,62,48,1560,30,1583
,대조동제6투,3269,1603,883,595,67,36,1581,22,1666
잘못 투입·구분된 투표지,,0,19,13,4,2,0,19,0,-19
