읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박성준,미래통합당지상욱,국가혁명배당금당이주양,계,무효투표수,기권수
합계,,183779,124700,64071,58300,937,123308,1392,59079
거소·선상투표,,349,333,116,187,7,310,23,16
관외사전투표,,12393,12387,7310,4773,105,12188,199,6
국외부재자투표,,1158,300,184,111,1,296,4,858
국외부재자투표(공관),,0,18,6,12,0,18,0,-18
소공동,소계,1711,1171,529,626,5,1160,11,540
,관내사전투표,424,424,233,189,1,423,1,0
,소공동제1투,392,179,68,103,2,173,6,213
,소공동제2투,895,568,228,334,2,564,4,327
회현동,소계,4468,2495,1059,1381,31,2471,24,1973
,관내사전투표,1025,1024,485,521,10,1016,8,1
,회현동제1투,2639,1101,408,669,13,1090,11,1538
,회현동제2투,804,370,166,191,8,365,5,434
명동,소계,2299,1383,590,760,20,1370,13,916
,관내사전투표,640,640,343,283,9,635,5,0
,명동제1투,1522,692,237,436,11,684,8,830
,명동제2투,137,51,10,41,0,51,0,86
필동,소계,3860,2664,1414,1194,20,2628,36,1196
,관내사전투표,1373,1373,846,503,9,1358,15,0
,필동제1투,1254,601,264,321,5,590,11,653
,필동제2투,1233,690,304,370,6,680,10,543
장충동,소계,4071,2649,1425,1155,27,2607,42,1422
,관내사전투표,1146,1146,704,419,11,1134,12,0
,장충동제1투,1532,729,320,385,8,713,16,803
,장충동제2투,1393,774,401,351,8,760,14,619
광희동,소계,3999,2282,1032,1205,14,2251,31,1717
,관내사전투표,549,549,321,221,1,543,6,0
,광희동제1투,1632,680,314,348,7,669,11,952
,광희동제2투,1818,1053,397,636,6,1039,14,765
을지로동,소계,1710,1022,488,506,9,1003,19,688
,관내사전투표,444,444,245,191,4,440,4,0
,을지로동제1투,728,274,100,162,3,265,9,454
,을지로동제2투,538,304,143,153,2,298,6,234
신당동,소계,6806,4145,2263,1815,31,4109,36,2661
,관내사전투표,1654,1654,1012,618,10,1640,14,0
,신당동제1투,1900,776,416,342,9,767,9,1124
,신당동제2투,1474,772,360,402,3,765,7,702
,신당동제3투,1778,943,475,453,9,937,6,835
다산동,소계,11741,7419,4035,3205,88,7328,91,4322
,관내사전투표,2626,2626,1645,919,31,2595,31,0
,다산동제1투,2325,1110,547,538,11,1096,14,1215
,다산동제2투,2412,1335,649,652,20,1321,14,1077
,다산동제3투,2077,1059,558,478,11,1047,12,1018
,다산동제4투,2301,1289,636,618,15,1269,20,1012
약수동,소계,14541,10034,5017,4835,72,9924,110,4507
,관내사전투표,3412,3412,1988,1382,14,3384,28,0
,약수동제1투,1427,631,295,314,10,619,12,796
,약수동제2투,1765,1063,564,465,17,1046,17,702
,약수동제3투,2827,1835,749,1064,7,1820,15,992
,약수동제4투,2692,1793,752,1017,4,1773,20,899
,약수동제5투,2418,1300,669,593,20,1282,18,1118
청구동,소계,11606,7956,4040,3783,53,7876,80,3650
,관내사전투표,2394,2394,1464,900,15,2379,15,0
,청구동제1투,1272,639,336,292,6,634,5,633
,청구동제2투,1748,793,413,358,8,779,14,955
,청구동제3투,2116,1511,590,900,8,1498,13,605
,청구동제4투,1730,1122,575,527,8,1110,12,608
,청구동제5투,2346,1497,662,806,8,1476,21,849
신당제5동,소계,9099,5775,3276,2392,43,5711,64,3324
,관내사전투표,2553,2553,1599,917,15,2531,22,0
,신당제5동제1투,1964,860,436,408,5,849,11,1104
,신당제5동제2투,2830,1385,694,657,17,1368,17,1445
,신당제5동제3투,1752,977,547,410,6,963,14,775
동화동,소계,8838,6157,3224,2818,38,6080,77,2681
,관내사전투표,2638,2637,1581,1014,17,2612,25,1
,동화동제1투,1186,607,303,298,3,604,3,579
,동화동제2투,1675,1037,473,538,7,1018,19,638
,동화동제3투,1882,1104,476,608,8,1092,12,778
,동화동제4투,1457,772,391,360,3,754,18,685
황학동,소계,10772,6462,3624,2684,67,6375,87,4310
,관내사전투표,2111,2111,1349,716,26,2091,20,0
,황학동제1투,3531,1536,807,679,19,1505,31,1995
,황학동제2투,2084,980,544,411,10,965,15,1104
,황학동제3투,3046,1835,924,878,12,1814,21,1211
중림동,소계,9864,6761,3560,3077,50,6687,74,3103
,관내사전투표,2408,2408,1432,944,13,2389,19,0
,중림동제1투,2506,1424,675,727,10,1412,12,1082
,중림동제2투,2523,1336,694,609,15,1318,18,1187
,중림동제3투,2427,1593,759,797,12,1568,25,834
금호1가동,소계,12280,8141,4093,3905,68,8066,75,4139
,관내사전투표,2685,2685,1604,1048,12,2664,21,0
,금호1가동제1투,1951,915,479,415,12,906,9,1036
,금호1가동제2투,2772,1602,749,806,24,1579,23,1170
,금호1가동제3투,2960,1842,818,992,16,1826,16,1118
,금호1가동제4투,1912,1097,443,644,4,1091,6,815
금호2·3가동,소계,19081,12409,6433,5764,84,12281,128,6672
,관내사전투표,4412,4412,2665,1688,24,4377,35,0
,금호2·3가동제1투,3391,1843,879,928,12,1819,24,1548
,금호2·3가동제2투,3062,1607,816,755,19,1590,17,1455
,금호2·3가동제3투,3112,1582,795,744,15,1554,28,1530
,금호2·3가동제4투,2326,1619,654,939,10,1603,16,707
,금호2·3가동제5투,2778,1346,624,710,4,1338,8,1432
금호4가동,소계,12342,8552,4270,4164,49,8483,69,3790
,관내사전투표,3481,3481,2051,1392,14,3457,24,0
,금호4가동제1투,1804,875,382,473,8,863,12,929
,금호4가동제2투,2385,1462,666,776,9,1451,11,923
,금호4가동제3투,2396,1275,580,671,13,1264,11,1121
,금호4가동제4투,2276,1459,591,852,5,1448,11,817
옥수동,소계,20791,14178,6080,7945,55,14080,98,6613
,관내사전투표,3632,3632,1931,1676,13,3620,12,0
,옥수동제1투,3047,1999,803,1175,8,1986,13,1048
,옥수동제2투,2539,1499,522,961,5,1488,11,1040
,옥수동제3투,2860,1800,742,1034,8,1784,16,1060
,옥수동제4투,3073,1475,470,980,8,1458,17,1598
,옥수동제5투,2354,1599,665,915,6,1586,13,755
,옥수동제6투,3286,2174,947,1204,7,2158,16,1112
잘못 투입·구분된 투표지,,0,7,3,3,0,6,1,-7
