읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당장경태,미래통합당이혜훈,민중당김종민,국가혁명배당금당박경희,계,무효투표수,기권수
합계,,156971,104468,55230,44360,1198,464,101252,3216,52503
거소·선상투표,,231,224,87,81,6,1,175,49,7
관외사전투표,,9634,9631,5662,3066,144,53,8925,706,3
국외부재자투표,,557,149,97,45,2,0,144,5,408
국외부재자투표(공관),,0,4,1,3,0,0,4,0,-4
전농제1동,소계,24348,15099,7732,6640,224,74,14670,429,9249
,관내사전투표,4140,4140,2459,1502,57,12,4030,110,0
,전농제1동제1투,3155,1331,656,580,25,10,1271,60,1824
,전농제1동제2투,2460,1298,662,587,11,2,1262,36,1162
,전농제1동제3투,3249,1666,824,732,36,15,1607,59,1583
,전농제1동제4투,2299,1210,608,530,28,7,1173,37,1089
,전농제1동제5투,2401,1163,565,542,22,5,1134,29,1238
,전농제1동제6투,2058,1060,518,481,17,10,1026,34,998
,전농제1동제7투,2148,1477,686,739,20,2,1447,30,671
,전농제1동제8투,2438,1754,754,947,8,11,1720,34,684
전농제2동,소계,16498,11464,5869,5139,122,39,11169,295,5034
,관내사전투표,4513,4512,2677,1659,42,11,4389,123,1
,전농제2동제1투,1867,1036,445,551,11,5,1012,24,831
,전농제2동제2투,2656,1779,820,900,21,6,1747,32,877
,전농제2동제3투,2141,1231,582,589,14,4,1189,42,910
,전농제2동제4투,3298,1847,822,950,15,10,1797,50,1451
,전농제2동제5투,2023,1059,523,490,19,3,1035,24,964
답십리제1동,소계,23209,15436,8070,6812,174,63,15119,317,7773
,관내사전투표,4807,4807,2961,1706,49,12,4728,79,0
,답십리제1동제1투,2642,1010,515,446,16,3,980,30,1632
,답십리제1동제2투,2770,1484,760,663,19,12,1454,30,1286
,답십리제1동제3투,2246,1509,665,801,15,3,1484,25,737
,답십리제1동제4투,2377,1516,678,767,25,10,1480,36,861
,답십리제1동제5투,3111,1800,848,892,20,5,1765,35,1311
,답십리제1동제6투,1711,980,514,429,11,2,956,24,731
,답십리제1동제7투,3545,2330,1129,1108,19,16,2272,58,1215
답십리제2동,소계,24011,15645,8092,6897,166,81,15236,409,8366
,관내사전투표,3933,3933,2356,1433,33,12,3834,99,0
,답십리제2동제1투,3862,1917,928,901,23,6,1858,59,1945
,답십리제2동제2투,2436,1459,727,662,16,14,1419,40,977
,답십리제2동제3투,1994,1212,592,556,21,9,1178,34,782
,답십리제2동제4투,2715,1736,888,785,20,11,1704,32,979
,답십리제2동제5투,2822,1780,887,822,12,11,1732,48,1042
,답십리제2동제6투,3095,2011,943,996,29,5,1973,38,1084
,답십리제2동제7투,3154,1597,771,742,12,13,1538,59,1557
장안제1동,소계,32044,19830,10627,8295,191,83,19196,634,12214
,관내사전투표,4934,4933,3078,1686,41,21,4826,107,1
,장안제1동제1투,3790,1720,934,702,15,9,1660,60,2070
,장안제1동제2투,3757,1948,998,860,21,6,1885,63,1809
,장안제1동제3투,3612,1625,855,653,24,12,1544,81,1987
,장안제1동제4투,3944,2091,1105,884,23,10,2022,69,1853
,장안제1동제5투,2776,1630,837,708,13,1,1559,71,1146
,장안제1동제6투,3371,1815,947,756,27,16,1746,69,1556
,장안제1동제7투,2875,1955,876,1003,11,3,1893,62,920
,장안제1동제8투,2985,2113,997,1043,16,5,2061,52,872
장안제2동,소계,26439,16984,8993,7381,169,70,16613,371,9455
,관내사전투표,4856,4856,2902,1807,41,11,4761,95,0
,장안제2동제1투,1883,871,402,426,9,6,843,28,1012
,장안제2동제2투,2969,1649,795,795,20,5,1615,34,1320
,장안제2동제3투,2112,1186,554,566,11,9,1140,46,926
,장안제2동제4투,2526,1309,645,600,17,9,1271,38,1217
,장안제2동제5투,3921,2131,1179,866,30,6,2081,50,1790
,장안제2동제6투,2020,1084,558,482,8,8,1056,28,936
,장안제2동제7투,3553,2344,1178,1122,15,9,2324,20,1209
,장안제2동제8투,2599,1554,780,717,18,7,1522,32,1045
잘못 투입·구분된 투표지,,0,2,0,1,0,0,1,1,-2
