읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서영교,미래통합당김삼화,민생당이기현,정의당김지수,민중당성치화,국가혁명배당금당박명수,무소속이성복,계,무효투표수,기권수
합계,,158409,96685,55185,34670,754,2706,624,492,1109,95540,1145,61724
거소·선상투표,,199,187,100,48,2,12,6,7,3,178,9,12
관외사전투표,,9316,9311,5982,2471,59,295,102,81,165,9155,156,5
국외부재자투표,,453,120,95,21,1,2,0,0,1,120,0,333
국외부재자투표(공관),,0,6,4,1,0,1,0,0,0,6,0,-6
면목본동,소계,30535,17601,9924,6349,141,509,123,95,255,17396,205,12934
,관내사전투표,6491,6491,4041,2048,55,149,42,31,60,6426,65,0
,면목본동제1투,4156,1640,800,707,13,53,7,15,29,1624,16,2516
,면목본동제2투,3089,1511,785,598,18,44,17,7,22,1491,20,1578
,면목본동제3투,3435,1627,891,619,9,42,4,9,28,1602,25,1808
,면목본동제4투,3324,1610,860,626,9,56,12,7,20,1590,20,1714
,면목본동제5투,3190,1595,852,597,13,43,22,11,35,1573,22,1595
,면목본동제6투,3668,1608,872,586,13,67,8,5,34,1585,23,2060
,면목본동제7투,3182,1519,823,568,11,55,11,10,27,1505,14,1663
면목제2동,소계,20874,11969,6806,4394,87,332,69,41,105,11834,135,8905
,관내사전투표,3972,3972,2495,1267,33,88,15,9,28,3935,37,0
,면목제2동제1투,3747,1618,844,653,8,54,15,8,10,1592,26,2129
,면목제2동제2투,2746,1403,760,546,16,41,7,9,15,1394,9,1343
,면목제2동제3투,3762,1764,995,675,10,40,5,10,10,1745,19,1998
,면목제2동제4투,3347,1601,839,656,7,57,8,3,11,1581,20,1746
,면목제2동제5투,3300,1611,873,597,13,52,19,2,31,1587,24,1689
면목제3·8동,소계,21145,12103,6647,4578,111,334,79,54,159,11962,141,9042
,관내사전투표,3187,3186,2036,961,28,73,15,15,37,3165,21,1
,면목제3·8동제1투,3211,1451,767,590,15,31,6,5,20,1434,17,1760
,면목제3·8동제2투,2548,1314,656,555,16,37,6,9,12,1291,23,1234
,면목제3·8동제3투,2551,1162,607,463,10,27,8,6,26,1147,15,1389
,면목제3·8동제4투,2553,1271,689,490,11,33,10,7,9,1249,22,1282
,면목제3·8동제5투,2234,1195,604,494,5,41,11,3,19,1177,18,1039
,면목제3·8동제6투,2305,1108,531,477,9,44,11,4,15,1091,17,1197
,면목제3·8동제7투,2556,1416,757,548,17,48,12,5,21,1408,8,1140
면목제4동,소계,16290,9971,5636,3710,85,247,43,55,74,9850,121,6319
,관내사전투표,3610,3610,2261,1177,23,73,11,19,19,3583,27,0
,면목제4동제1투,2392,1132,569,470,16,34,7,6,14,1116,16,1260
,면목제4동제2투,2971,1545,838,601,9,43,7,12,16,1526,19,1426
,면목제4동제3투,2659,1409,789,545,11,27,3,6,12,1393,16,1250
,면목제4동제4투,2292,1070,586,400,13,37,5,8,2,1051,19,1222
,면목제4동제5투,2366,1205,593,517,13,33,10,4,11,1181,24,1161
면목제5동,소계,8352,4966,2990,1674,36,118,28,16,50,4912,54,3386
,관내사전투표,2256,2256,1498,656,19,42,6,3,16,2240,16,0
,면목제5동제1투,3077,1341,760,499,8,32,8,6,15,1328,13,1736
,면목제5동제2투,3019,1369,732,519,9,44,14,7,19,1344,25,1650
면목제7동,소계,19365,12210,6858,4593,97,301,68,50,122,12089,121,7155
,관내사전투표,5132,5132,3112,1763,34,105,26,15,38,5093,39,0
,면목제7동제1투,2864,1268,717,447,13,37,8,11,22,1255,13,1596
,면목제7동제2투,2921,1407,731,553,18,46,10,7,18,1383,24,1514
,면목제7동제3투,2636,1206,667,459,6,34,9,6,12,1193,13,1430
,면목제7동제4투,2876,1559,752,709,14,42,6,7,15,1545,14,1317
,면목제7동제5투,2936,1638,879,662,12,37,9,4,17,1620,18,1298
상봉제2동,소계,16821,9578,5420,3519,65,297,50,42,67,9460,118,7243
,관내사전투표,3276,3276,2047,1062,21,79,7,15,18,3249,27,0
,상봉제2동제1투,3265,1376,765,506,14,39,15,10,8,1357,19,1889
,상봉제2동제2투,4259,2193,1130,922,15,73,8,8,11,2167,26,2066
,상봉제2동제3투,3207,1474,792,547,8,70,6,4,19,1446,28,1733
,상봉제2동제4투,2814,1259,686,482,7,36,14,5,11,1241,18,1555
망우제3동,소계,15059,8663,4723,3312,70,258,56,51,108,8578,85,6396
,관내사전투표,3243,3242,2040,1006,26,83,15,17,26,3213,29,1
,망우제3동제1투,2531,1079,501,483,7,37,8,5,28,1069,10,1452
,망우제3동제2투,3188,1485,719,647,11,44,14,12,22,1469,16,1703
,망우제3동제3투,3480,1657,863,672,16,51,7,13,22,1644,13,1823
,망우제3동제4투,2617,1200,600,504,10,43,12,4,10,1183,17,1417
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0
