읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당박홍근,미래통합당윤상일,민중당이소영,국가혁명배당금당신황우,한국복지당민정기,계,무효투표수,기권수
합계,,192460,126399,74131,47603,1956,722,625,125037,1362,66061
거소·선상투표,,380,359,183,120,10,11,11,335,24,21
관외사전투표,,12086,12070,7916,3467,284,108,90,11865,205,16
국외부재자투표,,715,193,136,52,2,0,1,191,2,522
국외부재자투표(공관),,0,5,4,1,0,0,0,5,0,-5
상봉제1동,소계,19468,12391,7301,4670,176,65,50,12262,129,7077
,관내사전투표,3993,3993,2601,1289,53,13,10,3966,27,0
,상봉제1동제1투,3827,1638,928,621,38,12,7,1606,32,2189
,상봉제1동제2투,3603,2151,1218,867,29,13,9,2136,15,1452
,상봉제1동제3투,3352,1922,1101,755,22,14,8,1900,22,1430
,상봉제1동제4투,3124,1674,950,665,18,7,13,1653,21,1450
,상봉제1동제5투,1569,1013,503,473,16,6,3,1001,12,556
중화제1동,소계,17843,11364,6801,4158,177,57,52,11245,119,6479
,관내사전투표,4778,4778,3144,1508,52,18,18,4740,38,0
,중화제1동제1투,3744,1706,921,718,36,5,8,1688,18,2038
,중화제1동제2투,3227,1605,905,619,35,11,13,1583,22,1622
,중화제1동제3투,3668,1903,1040,788,28,14,10,1880,23,1765
,중화제1동제4투,2426,1372,791,525,26,9,3,1354,18,1054
중화제2동,소계,21506,11452,6689,4292,175,102,51,11309,143,10054
,관내사전투표,2837,2837,1891,877,34,12,6,2820,17,0
,중화제2동제1투,3881,1718,970,663,28,16,10,1687,31,2163
,중화제2동제2투,2862,1295,726,517,15,11,6,1275,20,1567
,중화제2동제3투,3258,1567,845,662,22,14,8,1551,16,1691
,중화제2동제4투,3040,1444,848,515,33,22,7,1425,19,1596
,중화제2동제5투,2729,1314,733,527,21,5,5,1291,23,1415
,중화제2동제6투,2899,1277,676,531,22,22,9,1260,17,1622
묵제1동,소계,27871,18161,10353,7207,236,94,89,17979,182,9710
,관내사전투표,5666,5666,3669,1859,55,24,16,5623,43,0
,묵제1동제1투,2836,1672,860,751,25,6,11,1653,19,1164
,묵제1동제2투,2911,1532,881,601,20,7,10,1519,13,1379
,묵제1동제3투,2673,1919,847,1023,22,1,5,1898,21,754
,묵제1동제4투,3241,1842,1053,718,26,14,13,1824,18,1399
,묵제1동제5투,4225,2239,1240,914,25,18,9,2206,33,1986
,묵제1동제6투,3337,2030,1079,870,37,12,14,2012,18,1307
,묵제1동제7투,2982,1261,724,471,26,12,11,1244,17,1721
묵제2동,소계,16969,10659,6352,3940,158,48,55,10553,106,6310
,관내사전투표,4512,4512,2997,1390,55,13,19,4474,38,0
,묵제2동제1투,3371,1717,918,734,30,6,7,1695,22,1654
,묵제2동제2투,2955,1378,749,572,28,9,7,1365,13,1577
,묵제2동제3투,3094,1581,872,638,31,8,11,1560,21,1513
,묵제2동제4투,3037,1471,816,606,14,12,11,1459,12,1566
망우본동,소계,25976,15507,8083,6834,266,66,88,15337,170,10469
,관내사전투표,5125,5125,3098,1878,63,20,20,5079,46,0
,망우본동제1투,2983,1274,560,663,27,5,8,1263,11,1709
,망우본동제2투,3065,1588,740,789,21,11,12,1573,15,1477
,망우본동제3투,2493,1372,684,641,19,4,7,1355,17,1121
,망우본동제4투,2344,1252,565,635,20,9,10,1239,13,1092
,망우본동제5투,2646,1262,617,589,24,6,10,1246,16,1384
,망우본동제6투,3555,1736,853,792,46,7,11,1709,27,1819
,망우본동제7투,3765,1898,966,847,46,4,10,1873,25,1867
신내제1동,소계,28798,18928,10963,7354,292,77,93,18779,149,9870
,관내사전투표,3110,3110,2032,994,47,12,10,3095,15,0
,신내제1동제1투,3114,1741,888,792,20,9,16,1725,16,1373
,신내제1동제2투,2427,1688,933,698,27,8,5,1671,17,739
,신내제1동제3투,2571,1522,863,606,24,7,11,1511,11,1049
,신내제1동제4투,3947,2407,1438,873,48,6,14,2379,28,1540
,신내제1동제5투,2724,1643,902,694,20,5,10,1631,12,1081
,신내제1동제6투,1833,889,410,445,14,0,9,878,11,944
,신내제1동제7투,2653,1745,932,770,23,5,4,1734,11,908
,신내제1동제8투,3561,2341,1419,845,41,11,7,2323,18,1220
,신내제1동제9투,2858,1842,1146,637,28,14,7,1832,10,1016
신내제2동,소계,20848,15310,9350,5508,180,94,45,15177,133,5538
,관내사전투표,6733,6733,4620,1944,68,39,17,6688,45,0
,신내제2동제1투,2500,1399,763,587,22,4,5,1381,18,1101
,신내제2동제2투,2918,1897,1139,683,30,17,8,1877,20,1021
,신내제2동제3투,3157,2110,1102,954,25,10,4,2095,15,1047
,신내제2동제4투,2899,1706,956,696,20,8,5,1685,21,1193
,신내제2동제5투,2641,1465,770,644,15,16,6,1451,14,1176
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
