읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당홍성국,미래통합당김중로,정의당이혁재,국가혁명배당금당김영호,무소속박상래,무소속윤형권,계,무효투표수,기권수
합계,,142033,100062,55947,32496,5522,507,1167,3458,99097,965,41971
거소·선상투표,,222,215,101,80,9,6,6,7,209,6,7
관외사전투표,,14566,14559,8806,4226,659,91,187,387,14356,203,7
국외부재자투표,,595,118,78,32,4,0,1,2,117,1,477
국외부재자투표(공관),,0,7,4,3,0,0,0,0,7,0,-7
부강면,소계,5261,3123,1366,1475,124,33,18,59,3075,48,2138
,관내사전투표,1473,1473,732,619,43,14,8,31,1447,26,0
,부강면제1투,2631,1082,422,550,55,13,8,22,1070,12,1549
,부강면제2투,1157,568,212,306,26,6,2,6,558,10,589
금남면,소계,7469,4656,1858,2364,180,45,57,87,4591,65,2813
,관내사전투표,1992,1992,965,849,76,10,25,42,1967,25,0
,금남면제1투,2345,1007,378,508,54,19,14,19,992,15,1338
,금남면제2투,1032,550,169,346,10,3,3,13,544,6,482
,금남면제3투,1175,606,204,343,21,5,11,11,595,11,569
,금남면제4투,925,501,142,318,19,8,4,2,493,8,424
장군면,소계,5233,2884,1353,1297,80,28,28,66,2852,32,2349
,관내사전투표,1175,1175,664,420,33,6,12,30,1165,10,0
,장군면제1투,1831,748,293,387,22,11,6,19,738,10,1083
,장군면제2투,1740,678,282,341,17,8,7,13,668,10,1062
,장군면제3투,487,283,114,149,8,3,3,4,281,2,204
한솔동,소계,12870,9542,5558,2743,616,36,159,351,9463,79,3328
,관내사전투표,4206,4206,2769,945,246,18,65,142,4185,21,0
,한솔동제1투,2227,1380,733,450,101,2,25,55,1366,14,847
,한솔동제2투,1862,1216,665,379,81,5,21,51,1202,14,646
,한솔동제3투,1809,1188,612,425,77,4,20,34,1172,16,621
,한솔동제4투,2766,1552,779,544,111,7,28,69,1538,14,1214
도담동,소계,21222,14740,8173,4596,902,61,181,681,14594,146,6482
,관내사전투표,5932,5931,3802,1457,326,15,71,216,5887,44,1
,도담동제1투,1781,922,502,289,58,3,11,41,904,18,859
,도담동제2투,2213,1230,516,528,74,7,17,69,1211,19,983
,도담동제3투,1913,997,514,333,88,6,8,38,987,10,916
,도담동제4투,2014,1173,587,426,76,11,10,55,1165,8,841
,도담동제5투,1959,1219,688,362,74,4,19,59,1206,13,740
,도담동제6투,2338,1509,665,646,89,8,26,66,1500,9,829
,도담동제7투,3072,1759,899,555,117,7,19,137,1734,25,1313
보람동,소계,13274,9369,5338,2882,518,37,115,411,9301,68,3905
,관내사전투표,4856,4853,3068,1213,267,13,54,210,4825,28,3
,보람동제1투,3088,1706,860,627,104,10,15,79,1695,11,1382
,보람동제2투,2770,1565,799,596,76,6,21,57,1555,10,1205
,보람동제3투,2560,1245,611,446,71,8,25,65,1226,19,1315
새롬동,소계,33963,22205,12688,6962,1316,86,208,772,22032,173,11758
,관내사전투표,7120,7120,4580,1861,340,17,53,226,7077,43,0
,새롬동제1투,3278,1708,840,612,123,8,22,78,1683,25,1570
,새롬동제2투,3403,1995,1016,727,138,5,19,71,1976,19,1408
,새롬동제3투,3512,1987,1092,687,111,7,15,71,1983,4,1525
,새롬동제4투,3077,1715,902,565,129,11,19,66,1692,23,1362
,새롬동제5투,3587,2157,1236,701,133,6,18,53,2147,10,1430
,새롬동제6투,2182,1274,769,331,89,6,13,58,1266,8,908
,새롬동제7투,4056,2300,1308,779,100,10,27,61,2285,15,1756
,새롬동제8투,3748,1949,945,699,153,16,22,88,1923,26,1799
대평동,소계,7628,5407,2937,1790,342,32,61,205,5367,40,2221
,관내사전투표,3039,3039,1801,898,156,13,33,119,3020,19,0
,대평동제1투,2400,1264,637,451,90,10,18,46,1252,12,1136
,대평동제2투,2189,1104,499,441,96,9,10,40,1095,9,1085
소담동,소계,19730,13231,7684,4044,772,52,146,430,13128,103,6499
,관내사전투표,4965,4964,3204,1275,253,11,47,142,4932,32,1
,소담동제1투,2992,1839,945,679,117,5,18,59,1823,16,1153
,소담동제2투,2942,1596,863,524,142,13,7,38,1587,9,1346
,소담동제3투,2704,1445,824,451,84,8,22,43,1432,13,1259
,소담동제4투,4081,2239,1218,749,112,10,33,91,2213,26,1842
,소담동제5투,2046,1148,630,366,64,5,19,57,1141,7,898
잘못 투입·구분된 투표지,,0,6,3,2,0,0,0,0,5,1,-6
