읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당강준현,미래통합당김병준,민생당정원희,국가혁명배당금당정태준,계,무효투표수,기권수
합계,,121305,80339,46002,31495,1182,683,79362,977,40966
거소·선상투표,,214,204,88,77,10,8,183,21,10
관외사전투표,,9688,9679,6020,3247,148,98,9513,166,9
국외부재자투표,,419,92,67,25,0,0,92,0,327
국외부재자투표(공관),,0,6,2,4,0,0,6,0,-6
조치원읍,소계,32806,18374,9244,8353,333,170,18100,274,14432
,관내사전투표,4542,4541,2740,1646,68,35,4489,52,1
,조치원읍제1투,2292,1031,401,584,17,11,1013,18,1261
,조치원읍제2투,1629,757,287,432,16,10,745,12,872
,조치원읍제3투,2426,1106,418,643,15,13,1089,17,1320
,조치원읍제4투,3869,1768,828,840,43,22,1733,35,2101
,조치원읍제5투,2603,1440,744,641,18,14,1417,23,1163
,조치원읍제6투,875,362,141,199,6,7,353,9,513
,조치원읍제7투,1919,813,394,369,19,9,791,22,1106
,조치원읍제8투,2530,1218,577,597,25,5,1204,14,1312
,조치원읍제9투,2680,1473,798,623,26,10,1457,16,1207
,조치원읍제10투,2087,995,464,470,27,10,971,24,1092
,조치원읍제11투,2902,1379,610,709,30,11,1360,19,1523
,조치원읍제12투,2452,1491,842,600,23,13,1478,13,961
연기면,소계,2776,1782,948,742,44,21,1755,27,994
,관내사전투표,1082,1082,608,426,22,10,1066,16,0
,연기면투표소,1694,700,340,316,22,11,689,11,994
연동면,소계,2796,1682,725,880,27,25,1657,25,1114
,관내사전투표,658,658,317,313,12,5,647,11,0
,연동면제1투,1130,495,180,281,13,12,486,9,635
,연동면제2투,1008,529,228,286,2,8,524,5,479
전의면,소계,5032,2920,1243,1550,46,39,2878,42,2112
,관내사전투표,1108,1108,579,494,12,12,1097,11,0
,전의면제1투,1665,727,258,425,12,13,708,19,938
,전의면제2투,1651,714,265,411,16,13,705,9,937
,전의면제3투,608,371,141,220,6,1,368,3,237
전동면,소계,3374,1920,759,1064,31,25,1879,41,1454
,관내사전투표,828,828,377,405,8,13,803,25,0
,전동면제1투,1248,524,176,326,11,6,519,5,724
,전동면제2투,477,279,108,153,7,3,271,8,198
,전동면제3투,821,289,98,180,5,3,286,3,532
소정면,소계,2157,1264,504,687,24,20,1235,29,893
,관내사전투표,604,604,256,318,8,8,590,14,0
,소정면투표소,1553,660,248,369,16,12,645,15,893
연서면,소계,6833,4271,2156,1919,79,46,4200,71,2562
,관내사전투표,1863,1863,1160,637,27,16,1840,23,0
,연서면제1투,963,493,189,270,11,8,478,15,470
,연서면제2투,561,316,129,170,5,6,310,6,245
,연서면제3투,755,407,154,241,7,1,403,4,348
,연서면제4투,2691,1192,524,601,29,15,1169,23,1499
아름동,소계,14856,10967,7339,3362,125,59,10885,82,3889
,관내사전투표,4822,4822,3497,1240,44,14,4795,27,0
,아름동제1투,2436,1429,920,465,23,6,1414,15,1007
,아름동제2투,2011,1205,738,429,18,7,1192,13,806
,아름동제3투,2761,1640,982,609,21,17,1629,11,1121
,아름동제4투,2826,1871,1202,619,19,15,1855,16,955
종촌동,소계,19736,13889,8742,4794,158,95,13789,100,5847
,관내사전투표,6323,6321,4324,1868,64,33,6289,32,2
,종촌동제1투,2660,1381,845,491,24,11,1371,10,1279
,종촌동제2투,1429,804,432,348,9,4,793,11,625
,종촌동제3투,2673,1642,1010,584,22,13,1629,13,1031
,종촌동제4투,2069,1342,755,564,9,3,1331,11,727
,종촌동제5투,2548,1315,753,521,18,11,1303,12,1233
,종촌동제6투,2034,1084,623,418,12,20,1073,11,950
고운동,소계,20618,13283,8160,4790,157,77,13184,99,7335
,관내사전투표,4416,4416,2989,1357,39,13,4398,18,0
,고운동제1투,3702,2103,1190,871,17,7,2085,18,1599
,고운동제2투,2729,1476,858,566,19,15,1458,18,1253
,고운동제3투,3733,1980,1161,755,33,14,1963,17,1753
,고운동제4투,3203,1818,1114,650,29,13,1806,12,1385
,고운동제5투,2835,1490,848,591,20,15,1474,16,1345
잘못 투입·구분된 투표지,,0,6,5,1,0,0,6,0,-6
