읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당심규명,미래통합당이채익,민생당강석구,국가혁명배당금당이수복,계,무효투표수,기권수
합계,,147996,104653,44773,55252,2315,1111,103451,1202,43343
거소·선상투표,,272,259,108,112,15,7,242,17,13
관외사전투표,,9784,9778,4977,4216,246,125,9564,214,6
국외부재자투표,,419,90,62,25,1,2,90,0,329
국외부재자투표(공관),,0,2,1,1,0,0,2,0,-2
신정1동,소계,16447,10540,3599,6517,202,114,10432,108,5907
,관내사전투표,3464,3464,1453,1890,70,22,3435,29,0
,신정1동제1투,3380,1592,400,1127,25,17,1569,23,1788
,신정1동제2투,3213,1578,494,1013,28,26,1561,17,1635
,신정1동제3투,3030,1790,617,1092,40,19,1768,22,1240
,신정1동제4투,3360,2116,635,1395,39,30,2099,17,1244
신정2동,소계,18491,13087,5232,7315,295,125,12967,120,5404
,관내사전투표,3347,3347,1628,1595,72,29,3324,23,0
,신정2동제1투,2813,1472,468,934,34,19,1455,17,1341
,신정2동제2투,3208,2095,859,1141,50,24,2074,21,1113
,신정2동제3투,2875,1897,735,1079,47,16,1877,20,978
,신정2동제4투,3549,2293,833,1360,51,22,2266,27,1256
,신정2동제5투,2699,1983,709,1206,41,15,1971,12,716
신정3동,소계,13223,8679,3380,4952,164,100,8596,83,4544
,관내사전투표,3163,3163,1490,1564,58,25,3137,26,0
,신정3동제1투,3167,1583,474,1036,34,25,1569,14,1584
,신정3동제2투,3695,2392,1005,1307,41,19,2372,20,1303
,신정3동제3투,3198,1541,411,1045,31,31,1518,23,1657
신정4동,소계,17467,11690,5071,6126,253,115,11565,125,5777
,관내사전투표,3680,3680,1868,1688,76,19,3651,29,0
,신정4동제1투,3872,2404,1048,1265,45,21,2379,25,1468
,신정4동제2투,2597,1461,471,924,28,17,1440,21,1136
,신정4동제3투,1956,1185,445,687,25,20,1177,8,771
,신정4동제4투,1160,638,192,412,17,12,633,5,522
,신정4동제5투,1601,765,300,416,21,8,745,20,836
,신정4동제6투,2601,1557,747,734,41,18,1540,17,1044
신정5동,소계,7626,4752,1775,2757,100,72,4704,48,2874
,관내사전투표,1756,1756,837,854,33,21,1745,11,0
,신정5동제1투,2881,1564,453,1030,45,17,1545,19,1317
,신정5동제2투,2989,1432,485,873,22,34,1414,18,1557
삼호동,소계,17788,11875,4968,6357,270,147,11742,133,5913
,관내사전투표,4236,4236,2109,1958,87,41,4195,41,0
,삼호동제1투,3058,1805,677,1049,37,21,1784,21,1253
,삼호동제2투,2597,1452,521,871,31,17,1440,12,1145
,삼호동제3투,2140,1129,343,724,26,17,1110,19,1011
,삼호동제4투,2808,1536,547,898,41,30,1516,20,1272
,삼호동제5투,2949,1717,771,857,48,21,1697,20,1232
무거동,소계,25804,18243,8456,8874,506,184,18020,223,7561
,관내사전투표,5433,5433,3061,2106,155,49,5371,62,0
,무거동제1투,3015,1806,692,1023,45,28,1788,18,1209
,무거동제2투,2030,1271,478,724,41,15,1258,13,759
,무거동제3투,3089,1995,849,1048,58,15,1970,25,1094
,무거동제4투,2836,1715,828,818,34,16,1696,19,1121
,무거동제5투,3056,1858,606,1127,57,36,1826,32,1198
,무거동제6투,3254,2048,985,955,64,15,2019,29,1206
,무거동제7투,3091,2117,957,1073,52,10,2092,25,974
옥동,소계,20675,15658,7144,8000,263,120,15527,131,5017
,관내사전투표,5200,5200,2820,2217,96,28,5161,39,0
,옥동제1투,3188,1899,755,1060,34,24,1873,26,1289
,옥동제2투,2618,1838,785,1002,18,19,1824,14,780
,옥동제3투,2964,2109,906,1122,34,17,2079,30,855
,옥동제4투,1573,1183,504,656,10,6,1176,7,390
,옥동제5투,3100,2029,808,1153,44,15,2020,9,1071
,옥동제6투,2032,1400,566,790,27,11,1394,6,632
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
