읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김영문,미래통합당서범수,국가혁명배당금당고진복,무소속전상환,계,무효투표수,기권수
합계,,186083,127265,54563,66317,1213,3628,125721,1544,58818
거소·선상투표,,449,425,174,174,13,41,402,23,24
관외사전투표,,11707,11702,5824,4956,131,545,11456,246,5
국외부재자투표,,395,82,58,24,0,0,82,0,313
국외부재자투표(공관),,0,4,4,0,0,0,4,0,-4
온산읍,소계,17015,9748,4038,5214,93,305,9650,98,7267
,관내사전투표,3017,3017,1543,1339,29,85,2996,21,0
,온산읍제1투,2123,782,214,518,11,29,772,10,1341
,온산읍제2투,2037,1069,493,512,8,45,1058,11,968
,온산읍제3투,2201,1007,328,639,4,25,996,11,1194
,온산읍제4투,2562,1217,451,695,15,42,1203,14,1345
,온산읍제5투,1834,872,361,451,13,42,867,5,962
,온산읍제6투,2499,1344,557,729,10,29,1325,19,1155
,온산읍제7투,742,440,91,331,3,8,433,7,302
언양읍,소계,22663,15292,6248,8310,145,414,15117,175,7371
,관내사전투표,5727,5726,2718,2757,34,149,5658,68,1
,언양읍제1투,2184,1015,292,664,7,30,993,22,1169
,언양읍제2투,2516,1507,590,845,17,45,1497,10,1009
,언양읍제3투,1182,625,149,442,10,14,615,10,557
,언양읍제4투,2625,1501,552,879,19,38,1488,13,1124
,언양읍제5투,1127,631,144,463,9,7,623,8,496
,언양읍제6투,2319,1321,499,766,9,34,1308,13,998
,언양읍제7투,2524,1387,532,764,21,48,1365,22,1137
,언양읍제8투,2459,1579,772,730,19,49,1570,9,880
온양읍,소계,22022,13864,5948,7183,160,407,13698,166,8158
,관내사전투표,4227,4227,2162,1899,26,107,4194,33,0
,온양읍제1투,1607,844,213,581,17,16,827,17,763
,온양읍제2투,2742,1436,537,832,12,41,1422,14,1306
,온양읍제3투,2439,1160,396,703,19,25,1143,17,1279
,온양읍제4투,2626,1591,698,778,22,70,1568,23,1035
,온양읍제5투,2743,1550,576,872,29,50,1527,23,1193
,온양읍제6투,3414,1837,843,881,19,63,1806,31,1577
,온양읍제7투,2224,1219,523,637,16,35,1211,8,1005
범서읍,소계,51375,36791,18358,16885,286,947,36476,315,14584
,관내사전투표,11298,11298,6827,4108,58,244,11237,61,0
,범서읍제1투,2862,1823,841,874,19,66,1800,23,1039
,범서읍제2투,2487,1545,561,923,18,27,1529,16,942
,범서읍제3투,1370,888,257,587,11,21,876,12,482
,범서읍제4투,3259,1963,847,1039,15,46,1947,16,1296
,범서읍제5투,3915,2325,1041,1168,23,62,2294,31,1590
,범서읍제6투,2150,1414,646,688,14,46,1394,20,736
,범서읍제7투,2407,1575,616,873,17,47,1553,22,832
,범서읍제8투,2985,1698,818,785,28,48,1679,19,1287
,범서읍제9투,2841,1670,691,883,19,57,1650,20,1171
,범서읍제10투,2862,1911,841,990,12,52,1895,16,951
,범서읍제11투,2743,1852,981,792,15,55,1843,9,891
,범서읍제12투,3308,2203,1178,941,13,57,2189,14,1105
,범서읍제13투,3716,2528,1210,1209,17,70,2506,22,1188
,범서읍제14투,3172,2098,1003,1025,7,49,2084,14,1074
서생면,소계,6768,4388,1110,3102,40,77,4329,59,2380
,관내사전투표,1495,1495,424,1024,10,17,1475,20,0
,서생면제1투,1821,925,188,688,10,24,910,15,896
,서생면제2투,1124,648,145,482,4,9,640,8,476
,서생면제3투,2328,1320,353,908,16,27,1304,16,1008
웅촌면,소계,6985,4592,1610,2772,41,108,4531,61,2393
,관내사전투표,1640,1640,737,828,13,46,1624,16,0
,웅촌면제1투,1967,1054,270,725,13,23,1031,23,913
,웅촌면제2투,1333,737,203,511,5,8,727,10,596
,웅촌면제3투,2045,1161,400,708,10,31,1149,12,884
두동면,소계,3655,2363,712,1561,25,37,2335,28,1292
,관내사전투표,985,985,374,580,8,15,977,8,0
,두동면제1투,1759,901,252,610,13,16,891,10,858
,두동면제2투,911,477,86,371,4,6,467,10,434
두서면,소계,2949,2072,602,1354,27,42,2025,47,877
,관내사전투표,894,894,324,523,13,18,878,16,0
,두서면제1투,1419,801,212,544,9,20,785,16,618
,두서면제2투,636,377,66,287,5,4,362,15,259
상북면,소계,6917,4525,1419,2942,30,93,4484,41,2392
,관내사전투표,2014,2014,771,1175,17,42,2005,9,0
,상북면제1투,1896,935,274,623,4,21,922,13,961
,상북면제2투,1113,621,153,451,2,10,616,5,492
,상북면제3투,1894,955,221,693,7,20,941,14,939
삼남면,소계,16719,10416,4051,5833,112,295,10291,125,6303
,관내사전투표,3900,3900,1852,1884,36,103,3875,25,0
,삼남면제1투,3017,1379,454,828,16,59,1357,22,1638
,삼남면제2투,2383,1181,370,746,18,27,1161,20,1202
,삼남면제3투,3400,1770,572,1108,20,37,1737,33,1630
,삼남면제4투,1816,937,261,615,16,29,921,16,879
,삼남면제5투,2203,1249,542,652,6,40,1240,9,954
삼동면,소계,1670,1249,404,787,10,31,1232,17,421
,관내사전투표,539,539,239,277,6,12,534,5,0
,삼동면제1투,668,394,95,278,1,11,385,9,274
,삼동면제2투,463,316,70,232,3,8,313,3,147
청량읍,소계,14794,9747,4002,5217,100,286,9605,142,5047
,관내사전투표,2605,2605,1262,1235,19,60,2576,29,0
,청량읍제1투,1362,704,176,487,10,9,682,22,658
,청량읍제2투,1792,1085,325,691,12,46,1074,11,707
,청량읍제3투,2739,1750,681,999,15,38,1733,17,989
,청량읍제4투,2944,1853,825,920,18,61,1824,29,1091
,청량읍제5투,3352,1750,733,885,26,72,1716,34,1602
잘못 투입·구분된 투표지,,0,5,1,3,0,0,4,1,-5
