읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당임동호,미래통합당박성민,국가혁명배당금당송난희,노동당이향희,무소속이철수,계,무효투표수,기권수
합계,,188368,129930,44050,69359,1077,12149,1696,128331,1599,58438
거소·선상투표,,324,318,90,153,11,34,19,307,11,6
관외사전투표,,9315,9314,4004,3861,100,854,263,9082,232,1
국외부재자투표,,395,100,56,32,0,10,1,99,1,295
국외부재자투표(공관),,0,4,1,3,0,0,0,4,0,-4
학성동,소계,9466,6256,1609,3953,59,487,69,6177,79,3210
,관내사전투표,2426,2426,791,1359,19,210,28,2407,19,0
,학성동제1투,2081,1095,250,717,13,85,13,1078,17,986
,학성동제2투,1679,979,194,676,7,75,13,965,14,700
,학성동제3투,1622,936,210,631,10,62,9,922,14,686
,학성동제4투,1658,820,164,570,10,55,6,805,15,838
반구1동,소계,14649,9517,3339,4931,86,939,119,9414,103,5132
,관내사전투표,3436,3435,1539,1435,28,366,37,3405,30,1
,반구1동제1투,2608,1391,442,766,15,139,14,1376,15,1217
,반구1동제2투,2723,1490,417,847,17,157,30,1468,22,1233
,반구1동제3투,3077,1638,420,1037,11,125,24,1617,21,1439
,반구1동제4투,2805,1563,521,846,15,152,14,1548,15,1242
반구2동,소계,7674,5080,1548,2895,50,452,57,5002,78,2594
,관내사전투표,1864,1864,755,877,18,169,22,1841,23,0
,반구2동제1투,1932,1002,222,651,14,91,9,987,15,930
,반구2동제2투,2061,1192,321,718,13,111,13,1176,16,869
,반구2동제3투,1817,1022,250,649,5,81,13,998,24,795
복산1동,소계,4523,3080,925,1781,14,291,31,3042,38,1443
,관내사전투표,1550,1550,539,822,7,142,20,1530,20,0
,복산1동제1투,1880,1026,261,648,4,95,5,1013,13,854
,복산1동제2투,1093,504,125,311,3,54,6,499,5,589
복산2동,소계,9116,6218,2185,3186,55,636,87,6149,69,2898
,관내사전투표,2407,2407,1032,1047,18,252,28,2377,30,0
,복산2동제1투,1791,1025,305,579,13,103,21,1021,4,766
,복산2동제2투,3195,1810,600,951,18,192,27,1788,22,1385
,복산2동제3투,1723,976,248,609,6,89,11,963,13,747
성안동,소계,16250,10644,3756,5072,71,1541,81,10521,123,5606
,관내사전투표,4124,4124,1794,1662,25,583,25,4089,35,0
,성안동제1투,2908,1553,465,809,10,247,8,1539,14,1355
,성안동제2투,2702,1427,428,755,9,206,10,1408,19,1275
,성안동제3투,3318,1815,560,907,19,273,24,1783,32,1503
,성안동제4투,3198,1725,509,939,8,232,14,1702,23,1473
중앙동,소계,12022,7511,1909,4854,76,457,104,7400,111,4511
,관내사전투표,2284,2284,787,1261,20,161,41,2270,14,0
,중앙동제1투,2927,1464,285,1060,11,69,15,1440,24,1463
,중앙동제2투,2308,1285,268,874,21,86,17,1266,19,1023
,중앙동제3투,1792,946,220,637,9,44,14,924,22,846
,중앙동제4투,1639,978,221,650,8,68,13,960,18,661
