읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당유동수,미래통합당이중재,국가혁명배당금당박장백,무소속김수임,계,무효투표수,기권수
합계,,118127,74341,44469,26890,525,1634,73518,823,43786
거소·선상투표,,186,176,93,57,6,10,166,10,10
관외사전투표,,7546,7543,5060,2102,74,198,7434,109,3
국외부재자투표,,274,74,63,11,0,0,74,0,200
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
효성1동,소계,21593,13413,7806,5028,94,329,13257,156,8180
,관내사전투표,4892,4892,3144,1567,19,110,4840,52,0
,효성1동제1투,3099,1423,732,614,10,47,1403,20,1676
,효성1동제2투,2235,1115,577,488,16,19,1100,15,1120
,효성1동제3투,3040,1543,795,664,15,37,1511,32,1497
,효성1동제4투,2829,1377,795,530,7,33,1365,12,1452
,효성1동제5투,1401,705,384,288,10,16,698,7,696
,효성1동제6투,1441,816,444,337,9,24,814,2,625
,효성1동제7투,2656,1542,935,540,8,43,1526,16,1114
효성2동,소계,24577,14649,8492,5569,106,326,14493,156,9928
,관내사전투표,4149,4147,2707,1300,26,80,4113,34,2
,효성2동제1투,2947,1283,630,590,11,37,1268,15,1664
,효성2동제2투,3496,1540,828,638,17,36,1519,21,1956
,효성2동제3투,3620,1999,1120,803,16,42,1981,18,1621
,효성2동제4투,3634,2125,1171,866,11,51,2099,26,1509
,효성2동제5투,2947,1372,768,544,12,29,1353,19,1575
,효성2동제6투,3784,2183,1268,828,13,51,2160,23,1601
작전1동,소계,23125,13990,8283,5179,101,278,13841,149,9135
,관내사전투표,4095,4094,2768,1215,18,55,4056,38,1
,작전1동제1투,3800,1986,1122,783,10,44,1959,27,1814
,작전1동제2투,3433,1704,975,642,17,45,1679,25,1729
,작전1동제3투,3353,1863,999,797,18,34,1848,15,1490
,작전1동제4투,2270,1076,545,483,11,28,1067,9,1194
,작전1동제5투,3441,1739,984,674,16,43,1717,22,1702
,작전1동제6투,2733,1528,890,585,11,29,1515,13,1205
작전2동,소계,16872,9864,5668,3793,61,234,9756,108,7008
,관내사전투표,3731,3730,2399,1211,17,72,3699,31,1
,작전2동제1투,2722,1095,586,448,10,33,1077,18,1627
,작전2동제2투,2655,1364,729,578,8,35,1350,14,1291
,작전2동제3투,2320,1053,585,432,6,16,1039,14,1267
,작전2동제4투,1919,1022,548,433,8,26,1015,7,897
,작전2동제5투,2170,944,493,394,9,33,929,15,1226
,작전2동제6투,1355,656,328,297,3,19,647,9,699
작전서운동,소계,23954,14627,9001,5150,83,259,14493,134,9327
,관내사전투표,3962,3962,2713,1155,18,45,3931,31,0
,작전서운동제1투,2702,1036,582,408,5,23,1018,18,1666
,작전서운동제2투,3319,1938,1197,669,12,41,1919,19,1381
,작전서운동제3투,2652,1474,766,656,10,26,1458,16,1178
,작전서운동제4투,1713,953,519,401,4,22,946,7,760
,작전서운동제5투,3174,1824,1142,626,10,30,1808,16,1350
,작전서운동제6투,3022,1669,1038,577,11,34,1660,9,1353
,작전서운동제7투,1941,948,552,357,10,18,937,11,993
,작전서운동제8투,1469,823,492,301,3,20,816,7,646
잘못 투입·구분된 투표지,,0,5,3,1,0,0,4,1,-5
