읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당맹성규,미래통합당유정복,국가혁명배당금당박유민,계,무효투표수,기권수
합계,,219206,135352,72773,59466,1567,133806,1546,83854
거소·선상투표,,377,352,172,146,20,338,14,25
관외사전투표,,13473,13464,8059,4966,200,13225,239,9
국외부재자투표,,559,160,120,39,1,160,0,399
국외부재자투표(공관),,0,1,1,0,0,1,0,-1
구월1동,소계,25217,16234,8779,7110,195,16084,150,8983
,관내사전투표,5630,5630,3462,2080,39,5581,49,0
,구월1동제1투,3068,1410,691,682,24,1397,13,1658
,구월1동제2투,2543,1255,617,597,25,1239,16,1288
,구월1동제3투,2541,1403,606,760,26,1392,11,1138
,구월1동제4투,2689,1302,628,633,27,1288,14,1387
,구월1동제5투,3550,1855,943,877,19,1839,16,1695
,구월1동제6투,2328,1478,835,617,17,1469,9,850
,구월1동제7투,2868,1901,997,864,18,1879,22,967
구월3동,소계,23577,11030,5888,4802,179,10869,161,12547
,관내사전투표,2816,2816,1775,980,42,2797,19,0
,구월3동제1투,2236,884,414,451,11,876,8,1352
,구월3동제2투,3403,1477,709,703,30,1442,35,1926
,구월3동제3투,3469,1645,691,915,18,1624,21,1824
,구월3동제4투,4835,1659,964,640,28,1632,27,3176
,구월3동제5투,3259,1208,654,514,18,1186,22,2051
,구월3동제6투,3559,1341,681,599,32,1312,29,2218
구월4동,소계,13441,6808,3404,3199,124,6727,81,6633
,관내사전투표,2434,2434,1402,986,28,2416,18,0
,구월4동제1투,2386,833,387,416,16,819,14,1553
,구월4동제2투,2157,939,428,477,25,930,9,1218
,구월4동제3투,2302,968,422,500,32,954,14,1334
,구월4동제4투,2251,905,398,477,16,891,14,1346
,구월4동제5투,1911,729,367,343,7,717,12,1182
간석1동,소계,19338,11420,5750,5401,128,11279,141,7918
,관내사전투표,3365,3364,1976,1336,22,3334,30,1
,간석1동제1투,3537,1603,778,784,16,1578,25,1934
,간석1동제2투,4138,1712,767,888,30,1685,27,2426
,간석1동제3투,3176,1636,801,794,18,1613,23,1540
,간석1동제4투,3018,1950,867,1038,28,1933,17,1068
,간석1동제5투,2104,1155,561,561,14,1136,19,949
간석4동,소계,23165,13303,6797,6133,178,13108,195,9862
,관내사전투표,3464,3463,2024,1376,29,3429,34,1
,간석4동제1투,2600,1126,516,561,26,1103,23,1474
,간석4동제2투,5161,2071,985,994,44,2023,48,3090
,간석4동제3투,3298,1840,836,957,17,1810,30,1458
,간석4동제4투,2613,1635,773,830,16,1619,16,978
,간석4동제5투,2929,1368,770,559,22,1351,17,1561
,간석4동제6투,3100,1800,893,856,24,1773,27,1300
남촌도림동,소계,17396,10122,5159,4740,119,10018,104,7274
,관내사전투표,2720,2720,1583,1101,22,2706,14,0
,남촌도림동제1투,2125,863,392,443,16,851,12,1262
,남촌도림동제2투,2638,1222,614,574,15,1203,19,1416
,남촌도림동제3투,3106,1483,674,762,25,1461,22,1623
,남촌도림동제4투,3822,1959,997,924,19,1940,19,1863
,남촌도림동제5투,2607,1624,821,766,19,1606,18,983
,남촌도림동제6투,378,251,78,170,3,251,0,127
논현1동,소계,25310,15876,8726,6877,136,15739,137,9434
,관내사전투표,5721,5721,3570,2089,30,5689,32,0
,논현1동제1투,2363,1132,644,459,18,1121,11,1231
,논현1동제2투,3256,1401,681,678,22,1381,20,1855
,논현1동제3투,4002,2318,1225,1049,18,2292,26,1684
,논현1동제4투,2503,1106,508,571,13,1092,14,1397
,논현1동제5투,2210,1084,554,499,18,1071,13,1126
,논현1동제6투,2949,1754,877,855,10,1742,12,1195
,논현1동제7투,2306,1360,667,677,7,1351,9,946
논현2동,소계,26545,16349,8808,7183,162,16153,196,10196
,관내사전투표,4960,4960,3092,1800,31,4923,37,0
,논현2동제1투,2739,1076,502,541,18,1061,15,1663
,논현2동제2투,2247,1340,639,671,11,1321,19,907
,논현2동제3투,2413,1393,618,749,7,1374,19,1020
,논현2동제4투,4155,2046,1101,880,32,2013,33,2109
,논현2동제5투,4154,2118,1105,965,23,2093,25,2036
,논현2동제6투,2315,1362,696,629,18,1343,19,953
,논현2동제7투,2167,1337,733,570,14,1317,20,830
,논현2동제8투,1395,717,322,378,8,708,9,678
논현고잔동,소계,30808,20230,11107,8870,125,20102,128,10578
,관내사전투표,6299,6299,4027,2211,27,6265,34,0
,논현고잔동제1투,2792,1513,823,660,12,1495,18,1279
,논현고잔동제2투,4357,1722,891,799,18,1708,14,2635
,논현고잔동제3투,3659,2043,1052,969,10,2031,12,1616
,논현고잔동제4투,3175,2028,1145,857,15,2017,11,1147
,논현고잔동제5투,4297,2575,1054,1490,18,2562,13,1722
,논현고잔동제6투,3143,2210,1218,967,12,2197,13,933
,논현고잔동제7투,2451,1581,818,741,12,1571,10,870
,논현고잔동제8투,635,259,79,176,1,256,3,376
잘못 투입·구분된 투표지,,0,3,3,0,0,3,0,-3
