읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤관석,미래통합당이원복,정의당최승원,국가혁명배당금당김묘진,무소속김지호,계,무효투표수,기권수
합계,,228545,145945,78795,54264,7208,998,3114,144379,1566,82600
거소·선상투표,,533,510,244,139,30,11,49,473,37,23
관외사전투표,,12166,12163,7262,3583,633,104,341,11923,240,3
국외부재자투표,,585,164,117,33,7,1,5,163,1,421
국외부재자투표(공관),,0,13,7,6,0,0,0,13,0,-13
구월2동,소계,27301,18218,10098,6944,650,74,302,18068,150,9083
,관내사전투표,5884,5884,3715,1888,169,14,66,5852,32,0
,구월2동제1투,2656,1483,828,553,59,7,24,1471,12,1173
,구월2동제2투,3344,2040,1138,764,75,8,38,2023,17,1304
,구월2동제3투,3028,1772,908,728,76,7,27,1746,26,1256
,구월2동제4투,2945,1855,974,744,76,8,37,1839,16,1090
,구월2동제5투,3224,1978,1078,761,79,8,40,1966,12,1246
,구월2동제6투,3979,2065,942,976,72,14,39,2043,22,1914
,구월2동제7투,2241,1141,515,530,44,8,31,1128,13,1100
간석2동,소계,17202,10384,5267,4425,381,59,154,10286,98,6818
,관내사전투표,2668,2667,1486,1028,88,11,38,2651,16,1
,간석2동제1투,3383,1107,482,520,53,13,28,1096,11,2276
,간석2동제2투,3221,1389,632,639,59,12,24,1366,23,1832
,간석2동제3투,3275,2127,1068,913,87,10,25,2103,24,1148
,간석2동제4투,2337,1630,851,680,56,8,20,1615,15,707
,간석2동제5투,2318,1464,748,645,38,5,19,1455,9,854
간석3동,소계,23693,12982,6784,5018,633,116,281,12832,150,10711
,관내사전투표,3822,3822,2261,1267,155,36,67,3786,36,0
,간석3동제1투,4571,1721,873,678,102,11,36,1700,21,2850
,간석3동제2투,3669,2072,1077,822,118,8,32,2057,15,1597
,간석3동제3투,3069,1141,521,502,51,14,34,1122,19,1928
,간석3동제4투,2736,1470,699,627,75,11,39,1451,19,1266
,간석3동제5투,4243,1928,987,731,101,29,55,1903,25,2315
,간석3동제6투,1583,828,366,391,31,7,18,813,15,755
만수1동,소계,14029,8026,4036,3240,367,80,194,7917,109,6003
,관내사전투표,2696,2695,1531,919,131,23,69,2673,22,1
,만수1동제1투,2541,1211,595,504,53,17,26,1195,16,1330
,만수1동제2투,2330,906,432,378,52,10,17,889,17,1424
,만수1동제3투,2653,1181,536,537,58,9,29,1169,12,1472
,만수1동제4투,1904,1026,402,523,28,11,37,1001,25,878
,만수1동제5투,1905,1007,540,379,45,10,16,990,17,898
만수2동,소계,20443,12801,7073,4488,762,83,262,12668,133,7642
,관내사전투표,4503,4503,2758,1365,249,30,71,4473,30,0
,만수2동제1투,2383,1061,577,374,69,6,19,1045,16,1322
,만수2동제2투,2827,1299,679,499,65,14,23,1280,19,1528
,만수2동제3투,3095,1583,731,658,113,12,43,1557,26,1512
,만수2동제4투,2006,900,449,354,57,5,28,893,7,1106
,만수2동제5투,2593,1629,911,549,100,12,39,1611,18,964
,만수2동제6투,3036,1826,968,689,109,4,39,1809,17,1210
만수3동,소계,15230,9285,4950,3426,519,59,220,9174,111,5945
,관내사전투표,3410,3410,2019,1103,182,14,60,3378,32,0
,만수3동제1투,3206,1530,759,612,80,11,50,1512,18,1676
,만수3동제2투,1885,808,390,336,43,7,20,796,12,1077
,만수3동제3투,2788,1176,571,464,68,10,38,1151,25,1612
,만수3동제4투,3941,2361,1211,911,146,17,52,2337,24,1580
만수4동,소계,17660,11358,6039,4320,582,76,255,11272,86,6302
,관내사전투표,4519,4519,2618,1594,193,18,73,4496,23,0
,만수4동제1투,2084,922,469,358,51,6,28,912,10,1162
,만수4동제2투,2286,1249,676,458,64,7,37,1242,7,1037
,만수4동제3투,2369,1252,618,520,62,10,30,1240,12,1117
,만수4동제4투,2506,1350,687,506,93,14,38,1338,12,1156
,만수4동제5투,1946,1059,497,456,54,15,25,1047,12,887
,만수4동제6투,1950,1007,474,428,65,6,24,997,10,943
만수5동,소계,13923,7972,3990,3258,410,68,153,7879,93,5951
,관내사전투표,2637,2637,1488,946,131,16,39,2620,17,0
,만수5동제1투,2640,1146,536,493,64,9,26,1128,18,1494
,만수5동제2투,3139,1789,816,796,101,17,41,1771,18,1350
,만수5동제3투,2754,1230,585,534,58,16,24,1217,13,1524
,만수5동제4투,2753,1170,565,489,56,10,23,1143,27,1583
만수6동,소계,21056,13415,7188,5242,558,92,209,13289,126,7641
,관내사전투표,4266,4266,2601,1390,165,22,58,4236,30,0
,만수6동제1투,2542,1266,602,558,66,6,19,1251,15,1276
,만수6동제2투,2639,1401,745,542,63,15,23,1388,13,1238
,만수6동제3투,2853,1475,749,601,75,15,18,1458,17,1378
,만수6동제4투,3023,1780,958,695,80,7,27,1767,13,1243
,만수6동제5투,3096,1556,811,612,55,18,33,1529,27,1540
,만수6동제6투,2637,1671,722,844,54,9,31,1660,11,966
장수서창동,소계,16065,10037,5063,4129,503,66,187,9948,89,6028
,관내사전투표,3522,3522,2092,1194,162,10,41,3499,23,0
,장수서창동제1투,3826,1750,784,806,93,13,39,1735,15,2076
,장수서창동제2투,268,171,35,126,2,2,2,167,4,97
,장수서창동제3투,3947,2094,951,958,100,22,40,2071,23,1853
,장수서창동제4투,2162,1273,614,528,76,8,35,1261,12,889
,장수서창동제5투,2340,1227,587,517,70,11,30,1215,12,1113
서창2동,소계,28659,18615,10675,6013,1173,109,502,18472,143,10044
,관내사전투표,6247,6247,3973,1744,342,24,141,6224,23,0
,서창2동제1투,3184,1747,945,594,130,14,47,1730,17,1437
,서창2동제2투,2418,1254,606,542,50,10,31,1239,15,1164
,서창2동제3투,3714,2040,1158,586,187,16,73,2020,20,1674
,서창2동제4투,3543,2151,1217,722,127,8,62,2136,15,1392
,서창2동제5투,2002,1287,662,409,129,7,65,1272,15,715
,서창2동제6투,3439,1820,952,717,88,13,32,1802,18,1619
,서창2동제7투,4112,2069,1162,699,120,17,51,2049,20,2043
잘못 투입·구분된 투표지,,0,2,2,0,0,0,0,2,0,-2
