읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이재용,미래통합당곽상도,국가혁명배당금당정재홍,계,무효투표수,기권수
합계,,67769,45170,14555,29420,572,44547,623,22599
거소·선상투표,,165,146,40,93,6,139,7,19
관외사전투표,,4178,4177,1749,2286,47,4082,95,1
국외부재자투표,,179,43,26,17,0,43,0,136
국외부재자투표(공관),,0,0,0,0,0,0,0,0
동인동,소계,7696,4548,1338,3077,71,4486,62,3148
,관내사전투표,1530,1529,548,948,15,1511,18,1
,동인동제1투,2277,1077,271,771,17,1059,18,1200
,동인동제2투,2026,1046,239,774,18,1031,15,980
,동인동제3투,1863,896,280,584,21,885,11,967
삼덕동,소계,5409,3223,1273,1841,49,3163,60,2186
,관내사전투표,1224,1224,566,626,15,1207,17,0
,삼덕동제1투,2495,1288,445,804,17,1266,22,1207
,삼덕동제2투,1690,711,262,411,17,690,21,979
성내1동,소계,4198,2368,837,1464,35,2336,32,1830
,관내사전투표,764,764,331,419,7,757,7,0
,성내1동제1투,2054,872,288,553,11,852,20,1182
,성내1동제2투,1380,732,218,492,17,727,5,648
성내2동,소계,4213,2578,751,1752,32,2535,43,1635
,관내사전투표,932,932,353,559,9,921,11,0
,성내2동제1투,1781,871,214,625,11,850,21,910
,성내2동제2투,1500,775,184,568,12,764,11,725
성내3동,소계,4233,2661,866,1737,37,2640,21,1572
,관내사전투표,1079,1079,428,638,10,1076,3,0
,성내3동제1투,2720,1348,396,911,24,1331,17,1372
,성내3동제2투,434,234,42,188,3,233,1,200
대신동,소계,6685,4725,1440,3182,56,4678,47,1960
,관내사전투표,2104,2103,738,1326,21,2085,18,1
,대신동제1투,2937,1637,513,1083,20,1616,21,1300
,대신동제2투,1644,985,189,773,15,977,8,659
남산1동,소계,4392,2783,809,1883,51,2743,40,1609
,관내사전투표,945,945,337,586,12,935,10,0
,남산1동제1투,1360,691,156,507,15,678,13,669
,남산1동제2투,2087,1147,316,790,24,1130,17,940
남산2동,소계,3035,1941,529,1362,29,1920,21,1094
,관내사전투표,683,683,255,416,6,677,6,0
,남산2동제1투,1823,966,224,710,21,955,11,857
,남산2동제2투,529,292,50,236,2,288,4,237
남산3동,소계,5509,3713,1350,2266,51,3667,46,1796
,관내사전투표,1459,1459,555,884,8,1447,12,0
,남산3동제1투,2343,1325,535,759,15,1309,16,1018
,남산3동제2투,1707,929,260,623,28,911,18,778
남산4동,소계,9507,6584,1995,4457,54,6506,78,2923
,관내사전투표,2246,2245,781,1434,11,2226,19,1
,남산4동제1투,2524,1248,318,894,16,1228,20,1276
,남산4동제2투,3060,1954,612,1294,19,1925,29,1106
,남산4동제3투,1677,1137,284,835,8,1127,10,540
대봉1동,소계,6062,4136,1140,2911,36,4087,49,1926
,관내사전투표,1460,1460,476,960,5,1441,19,0
,대봉1동제1투,2244,1266,323,919,6,1248,18,978
,대봉1동제2투,2358,1410,341,1032,25,1398,12,948
대봉2동,소계,2308,1542,412,1090,18,1520,22,766
,관내사전투표,611,611,194,401,8,603,8,0
,대봉2동제1투,756,381,105,268,3,376,5,375
,대봉2동제2투,941,550,113,421,7,541,9,391
잘못 투입·구분된 투표지,,0,2,0,2,0,2,0,-2
