읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당허종식,미래통합당전희경,정의당문영미,국가혁명배당금당이상욱,계,무효투표수,기권수
합계,,166276,95532,46417,39116,7601,1108,94242,1290,70744
거소·선상투표,,291,278,120,85,35,18,258,20,13
관외사전투표,,9144,9140,5067,2922,833,161,8983,157,4
국외부재자투표,,390,103,71,25,7,0,103,0,287
국외부재자투표(공관),,0,2,2,0,0,0,2,0,-2
도화1동,소계,19263,9946,4761,4076,879,113,9829,117,9317
,관내사전투표,3290,3290,1731,1276,229,21,3257,33,0
,도화1동제1투,4704,1813,819,789,168,21,1797,16,2891
,도화1동제2투,4039,1645,770,663,167,27,1627,18,2394
,도화1동제3투,3409,1660,737,738,151,13,1639,21,1749
,도화1동제4투,3821,1538,704,610,164,31,1509,29,2283
도화2·3동,소계,21490,12590,6250,4895,1163,114,12422,168,8900
,관내사전투표,4633,4633,2652,1557,356,22,4587,46,0
,도화2·3동제1투,2146,853,351,387,86,13,837,16,1293
,도화2·3동제2투,2972,1295,544,561,138,17,1260,35,1677
,도화2·3동제3투,3002,1469,650,631,153,17,1451,18,1533
,도화2·3동제4투,3158,1593,778,632,156,12,1578,15,1565
,도화2·3동제5투,2269,1239,628,451,137,11,1227,12,1030
,도화2·3동제6투,3310,1508,647,676,137,22,1482,26,1802
주안1동,소계,17594,7919,4104,2911,719,88,7822,97,9675
,관내사전투표,2672,2672,1567,862,192,22,2643,29,0
,주안1동제1투,4099,1354,634,527,150,20,1331,23,2745
,주안1동제2투,3327,1162,598,424,121,12,1155,7,2165
,주안1동제3투,4245,1442,719,542,142,16,1419,23,2803
,주안1동제4투,3251,1289,586,556,114,18,1274,15,1962
주안2동,소계,15281,8197,3660,3808,507,102,8077,120,7084
,관내사전투표,2832,2832,1416,1223,147,18,2804,28,0
,주안2동제1투,2539,1040,437,507,66,13,1023,17,1499
,주안2동제2투,3596,1670,688,818,114,24,1644,26,1926
,주안2동제3투,3042,1259,512,617,86,17,1232,27,1783
,주안2동제4투,3272,1396,607,643,94,30,1374,22,1876
주안3동,소계,7308,3889,1804,1714,256,58,3832,57,3419
,관내사전투표,1065,1065,572,405,62,11,1050,15,0
,주안3동제1투,1367,480,209,216,43,7,475,5,887
,주안3동제2투,2654,1258,535,599,77,26,1237,21,1396
,주안3동제3투,2222,1086,488,494,74,14,1070,16,1136
주안4동,소계,12369,6776,2751,3433,420,77,6681,95,5593
,관내사전투표,2407,2407,1100,1133,128,21,2382,25,0
,주안4동제1투,3215,1276,503,640,104,13,1260,16,1939
,주안4동제2투,2159,953,328,540,61,12,941,12,1206
,주안4동제3투,2881,1433,513,792,77,21,1403,30,1448
,주안4동제4투,1707,707,307,328,50,10,695,12,1000
주안5동,소계,15278,8681,4350,3420,704,94,8568,113,6597
,관내사전투표,3014,3013,1747,1015,199,21,2982,31,1
,주안5동제1투,2181,925,413,406,85,8,912,13,1256
,주안5동제2투,3464,1480,683,624,131,17,1455,25,1984
,주안5동제3투,1362,690,331,280,59,14,684,6,672
,주안5동제4투,2873,1294,568,574,110,20,1272,22,1579
,주안5동제5투,2384,1279,608,521,120,14,1263,16,1105
주안6동,소계,18359,10388,5095,4275,810,96,10276,112,7971
,관내사전투표,3904,3904,2124,1474,252,28,3878,26,0
,주안6동제1투,3004,1209,599,465,112,18,1194,15,1795
,주안6동제2투,4446,1723,798,741,133,23,1695,28,2723
,주안6동제3투,2125,943,378,463,81,7,929,14,1182
,주안6동제4투,2133,1160,554,487,100,9,1150,10,973
,주안6동제5투,2747,1449,642,645,132,11,1430,19,1298
주안7동,소계,12217,7383,3455,3241,495,81,7272,111,4834
,관내사전투표,3184,3184,1629,1316,184,24,3153,31,0
,주안7동제1투,2347,1249,511,618,91,10,1230,19,1098
,주안7동제2투,2591,1292,619,535,93,18,1265,27,1299
,주안7동제3투,1994,702,307,308,57,13,685,17,1292
,주안7동제4투,2101,956,389,464,70,16,939,17,1145
주안8동,소계,17292,10235,4923,4310,773,106,10112,123,7057
,관내사전투표,2723,2723,1495,1022,162,18,2697,26,0
,주안8동제1투,2620,1074,510,448,87,17,1062,12,1546
,주안8동제2투,2077,971,481,392,74,15,962,9,1106
,주안8동제3투,2961,1503,639,698,118,14,1469,34,1458
,주안8동제4투,3009,1772,850,733,151,20,1754,18,1237
,주안8동제5투,3902,2192,948,1017,181,22,2168,24,1710
잘못 투입·구분된 투표지,,0,5,4,1,0,0,5,0,-5
