읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이성만,미래통합당정유섭,국가혁명배당금당김소윤,계,무효투표수,기권수
합계,,232384,138577,77460,57148,2038,136646,1931,93807
거소·선상투표,,362,341,172,137,9,318,23,21
관외사전투표,,12726,12718,8080,4113,252,12445,273,8
국외부재자투표,,619,169,133,34,2,169,0,450
국외부재자투표(공관),,0,7,5,1,0,6,1,-7
부평1동,소계,30955,18755,10214,8111,215,18540,215,12200
,관내사전투표,6082,6082,3649,2320,65,6034,48,0
,부평1동제1투,2792,1354,664,657,17,1338,16,1438
,부평1동제2투,4106,1411,837,519,28,1384,27,2695
,부평1동제3투,2637,1779,816,931,17,1764,15,858
,부평1동제4투,3009,1753,832,879,12,1723,30,1256
,부평1동제5투,3201,1876,1009,823,24,1856,20,1325
,부평1동제6투,2816,1803,961,809,14,1784,19,1013
,부평1동제7투,3736,1668,907,704,26,1637,31,2068
,부평1동제8투,2576,1029,539,469,12,1020,9,1547
부평2동,소계,15793,8683,4777,3622,154,8553,130,7110
,관내사전투표,2832,2831,1766,1010,30,2806,25,1
,부평2동제1투,2755,1175,571,552,25,1148,27,1580
,부평2동제2투,2790,1230,638,547,23,1208,22,1560
,부평2동제3투,2504,1106,609,464,18,1091,15,1398
,부평2동제4투,2784,1279,647,573,35,1255,24,1505
,부평2동제5투,2128,1062,546,476,23,1045,17,1066
부평3동,소계,11580,6648,3586,2852,103,6541,107,4932
,관내사전투표,2720,2720,1596,1052,36,2684,36,0
,부평3동제1투,3319,1309,642,636,17,1295,14,2010
,부평3동제2투,3397,1653,877,706,30,1613,40,1744
,부평3동제3투,2144,966,471,458,20,949,17,1178
부평4동,소계,30995,16180,9497,6207,253,15957,223,14815
,관내사전투표,4683,4683,3181,1393,50,4624,59,0
,부평4동제1투,4381,1770,992,731,22,1745,25,2611
,부평4동제2투,4056,1584,924,608,26,1558,26,2472
,부평4동제3투,4259,2084,1062,955,39,2056,28,2175
,부평4동제4투,2720,1243,644,556,26,1226,17,1477
,부평4동제5투,3090,1465,740,672,34,1446,19,1625
,부평4동제6투,4279,1887,1096,737,24,1857,30,2392
,부평4동제7투,3527,1464,858,555,32,1445,19,2063
부평5동,소계,27435,12926,7702,4823,225,12750,176,14509
,관내사전투표,3199,3198,2167,957,42,3166,32,1
,부평5동제1투,2097,620,344,253,15,612,8,1477
,부평5동제2투,2673,1151,691,421,24,1136,15,1522
,부평5동제3투,4485,1972,1089,830,35,1954,18,2513
,부평5동제4투,4698,1913,1085,766,26,1877,36,2785
,부평5동제5투,4026,1655,929,666,34,1629,26,2371
,부평5동제6투,3298,1360,788,525,29,1342,18,1938
,부평5동제7투,2959,1057,609,405,20,1034,23,1902
부평6동,소계,12393,7014,3970,2820,106,6896,118,5379
,관내사전투표,2603,2602,1579,962,29,2570,32,1
,부평6동제1투,1959,827,443,342,22,807,20,1132
,부평6동제2투,2415,979,528,409,22,959,20,1436
,부평6동제3투,2241,946,535,384,11,930,16,1295
,부평6동제4투,3175,1660,885,723,22,1630,30,1515
산곡3동,소계,18755,12513,6309,5949,129,12387,126,6242
,관내사전투표,4176,4174,2342,1758,40,4140,34,2
,산곡3동제1투,2993,1806,903,864,12,1779,27,1187
,산곡3동제2투,2619,1475,708,737,20,1465,10,1144
,산곡3동제3투,1990,1191,619,556,8,1183,8,799
,산곡3동제4투,2306,1163,572,550,21,1143,20,1143
,산곡3동제5투,2292,1458,581,857,7,1445,13,834
,산곡3동제6투,2379,1246,584,627,21,1232,14,1133
산곡4동,소계,14709,9859,5328,4316,117,9761,98,4850
,관내사전투표,3036,3036,1855,1129,26,3010,26,0
,산곡4동제1투,3148,1902,1008,850,26,1884,18,1246
,산곡4동제2투,2688,1480,735,706,24,1465,15,1208
,산곡4동제3투,3127,1857,925,886,25,1836,21,1270
,산곡4동제4투,2710,1584,805,745,16,1566,18,1126
부개1동,소계,14258,8165,4320,3613,121,8054,111,6093
,관내사전투표,2799,2799,1619,1112,31,2762,37,0
,부개1동제1투,2980,1334,693,600,18,1311,23,1646
,부개1동제2투,3906,1972,1018,903,32,1953,19,1934
,부개1동제3투,2668,1147,578,534,20,1132,15,1521
,부개1동제4투,1905,913,412,464,20,896,17,992
일신동,소계,10793,7062,4060,2808,105,6973,89,3731
,관내사전투표,2743,2743,1746,929,31,2706,37,0
,일신동제1투,3021,1459,757,644,37,1438,21,1562
,일신동제2투,2770,1502,813,648,24,1485,17,1268
,일신동제3투,2259,1358,744,587,13,1344,14,901
십정1동,소계,11242,6681,3588,2924,86,6598,83,4561
,관내사전투표,2495,2495,1480,967,22,2469,26,0
,십정1동제1투,3726,1582,715,809,36,1560,22,2144
,십정1동제2투,2408,1291,684,573,12,1269,22,1117
,십정1동제3투,2613,1313,709,575,16,1300,13,1300
십정2동,소계,19769,10854,5718,4818,160,10696,158,8915
,관내사전투표,2742,2742,1613,1055,36,2704,38,0
,십정2동제1투,2975,1228,593,600,13,1206,22,1747
,십정2동제2투,3093,1394,700,642,31,1373,21,1699
,십정2동제3투,2334,1176,596,544,12,1152,24,1158
,십정2동제4투,2528,1128,562,519,28,1109,19,1400
,십정2동제5투,3035,1299,672,587,25,1284,15,1736
,십정2동제6투,3062,1887,982,871,15,1868,19,1175
잘못 투입·구분된 투표지,,0,2,1,0,1,2,0,-2
