읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당홍영표,미래통합당강창규,정의당김응호,민중당임동수,국가혁명배당금당신지숙,계,무효투표수,기권수
합계,,204936,133838,74264,47789,7994,1244,1017,132308,1530,71098
거소·선상투표,,321,302,139,106,28,5,9,287,15,19
관외사전투표,,13278,13273,8206,3787,748,151,142,13034,239,5
국외부재자투표,,597,184,141,41,2,0,0,184,0,413
국외부재자투표(공관),,0,2,0,2,0,0,0,2,0,-2
산곡1동,소계,11357,6759,3323,2844,371,73,45,6656,103,4598
,관내사전투표,2156,2156,1200,796,103,21,10,2130,26,0
,산곡1동제1투,1383,548,234,266,24,11,3,538,10,835
,산곡1동제2투,1946,1124,535,488,74,5,7,1109,15,822
,산곡1동제3투,2070,1078,524,464,54,6,10,1058,20,992
,산곡1동제4투,2253,1058,480,480,60,16,9,1045,13,1195
,산곡1동제5투,1549,795,350,350,56,14,6,776,19,754
산곡2동,소계,24389,16067,8774,5967,958,145,80,15924,143,8322
,관내사전투표,4598,4598,2843,1425,245,46,11,4570,28,0
,산곡2동제1투,2940,1567,798,613,111,25,9,1556,11,1373
,산곡2동제2투,2438,1478,804,549,93,8,9,1463,15,960
,산곡2동제3투,3831,2204,1068,956,131,15,13,2183,21,1627
,산곡2동제4투,3503,2096,1023,891,127,20,10,2071,25,1407
,산곡2동제5투,3509,1998,1071,753,126,12,16,1978,20,1511
,산곡2동제6투,3570,2126,1167,780,125,19,12,2103,23,1444
청천1동,소계,6427,3320,1745,1298,161,31,32,3267,53,3107
,관내사전투표,1444,1444,829,515,67,9,8,1428,16,0
,청천1동제1투,2491,881,428,378,37,8,9,860,21,1610
,청천1동제2투,2492,995,488,405,57,14,15,979,16,1497
청천2동,소계,26236,15475,8223,5864,898,173,143,15301,174,10761
,관내사전투표,3614,3614,2135,1204,186,36,25,3586,28,0
,청천2동제1투,3465,1257,602,515,75,24,22,1238,19,2208
,청천2동제2투,3492,1722,853,692,129,15,16,1705,17,1770
,청천2동제3투,2530,1507,717,642,98,21,14,1492,15,1023
,청천2동제4투,2577,1542,865,548,90,13,10,1526,16,1035
,청천2동제5투,2577,1602,887,585,85,20,8,1585,17,975
,청천2동제6투,2699,1550,818,585,96,21,15,1535,15,1149
,청천2동제7투,2725,1450,772,553,73,8,20,1426,24,1275
,청천2동제8투,2557,1231,574,540,66,15,13,1208,23,1326
갈산1동,소계,14286,8299,4588,2985,451,98,79,8201,98,5987
,관내사전투표,2997,2996,1839,959,131,30,14,2973,23,1
,갈산1동제1투,2133,870,431,347,52,16,12,858,12,1263
,갈산1동제2투,3450,1600,825,626,90,18,18,1577,23,1850
,갈산1동제3투,2985,1432,735,546,103,14,10,1408,24,1553
,갈산1동제4투,2721,1401,758,507,75,20,25,1385,16,1320
갈산2동,소계,16426,10554,5546,4100,611,76,92,10425,129,5872
,관내사전투표,4212,4212,2444,1479,208,25,20,4176,36,0
,갈산2동제1투,3580,1796,855,782,118,9,12,1776,20,1784
,갈산2동제2투,2663,1326,714,472,91,6,23,1306,20,1337
,갈산2동제3투,2548,1348,633,570,85,13,20,1321,27,1200
,갈산2동제4투,3423,1872,900,797,109,23,17,1846,26,1551
삼산1동,소계,28160,17001,9692,5882,932,160,135,16801,200,11159
,관내사전투표,5198,5197,3317,1534,235,40,28,5154,43,1
,삼산1동제1투,3269,1520,796,574,107,14,15,1506,14,1749
,삼산1동제2투,2781,1473,715,616,103,12,11,1457,16,1308
,삼산1동제3투,2906,1317,673,511,76,19,16,1295,22,1589
,삼산1동제4투,2256,1103,621,384,56,10,10,1081,22,1153
,삼산1동제5투,2180,1114,485,505,53,18,20,1081,33,1066
,삼산1동제6투,4908,2737,1515,1004,146,21,24,2710,27,2171
,삼산1동제7투,4662,2540,1570,754,156,26,11,2517,23,2122
삼산2동,소계,22430,15761,8757,5381,1339,99,59,15635,126,6669
,관내사전투표,5311,5311,3378,1440,412,35,20,5285,26,0
,삼산2동제1투,3122,1782,988,606,154,11,6,1765,17,1340
,삼산2동제2투,3037,2004,995,612,361,14,4,1986,18,1033
,삼산2동제3투,2466,1500,747,651,78,7,5,1488,12,966
,삼산2동제4투,2623,1403,656,633,70,11,12,1382,21,1220
,삼산2동제5투,2962,2033,1070,796,131,12,4,2013,20,929
,삼산2동제6투,2909,1728,923,643,133,9,8,1716,12,1181
부개2동,소계,14800,9503,5386,3376,478,80,85,9405,98,5297
,관내사전투표,3642,3642,2373,1024,165,21,33,3616,26,0
,부개2동제1투,2301,1060,545,441,44,4,10,1044,16,1241
,부개2동제2투,1216,557,284,208,39,11,5,547,10,659
,부개2동제3투,3670,1997,1073,753,104,25,18,1973,24,1673
,부개2동제4투,2153,1180,582,495,65,12,14,1168,12,973
,부개2동제5투,1818,1067,529,455,61,7,5,1057,10,751
부개3동,소계,26229,17337,9743,6156,1017,153,116,17185,152,8892
,관내사전투표,5429,5429,3467,1590,271,39,29,5396,33,0
,부개3동제1투,2455,1268,635,522,80,8,10,1255,13,1187
,부개3동제2투,2608,1140,579,458,77,11,5,1130,10,1468
,부개3동제3투,2998,1732,939,617,117,21,19,1713,19,1266
,부개3동제4투,2927,1603,876,556,118,17,9,1576,27,1324
,부개3동제5투,3321,2230,1099,953,127,19,16,2214,16,1091
,부개3동제6투,3284,2143,1193,774,128,23,11,2129,14,1141
,부개3동제7투,3207,1792,955,686,99,15,17,1772,20,1415
잘못 투입·구분된 투표지,,0,1,1,0,0,0,0,1,0,-1
