읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당홍의락,미래통합당김승수,정의당이영재,국가혁명배당금당박은순,계,무효투표수,기권수
합계,,207826,139043,45891,84378,5409,1110,136788,2255,68783
거소·선상투표,,396,370,122,168,21,13,324,46,26
관외사전투표,,11490,11481,4905,5605,549,104,11163,318,9
국외부재자투표,,297,80,47,31,1,0,79,1,217
국외부재자투표(공관),,0,12,2,10,0,0,12,0,-12
무태조야동,소계,22393,14256,4422,9109,472,123,14126,130,8137
,관내사전투표,3720,3720,1352,2205,104,29,3690,30,0
,무태조야동제1투,3332,1793,554,1146,61,17,1778,15,1539
,무태조야동제2투,3341,1822,506,1218,59,12,1795,27,1519
,무태조야동제3투,2948,1621,486,1047,65,14,1612,9,1327
,무태조야동제4투,1982,912,278,586,30,10,904,8,1070
,무태조야동제5투,2189,1363,400,890,50,13,1353,10,826
,무태조야동제6투,3624,2242,703,1425,81,13,2222,20,1382
,무태조야동제7투,1257,783,143,592,22,15,772,11,474
관문동,소계,28704,18783,6030,11622,585,153,18390,393,9921
,관내사전투표,3408,3408,1339,1927,97,14,3377,31,0
,관문동제1투,1584,774,153,546,15,10,724,50,810
,관문동제2투,2859,1818,574,1128,65,17,1784,34,1041
,관문동제3투,2421,1505,370,1043,41,12,1466,39,916
,관문동제4투,2438,1580,341,1155,28,16,1540,40,858
,관문동제5투,795,488,87,367,7,4,465,23,307
,관문동제6투,3101,1683,584,980,71,14,1649,34,1418
,관문동제7투,2506,1508,422,1003,47,14,1486,22,998
,관문동제8투,3971,2342,839,1345,70,18,2272,70,1629
,관문동제9투,2661,1638,625,908,63,18,1614,24,1023
,관문동제10투,2960,2039,696,1220,81,16,2013,26,921
태전1동,소계,18330,11490,3247,7578,367,93,11285,205,6840
,관내사전투표,2616,2614,979,1516,71,22,2588,26,2
,태전1동제1투,3455,1941,518,1293,70,22,1903,38,1514
,태전1동제2투,2667,1549,439,1039,44,5,1527,22,1118
,태전1동제3투,1936,930,227,634,31,17,909,21,1006
,태전1동제4투,2548,1216,302,849,39,8,1198,18,1332
,태전1동제5투,2798,1709,408,1194,60,8,1670,39,1089
,태전1동제6투,2310,1531,374,1053,52,11,1490,41,779
태전2동,소계,20527,13226,3947,8604,384,127,13062,164,7301
,관내사전투표,3737,3737,1282,2291,103,21,3697,40,0
,태전2동제1투,3076,1710,440,1169,50,20,1679,31,1366
,태전2동제2투,3230,1740,460,1197,36,25,1718,22,1490
,태전2동제3투,3481,1989,599,1288,60,18,1965,24,1492
,태전2동제4투,3540,2033,539,1372,81,18,2010,23,1507
,태전2동제5투,3463,2017,627,1287,54,25,1993,24,1446
구암동,소계,28009,18294,6411,10767,782,138,18098,196,9715
,관내사전투표,4095,4093,1862,2003,179,17,4061,32,2
,구암동제1투,2384,1351,314,959,44,17,1334,17,1033
,구암동제2투,3195,2025,583,1332,74,11,2000,25,1170
,구암동제3투,2748,1630,496,1056,51,10,1613,17,1118
,구암동제4투,2766,1759,538,1124,66,18,1746,13,1007
,구암동제5투,3228,1871,665,1078,90,9,1842,29,1357
,구암동제6투,3226,1849,598,1105,101,22,1826,23,1377
,구암동제7투,3061,1719,661,931,93,19,1704,15,1342
,구암동제8투,3306,1997,694,1179,84,15,1972,25,1309
관음동,소계,14862,9684,2681,6399,312,80,9472,212,5178
,관내사전투표,3164,3164,1040,1977,85,17,3119,45,0
,관음동제1투,3205,1654,362,1169,49,17,1597,57,1551
,관음동제2투,2720,1554,400,1033,55,18,1506,48,1166
,관음동제3투,2606,1469,389,963,68,13,1433,36,1137
,관음동제4투,3167,1843,490,1257,55,15,1817,26,1324
읍내동,소계,22040,14126,4161,9051,497,99,13808,318,7914
,관내사전투표,3979,3979,1454,2324,127,25,3930,49,0
,읍내동제1투,3289,1744,428,1172,63,20,1683,61,1545
,읍내동제2투,2969,1708,500,1099,64,9,1672,36,1261
,읍내동제3투,2825,1431,385,919,61,8,1373,58,1394
,읍내동제4투,2565,1333,335,907,46,17,1305,28,1232
,읍내동제5투,3413,2012,520,1351,76,10,1957,55,1401
,읍내동제6투,3000,1919,539,1279,60,10,1888,31,1081
동천동,소계,22600,15493,5681,8726,847,85,15339,154,7107
,관내사전투표,4482,4482,1978,2226,234,15,4453,29,0
,동천동제1투,2979,1625,478,1041,71,13,1603,22,1354
,동천동제2투,2345,1339,401,849,51,13,1314,25,1006
,동천동제3투,2836,1984,707,1142,103,8,1960,24,852
,동천동제4투,2831,1698,647,940,88,10,1685,13,1133
,동천동제5투,3594,2336,836,1299,172,13,2320,16,1258
,동천동제6투,3533,2029,634,1229,128,13,2004,25,1504
국우동,소계,18178,11742,4233,6704,592,95,11624,118,6436
,관내사전투표,2974,2974,1325,1462,151,11,2949,25,0
,국우동제1투,3551,1897,603,1179,77,19,1878,19,1654
,국우동제2투,2597,1430,378,941,69,27,1415,15,1167
,국우동제3투,3154,1943,661,1111,132,16,1920,23,1211
,국우동제4투,2623,1583,522,947,88,8,1565,18,1040
,국우동제5투,3279,1915,744,1064,75,14,1897,18,1364
잘못 투입·구분된 투표지,,0,6,2,4,0,0,6,0,-6
