읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당정일영,미래통합당민경욱,정의당이정미,국가혁명배당금당주정국,계,무효투표수,기권수
합계,,176522,127166,52806,49913,23231,425,126375,791,49356
거소·선상투표,,341,316,134,119,43,6,302,14,25
관외사전투표,,12957,12948,6185,4460,2073,73,12791,157,9
국외부재자투표,,852,190,111,60,19,0,190,0,662
국외부재자투표(공관),,0,11,4,6,1,0,11,0,-11
옥련1동,소계,15454,9323,3823,4041,1321,51,9236,87,6131
,관내사전투표,2394,2393,1139,943,297,6,2385,8,1
,옥련1동제1투,2871,1469,544,677,221,7,1449,20,1402
,옥련1동제2투,1587,803,300,372,113,4,789,14,784
,옥련1동제3투,2733,1363,485,675,171,15,1346,17,1370
,옥련1동제4투,2855,1634,641,690,282,6,1619,15,1221
,옥련1동제5투,3014,1661,714,684,237,13,1648,13,1353
동춘1동,소계,19622,13329,5847,5096,2231,59,13233,96,6293
,관내사전투표,3402,3401,1751,1126,488,11,3376,25,1
,동춘1동제1투,2661,1456,587,597,259,4,1447,9,1205
,동춘1동제2투,3036,1875,811,690,346,13,1860,15,1161
,동춘1동제3투,2276,1343,566,564,192,10,1332,11,933
,동춘1동제4투,2877,1800,720,789,261,10,1780,20,1077
,동춘1동제5투,1173,630,276,219,131,0,626,4,543
,동춘1동제6투,4197,2824,1136,1111,554,11,2812,12,1373
동춘2동,소계,15185,10655,4882,3876,1777,42,10577,78,4530
,관내사전투표,3895,3895,2013,1269,575,16,3873,22,0
,동춘2동제1투,2484,1356,583,492,269,6,1350,6,1128
,동춘2동제2투,2781,1683,701,670,298,6,1675,8,1098
,동춘2동제3투,2783,1724,762,635,310,3,1710,14,1059
,동춘2동제4투,3242,1997,823,810,325,11,1969,28,1245
송도1동,소계,27058,19934,8056,8540,3167,48,19811,123,7124
,관내사전투표,6410,6409,3066,2348,950,11,6375,34,1
,송도1동제1투,2606,1729,716,681,318,2,1717,12,877
,송도1동제2투,2641,1838,658,902,270,3,1833,5,803
,송도1동제3투,2601,1597,618,620,340,7,1585,12,1004
,송도1동제4투,2411,1680,671,720,271,6,1668,12,731
,송도1동제5투,3556,2279,855,1064,333,6,2258,21,1277
,송도1동제6투,3463,2139,789,951,385,2,2127,12,1324
,송도1동제7투,3370,2263,683,1254,300,11,2248,15,1107
송도2동,소계,25209,18507,7452,8071,2862,48,18433,74,6702
,관내사전투표,5868,5868,2825,2152,858,15,5850,18,0
,송도2동제1투,2259,1557,706,632,205,1,1544,13,702
,송도2동제2투,3113,2054,792,917,331,7,2047,7,1059
,송도2동제3투,3415,2046,617,1117,300,5,2039,7,1369
,송도2동제4투,2228,1381,531,556,283,6,1376,5,847
,송도2동제5투,2420,1721,701,715,292,5,1713,8,699
,송도2동제6투,2974,1974,670,957,334,5,1966,8,1000
,송도2동제7투,2932,1906,610,1025,259,4,1898,8,1026
송도3동,소계,33122,23349,9402,8400,5391,51,23244,105,9773
,관내사전투표,5641,5641,2735,1737,1141,13,5626,15,0
,송도3동제1투,3148,1924,725,777,396,6,1904,20,1224
,송도3동제2투,2826,2033,725,892,409,3,2029,4,793
,송도3동제3투,3540,2227,779,965,458,10,2212,15,1313
,송도3동제4투,2831,1944,734,762,434,5,1935,9,887
,송도3동제5투,3651,2352,883,980,477,3,2343,9,1299
,송도3동제6투,2080,1367,538,454,361,3,1356,11,713
,송도3동제7투,3038,1874,709,563,589,2,1863,11,1164
,송도3동제8투,1849,1223,460,402,356,1,1219,4,626
,송도3동제9투,4518,2764,1114,868,770,5,2757,7,1754
송도4동,소계,26722,18602,6910,7243,4345,47,18545,57,8120
,관내사전투표,5038,5038,2268,1760,987,12,5027,11,0
,송도4동제1투,2328,1255,433,540,271,5,1249,6,1073
,송도4동제2투,2511,1585,483,735,359,3,1580,5,926
,송도4동제3투,2178,1412,541,550,310,4,1405,7,766
,송도4동제4투,3003,2063,734,961,362,3,2060,3,940
,송도4동제5투,3104,1769,607,601,550,5,1763,6,1335
,송도4동제6투,2227,1422,472,495,445,4,1416,6,805
,송도4동제7투,2684,1801,595,752,444,3,1794,7,883
,송도4동제8투,3649,2257,777,849,617,8,2251,6,1392
잘못 투입·구분된 투표지,,0,2,0,1,1,0,2,0,-2
