읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조택상,미래통합당배준영,우리공화당조수진,국가혁명배당금당최부겸,계,무효투표수,기권수
합계,,62017,41162,14968,24668,517,357,40510,652,20855
거소·선상투표,,352,327,135,130,28,17,310,17,25
관외사전투표,,3980,3979,1854,1980,37,40,3911,68,1
국외부재자투표,,206,58,46,11,1,0,58,0,148
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
강화읍,소계,18426,11348,4598,6395,135,77,11205,143,7078
,관내사전투표,4551,4550,2165,2262,55,21,4503,47,1
,강화읍제1투,1516,770,244,496,11,7,758,12,746
,강화읍제2투,2581,1272,417,810,19,5,1251,21,1309
,강화읍제3투,1380,648,215,413,7,7,642,6,732
,강화읍제4투,1732,879,312,532,9,9,862,17,853
,강화읍제5투,2945,1448,582,813,19,13,1427,21,1497
,강화읍제6투,1574,726,267,431,7,9,714,12,848
,강화읍제7투,2147,1055,396,638,8,6,1048,7,1092
선원면,소계,6039,3900,1493,2265,40,43,3841,59,2139
,관내사전투표,1873,1873,830,985,18,14,1847,26,0
,선원면제1투,1722,804,231,534,12,12,789,15,918
,선원면제2투,2444,1223,432,746,10,17,1205,18,1221
불은면,소계,4094,2579,915,1561,36,20,2532,47,1515
,관내사전투표,1127,1126,461,627,15,5,1108,18,1
,불은면제1투,1915,900,281,578,14,7,880,20,1015
,불은면제2투,1052,553,173,356,7,8,544,9,499
길상면,소계,5986,3876,1251,2485,39,22,3797,79,2110
,관내사전투표,1659,1659,656,927,10,11,1604,55,0
,길상면제1투,1732,853,260,563,15,3,841,12,879
,길상면제2투,1072,539,131,392,5,4,532,7,533
,길상면제3투,934,491,132,349,5,3,489,2,443
,길상면제4투,589,334,72,254,4,1,331,3,255
화도면,소계,3703,2382,735,1574,26,20,2355,27,1321
,관내사전투표,787,786,289,475,9,6,779,7,1
,화도면제1투,1058,539,164,351,8,6,529,10,519
,화도면제2투,791,458,118,332,2,3,455,3,333
,화도면제3투,625,344,97,233,5,3,338,6,281
,화도면제4투,442,255,67,183,2,2,254,1,187
양도면,소계,3474,2231,783,1359,30,24,2196,35,1243
,관내사전투표,963,962,389,540,11,7,947,15,1
,양도면제1투,1279,597,203,370,7,7,587,10,682
,양도면제2투,1232,672,191,449,12,10,662,10,560
내가면,소계,2714,1882,549,1254,31,17,1851,31,832
,관내사전투표,739,739,256,455,10,6,727,12,0
,내가면제1투,988,520,142,347,12,8,509,11,468
,내가면제2투,459,302,68,219,7,2,296,6,157
,내가면제3투,528,321,83,233,2,1,319,2,207
하점면,소계,3587,2283,702,1483,40,14,2239,44,1304
,관내사전투표,1042,1042,390,616,17,6,1029,13,0
,하점면제1투,1151,524,155,346,11,2,514,10,627
,하점면제2투,707,379,86,271,7,3,367,12,328
,하점면제3투,687,338,71,250,5,3,329,9,349
양사면,소계,1578,1081,340,699,12,12,1063,18,497
,관내사전투표,383,383,154,215,3,3,375,8,0
,양사면제1투,373,230,62,159,3,2,226,4,143
,양사면제2투,532,286,92,180,5,5,282,4,246
,양사면제3투,290,182,32,145,1,2,180,2,108
송해면,소계,2858,1868,587,1216,28,14,1845,23,990
,관내사전투표,1032,1032,360,640,13,7,1020,12,0
,송해면투표소,1826,836,227,576,15,7,825,11,990
교동면,소계,2572,1698,528,1103,15,23,1669,29,874
,관내사전투표,671,671,240,399,8,9,656,15,0
,교동면제1투,819,421,127,281,3,7,418,3,398
,교동면제2투,560,301,84,206,1,5,296,5,259
,교동면제3투,522,305,77,217,3,2,299,6,217
삼산면,소계,1877,1246,372,829,15,9,1225,21,631
,관내사전투표,529,529,175,336,5,4,520,9,0
,삼산면제1투,393,184,64,116,0,1,181,3,209
,삼산면제2투,259,157,50,97,1,3,151,6,102
,삼산면제3투,635,330,70,250,7,1,328,2,305
,삼산면제4투,61,46,13,30,2,0,45,1,15
서도면,소계,571,422,80,322,4,5,411,11,149
,관내사전투표,182,182,41,137,0,3,181,1,0
,서도면제1투,178,92,18,69,1,0,88,4,86
,서도면제2투,211,148,21,116,3,2,142,6,63
잘못 투입·구분된 투표지,,0,2,0,2,0,0,2,0,-2
