읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조택상,미래통합당배준영,우리공화당조수진,국가혁명배당금당최부겸,계,무효투표수,기권수
합계,,18582,13651,5289,7718,150,160,13317,334,4931
거소·선상투표,,267,261,109,96,8,17,230,31,6
관외사전투표,,2190,2189,977,1115,21,27,2140,49,1
국외부재자투표,,35,10,7,3,0,0,10,0,25
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
북도면,소계,1630,1191,344,787,12,16,1159,32,439
,관내사전투표,387,387,151,230,2,3,386,1,0
,북도면제1투,305,178,45,130,0,1,176,2,127
,북도면제2투,174,85,31,51,2,1,85,0,89
,북도면제3투,764,541,117,376,8,11,512,29,223
연평면,소계,1590,1080,477,522,19,18,1036,44,510
,관내사전투표,617,617,273,277,17,14,581,36,0
,연평면제1투,902,418,188,218,2,3,411,7,484
,연평면제2투,71,45,16,27,0,1,44,1,26
백령면,소계,4212,2958,1106,1699,37,28,2870,88,1254
,관내사전투표,1151,1151,551,506,20,17,1094,57,0
,백령면제1투,1125,646,240,391,4,3,638,8,479
,백령면제2투,1246,665,212,422,10,6,650,15,581
,백령면제3투,396,297,68,220,3,1,292,5,99
,백령면제4투,294,199,35,160,0,1,196,3,95
대청면,소계,1187,943,323,593,5,6,927,16,244
,관내사전투표,475,475,171,288,4,5,468,7,0
,대청면제1투,351,229,81,143,1,1,226,3,122
,대청면제2투,200,112,35,77,0,0,112,0,88
,대청면제3투,161,127,36,85,0,0,121,6,34
덕적면,소계,1448,1089,378,675,9,10,1072,17,359
,관내사전투표,501,501,191,296,3,4,494,7,0
,덕적면제1투,374,187,68,112,4,3,187,0,187
,덕적면제2투,233,148,36,108,1,0,145,3,85
,덕적면제3투,166,116,33,78,0,2,113,3,50
,덕적면제4투,77,65,22,39,0,1,62,3,12
,덕적면제5투,50,31,7,22,1,0,30,1,19
,덕적면제6투,47,41,21,20,0,0,41,0,6
자월면,소계,1010,745,248,469,9,8,734,11,265
,관내사전투표,252,252,94,150,2,2,248,4,0
,자월면제1투,271,125,43,74,2,2,121,4,146
,자월면제2투,179,130,38,85,2,3,128,2,49
,자월면제3투,223,170,62,107,0,1,170,0,53
,자월면제4투,85,68,11,53,3,0,67,1,17
영흥면,소계,5013,3185,1320,1759,30,30,3139,46,1828
,관내사전투표,1227,1227,584,622,6,5,1217,10,0
,영흥면제1투,1597,760,326,405,8,11,750,10,837
,영흥면제2투,1440,748,289,416,11,11,727,21,692
,영흥면제3투,749,450,121,316,5,3,445,5,299
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
