읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당조택상,미래통합당배준영,우리공화당조수진,국가혁명배당금당최부겸,계,무효투표수,기권수
합계,,115214,71230,38948,30098,776,612,70434,796,43984
거소·선상투표,,236,217,105,85,4,12,206,11,19
관외사전투표,,6621,6611,3817,2528,69,71,6485,126,10
국외부재자투표,,477,121,89,31,0,1,121,0,356
국외부재자투표(공관),,0,10,6,4,0,0,10,0,-10
신포동,소계,4372,2507,1188,1252,31,13,2484,23,1865
,관내사전투표,879,879,452,414,6,3,875,4,0
,신포동제1투,1847,995,483,475,16,6,980,15,852
,신포동제2투,1646,633,253,363,9,4,629,4,1013
연안동,소계,5660,3174,1434,1646,35,34,3149,25,2486
,관내사전투표,1303,1303,659,606,11,16,1292,11,0
,연안동제1투,689,319,134,171,6,7,318,1,370
,연안동제2투,1851,723,319,382,10,5,716,7,1128
,연안동제3투,1817,829,322,487,8,6,823,6,988
신흥동,소계,10651,6285,3082,2997,64,58,6201,84,4366
,관내사전투표,1829,1829,997,794,10,10,1811,18,0
,신흥동제1투,1607,704,307,361,8,13,689,15,903
,신흥동제2투,2502,1325,619,664,21,7,1311,14,1177
,신흥동제3투,464,246,135,102,3,2,242,4,218
,신흥동제4투,2662,1430,706,690,8,10,1414,16,1232
,신흥동제5투,1587,751,318,386,14,16,734,17,836
도원동,소계,3788,2380,1125,1175,21,25,2346,34,1408
,관내사전투표,1100,1100,529,538,5,11,1083,17,0
,도원동제1투,1474,687,327,330,9,13,679,8,787
,도원동제2투,1214,593,269,307,7,1,584,9,621
율목동,소계,3150,1846,844,925,27,18,1814,32,1304
,관내사전투표,920,920,444,447,12,8,911,9,0
,율목동투표소,2230,926,400,478,15,10,903,23,1304
동인천동,소계,5268,2955,1332,1528,30,28,2918,37,2313
,관내사전투표,1197,1197,596,569,6,12,1183,14,0
,동인천동제1투,1492,616,243,350,10,5,608,8,876
,동인천동제2투,2579,1142,493,609,14,11,1127,15,1437
북성동,소계,2586,1576,736,788,15,17,1556,20,1010
,관내사전투표,579,579,332,233,5,6,576,3,0
,북성동제1투,1368,608,240,338,10,8,596,12,760
,북성동제2투,639,389,164,217,0,3,384,5,250
송월동,소계,3850,2361,1207,1062,33,26,2328,33,1489
,관내사전투표,1178,1178,651,490,14,7,1162,16,0
,송월동제1투,1791,793,391,365,12,13,781,12,998
,송월동제2투,881,390,165,207,7,6,385,5,491
영종동,소계,12471,6968,3345,3446,72,49,6912,56,5503
,관내사전투표,2629,2628,1485,1088,23,18,2614,14,1
,영종동제1투,3522,1228,547,640,14,8,1209,19,2294
,영종동제2투,2778,1448,683,733,12,10,1438,10,1330
,영종동제3투,1437,708,262,419,13,6,700,8,729
,영종동제4투,2105,956,368,566,10,7,951,5,1149
용유동,소계,3528,2095,710,1324,20,19,2073,22,1433
,관내사전투표,718,718,314,383,6,4,707,11,0
,용유동제1투,1245,544,161,365,6,8,540,4,701
,용유동제2투,1015,453,147,292,5,6,450,3,562
,용유동제3투,488,332,78,247,3,1,329,3,156
,용유동제4투,62,48,10,37,0,0,47,1,14
운서동,소계,24359,14802,9370,4937,201,128,14636,166,9557
,관내사전투표,6773,6773,4783,1808,63,53,6707,66,0
,운서동제1투,3086,1444,761,629,21,13,1424,20,1642
,운서동제2투,2286,992,542,416,16,8,982,10,1294
,운서동제3투,2473,1414,846,527,23,10,1406,8,1059
,운서동제4투,3396,1307,761,482,25,16,1284,23,2089
,운서동제5투,2238,1225,731,437,28,15,1211,14,1013
,운서동제6투,4107,1647,946,638,25,13,1622,25,2460
영종1동,소계,28197,17311,10551,6366,154,113,17184,127,10886
,관내사전투표,3662,3662,2469,1128,22,15,3634,28,0
,영종1동제1투,3196,1442,863,535,13,16,1427,15,1754
,영종1동제2투,4177,2247,1341,841,32,13,2227,20,1930
,영종1동제3투,2926,1532,938,546,13,21,1518,14,1394
,영종1동제4투,4134,2331,1352,926,25,12,2315,16,1803
,영종1동제5투,3660,2221,1311,867,23,10,2211,10,1439
,영종1동제6투,2845,1751,1010,701,17,14,1742,9,1094
,영종1동제7투,2567,1567,972,573,5,7,1557,10,1000
,영종1동제8투,1030,558,295,249,4,5,553,5,472
잘못 투입·구분된 투표지,,0,11,7,4,0,0,11,0,-11
