읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김승남,민생당황주홍,무소속김화진,계,무효투표수,기권수
합계,,58877,44680,27293,14919,1330,43542,1138,14197
거소·선상투표,,296,254,151,82,11,244,10,42
관외사전투표,,3338,3335,2306,820,156,3282,53,3
국외부재자투표,,82,18,17,1,0,18,0,64
국외부재자투표(공관),,0,0,0,0,0,0,0,0
고흥읍,소계,9642,7082,4152,2504,326,6982,100,2560
,관내사전투표,3940,3940,2378,1366,152,3896,44,0
,고흥읍제1투,448,311,134,104,58,296,15,137
,고흥읍제2투,602,360,235,107,16,358,2,242
,고흥읍제3투,1524,874,528,304,31,863,11,650
,고흥읍제4투,1539,792,436,308,29,773,19,747
,고흥읍제5투,1589,805,441,315,40,796,9,784
도양읍,소계,9272,6624,4279,2084,147,6510,114,2648
,관내사전투표,3245,3242,2197,954,52,3203,39,3
,도양읍제1투,1410,759,474,258,15,747,12,651
,도양읍제2투,1135,590,394,178,9,581,9,545
,도양읍제3투,2085,1117,708,358,27,1093,24,968
,도양읍제4투,309,204,155,42,0,197,7,105
,도양읍제5투,375,234,138,83,6,227,7,141
,도양읍제6투,522,341,144,150,32,326,15,181
,도양읍제7투,191,137,69,61,6,136,1,54
풍양면,소계,2914,2328,1882,364,47,2293,35,586
,관내사전투표,1192,1192,965,190,21,1176,16,0
,풍양면제1투,559,320,230,75,8,313,7,239
,풍양면제2투,666,504,439,51,9,499,5,162
,풍양면제3투,497,312,248,48,9,305,7,185
도덕면,소계,2575,1929,1197,608,64,1869,60,646
,관내사전투표,1188,1188,746,359,40,1145,43,0
,도덕면제1투,790,392,243,123,16,382,10,398
,도덕면제2투,597,349,208,126,8,342,7,248
금산면,소계,3856,2943,1597,1198,53,2848,95,913
,관내사전투표,1928,1927,1061,763,30,1854,73,1
,금산면제1투,1025,477,223,234,12,469,8,548
,금산면제2투,903,539,313,201,11,525,14,364
도화면,소계,3602,2722,1678,871,80,2629,93,880
,관내사전투표,1492,1492,906,489,42,1437,55,0
,도화면제1투,323,197,132,50,6,188,9,126
,도화면제2투,875,517,321,158,22,501,16,358
,도화면제3투,912,516,319,174,10,503,13,396
포두면,소계,4282,3149,2115,891,66,3072,77,1133
,관내사전투표,1465,1465,980,414,39,1433,32,0
,포두면제1투,409,282,191,78,5,274,8,127
,포두면제2투,500,296,218,64,5,287,9,204
,포두면제3투,1173,626,424,180,12,616,10,547
,포두면제4투,735,480,302,155,5,462,18,255
봉래면,소계,1654,1274,692,526,21,1239,35,380
,관내사전투표,772,772,415,321,9,745,27,0
,봉래면투표소,882,502,277,205,12,494,8,380
동일면,소계,1308,970,619,305,19,943,27,338
,관내사전투표,537,537,356,156,9,521,16,0
,동일면투표소,771,433,263,149,10,422,11,338
점암면,소계,2214,1673,981,565,59,1605,68,541
,관내사전투표,908,908,543,303,30,876,32,0
,점암면제1투,590,326,175,123,12,310,16,264
,점암면제2투,367,227,132,73,11,216,11,140
,점암면제3투,349,212,131,66,6,203,9,137
영남면,소계,1171,886,519,290,29,838,48,285
,관내사전투표,484,484,270,169,15,454,30,0
,영남면제1투,369,266,185,61,9,255,11,103
,영남면제2투,318,136,64,60,5,129,7,182
과역면,소계,3186,2481,1510,841,57,2408,73,705
,관내사전투표,1732,1732,1046,586,44,1676,56,0
,과역면제1투,948,497,303,174,10,487,10,451
,과역면제2투,506,252,161,81,3,245,7,254
남양면,소계,1942,1437,770,575,35,1380,57,505
,관내사전투표,781,781,387,340,20,747,34,0
,남양면제1투,650,332,198,114,10,322,10,318
,남양면제2투,511,324,185,121,5,311,13,187
동강면,소계,2850,2086,1131,825,62,2018,68,764
,관내사전투표,1161,1161,639,448,36,1123,38,0
,동강면제1투,877,486,260,197,12,469,17,391
,동강면제2투,812,439,232,180,14,426,13,373
대서면,소계,2038,1525,676,748,36,1460,65,513
,관내사전투표,1077,1077,488,511,24,1023,54,0
,대서면제1투,582,247,115,117,7,239,8,335
,대서면제2투,379,201,73,120,5,198,3,178
두원면,소계,2655,1960,1018,820,62,1900,60,695
,관내사전투표,1250,1250,658,521,29,1208,42,0
,두원면제1투,767,354,170,148,24,342,12,413
,두원면제2투,638,356,190,151,9,350,6,282
잘못 투입·구분된 투표지,,0,4,3,1,0,4,0,-4
