읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김승남,민생당황주홍,무소속김화진,계,무효투표수,기권수
합계,,34098,24786,16349,7255,649,24253,533,9312
거소·선상투표,,163,153,95,47,4,146,7,10
관외사전투표,,2271,2269,1615,539,75,2229,40,2
국외부재자투표,,48,18,9,4,5,18,0,30
국외부재자투표(공관),,0,2,1,0,0,1,1,-2
장흥읍,소계,12083,8301,5413,2545,244,8202,99,3782
,관내사전투표,4605,4605,2998,1427,130,4555,50,0
,장흥읍제1투,1235,562,356,174,20,550,12,673
,장흥읍제2투,788,357,244,95,12,351,6,431
,장흥읍제3투,2003,1006,680,286,30,996,10,997
,장흥읍제4투,1762,886,572,282,26,880,6,876
,장흥읍제5투,1211,630,393,203,23,619,11,581
,장흥읍제6투,479,255,170,78,3,251,4,224
관산읍,소계,4355,3080,2030,908,51,2989,91,1275
,관내사전투표,1669,1669,1117,486,21,1624,45,0
,관산읍제1투,1046,491,310,154,13,477,14,555
,관산읍제2투,784,393,259,112,12,383,10,391
,관산읍제3투,856,527,344,156,5,505,22,329
대덕읍,소계,3019,2139,1347,673,63,2083,56,880
,관내사전투표,1191,1191,778,358,30,1166,25,0
,대덕읍제1투,1444,704,437,217,23,677,27,740
,대덕읍제2투,384,244,132,98,10,240,4,140
용산면,소계,1997,1474,994,420,23,1437,37,523
,관내사전투표,1015,1015,700,281,14,995,20,0
,용산면투표소,982,459,294,139,9,442,17,523
안양면,소계,2457,1724,1266,384,34,1684,40,733
,관내사전투표,996,996,727,231,19,977,19,0
,안양면제1투,720,307,215,72,10,297,10,413
,안양면제2투,741,421,324,81,5,410,11,320
장동면,소계,1088,811,475,294,20,789,22,277
,관내사전투표,475,475,278,176,10,464,11,0
,장동면투표소,613,336,197,118,10,325,11,277
장평면,소계,1868,1394,957,364,33,1354,40,474
,관내사전투표,836,836,560,231,18,809,27,0
,장평면제1투,720,355,253,88,9,350,5,365
,장평면제2투,312,203,144,45,6,195,8,109
유치면,소계,949,660,429,176,35,640,20,289
,관내사전투표,466,466,318,115,19,452,14,0
,유치면투표소,483,194,111,61,16,188,6,289
부산면,소계,1332,982,662,267,29,958,24,350
,관내사전투표,664,664,450,187,16,653,11,0
,부산면투표소,668,318,212,80,13,305,13,350
회진면,소계,2468,1778,1056,634,33,1723,55,690
,관내사전투표,1172,1172,700,415,17,1132,40,0
,회진면투표소,1296,606,356,219,16,591,15,690
잘못 투입·구분된 투표지,,0,1,0,0,0,0,1,-1
