읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이개호,민생당김연관,우리공화당김천식,국가혁명배당금당임태헌,무소속김선우,계,무효투표수,기권수
합계,,41649,28735,25503,921,234,225,1253,28136,599,12914
거소·선상투표,,61,55,46,2,0,1,4,53,2,6
관외사전투표,,3954,3952,3448,152,47,35,195,3877,75,2
국외부재자투표,,67,19,17,1,0,0,1,19,0,48
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
담양읍,소계,11153,6948,6241,181,28,46,342,6838,110,4205
,관내사전투표,3481,3481,3191,78,13,11,154,3447,34,0
,담양읍제1투,1499,678,603,25,3,2,28,661,17,821
,담양읍제2투,1233,585,513,10,2,9,38,572,13,648
,담양읍제3투,2454,1063,938,25,4,9,68,1044,19,1391
,담양읍제4투,1067,462,405,10,3,5,34,457,5,605
,담양읍제5투,1419,679,591,33,3,10,20,657,22,740
봉산면,소계,2378,1517,1384,46,11,8,45,1494,23,861
,관내사전투표,803,803,738,24,5,3,19,789,14,0
,봉산면제1투,1067,445,397,17,4,3,22,443,2,622
,봉산면제2투,508,269,249,5,2,2,4,262,7,239
고서면,소계,2731,1820,1634,61,12,16,69,1792,28,911
,관내사전투표,1067,1067,979,34,3,6,29,1051,16,0
,고서면제1투,870,380,331,16,3,4,22,376,4,490
,고서면제2투,794,373,324,11,6,6,18,365,8,421
창평면,소계,3096,2073,1821,90,17,14,78,2020,53,1023
,관내사전투표,1274,1274,1143,50,8,7,34,1242,32,0
,창평면제1투,1268,565,473,35,6,7,30,551,14,703
,창평면제2투,554,234,205,5,3,0,14,227,7,320
대덕면,소계,1536,997,882,39,9,5,38,973,24,539
,관내사전투표,510,510,465,15,3,3,17,503,7,0
,대덕면제1투,814,371,320,22,4,0,18,364,7,443
,대덕면제2투,212,116,97,2,2,2,3,106,10,96
무정면,소계,2561,1783,1424,61,20,37,159,1701,82,778
,관내사전투표,1172,1172,883,47,11,28,132,1101,71,0
,무정면제1투,891,360,325,8,3,5,15,356,4,531
,무정면제2투,498,251,216,6,6,4,12,244,7,247
금성면,소계,2247,1513,1360,38,12,10,46,1466,47,734
,관내사전투표,989,989,902,25,6,5,24,962,27,0
,금성면제1투,933,357,312,13,6,3,14,348,9,576
,금성면제2투,325,167,146,0,0,2,8,156,11,158
용면,소계,1617,1131,1020,34,13,4,39,1110,21,486
,관내사전투표,611,611,563,9,5,2,23,602,9,0
,용면제1투,723,347,311,14,2,1,13,341,6,376
,용면제2투,283,173,146,11,6,1,3,167,6,110
월산면,소계,2082,1392,1253,48,15,9,39,1364,28,690
,관내사전투표,865,865,786,27,8,4,21,846,19,0
,월산면제1투,879,348,303,15,7,5,12,342,6,531
,월산면제2투,338,179,164,6,0,0,6,176,3,159
수북면,소계,3670,2559,2296,81,16,24,90,2507,52,1111
,관내사전투표,1460,1460,1329,43,4,13,51,1440,20,0
,수북면제1투,1647,776,676,25,9,7,37,754,22,871
,수북면제2투,563,323,291,13,3,4,2,313,10,240
대전면,소계,3469,2276,2070,54,28,12,78,2242,34,1193
,관내사전투표,1224,1224,1141,23,7,3,35,1209,15,0
,대전면제1투,1583,710,621,27,17,6,26,697,13,873
,대전면제2투,662,342,308,4,4,3,17,336,6,320
가사문학면,소계,1027,700,607,33,6,4,30,680,20,327
,관내사전투표,445,445,398,14,4,2,16,434,11,0
,가사문학면제1투,294,119,94,9,2,1,8,114,5,175
,가사문학면제2투,288,136,115,10,0,1,6,132,4,152
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
