읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김원이,미래통합당황규원,민생당박지원,정의당윤소하,계,무효투표수,기권수
합계,,189615,128688,62065,2554,47528,15122,127269,1419,60927
거소·선상투표,,721,685,283,36,233,109,661,24,36
관외사전투표,,9700,9677,5048,330,2950,1212,9540,137,23
국외부재자투표,,283,54,37,2,12,3,54,0,229
국외부재자투표(공관),,0,1,1,0,0,0,1,0,-1
용당1동,소계,9565,6130,3052,147,2294,533,6026,104,3435
,관내사전투표,3255,3255,1769,48,1126,269,3212,43,0
,용당1동제1투,1721,808,364,26,319,81,790,18,913
,용당1동제2투,1501,602,287,16,239,48,590,12,899
,용당1동제3투,1485,761,331,19,330,72,752,9,724
,용당1동제4투,1603,704,301,38,280,63,682,22,899
용당2동,소계,5029,3366,1710,61,1261,296,3328,38,1663
,관내사전투표,1892,1892,1013,27,693,145,1878,14,0
,용당2동제1투,1744,817,379,23,328,73,803,14,927
,용당2동제2투,1393,657,318,11,240,78,647,10,736
연동,소계,4318,2750,1386,52,1021,236,2695,55,1568
,관내사전투표,1458,1458,764,22,545,94,1425,33,0
,연동제1투,1335,546,278,17,189,51,535,11,789
,연동제2투,1525,746,344,13,287,91,735,11,779
산정동,소계,7022,4702,2226,93,1810,527,4656,46,2320
,관내사전투표,2532,2532,1290,40,917,261,2508,24,0
,산정동제1투,2056,898,369,21,396,99,885,13,1158
,산정동제2투,2434,1272,567,32,497,167,1263,9,1162
연산동,소계,6632,4307,1941,66,1699,570,4276,31,2325
,관내사전투표,2132,2132,1049,18,817,235,2119,13,0
,연산동제1투,1725,876,354,14,339,166,873,3,849
,연산동제2투,2775,1299,538,34,543,169,1284,15,1476
원산동,소계,10550,6705,3081,131,2553,867,6632,73,3845
,관내사전투표,3258,3258,1624,37,1157,408,3226,32,0
,원산동제1투,1434,635,280,18,258,74,630,5,799
,원산동제2투,1883,919,388,17,357,147,909,10,964
,원산동제3투,2194,985,438,31,393,106,968,17,1209
,원산동제4투,1781,908,351,28,388,132,899,9,873
대성동,소계,4473,2984,1436,53,1147,316,2952,32,1489
,관내사전투표,1805,1805,904,18,673,186,1781,24,0
,대성동투표소,2668,1179,532,35,474,130,1171,8,1489
목원동,소계,7243,4662,2218,97,1814,449,4578,84,2581
,관내사전투표,2656,2656,1326,48,996,244,2614,42,0
,목원동제1투,1469,712,349,10,266,65,690,22,757
,목원동제2투,1562,656,274,23,271,75,643,13,906
,목원동제3투,1556,638,269,16,281,65,631,7,918
동명동,소계,5022,3288,1598,43,1325,260,3226,62,1734
,관내사전투표,1864,1863,931,21,736,143,1831,32,1
,동명동제1투,1641,723,339,10,303,56,708,15,918
,동명동제2투,1517,702,328,12,286,61,687,15,815
삼학동,소계,5648,3989,1964,57,1553,385,3959,30,1659
,관내사전투표,2485,2485,1281,25,948,212,2466,19,0
,삼학동제1투,1740,821,370,17,336,94,817,4,919
,삼학동제2투,1423,683,313,15,269,79,676,7,740
만호동,소계,2890,1744,791,24,742,154,1711,33,1146
,관내사전투표,1178,1178,544,15,497,100,1156,22,0
,만호동투표소,1712,566,247,9,245,54,555,11,1146
유달동,소계,4442,2844,1382,47,1092,258,2779,65,1598
,관내사전투표,1786,1786,878,27,678,167,1750,36,0
,유달동제1투,1113,402,184,9,162,38,393,9,711
,유달동제2투,1096,376,183,2,141,41,367,9,720
,유달동제3투,155,100,47,2,40,7,96,4,55
,유달동제4투,148,99,40,5,44,4,93,6,49
,유달동제5투,144,81,50,2,27,1,80,1,63
죽교동,소계,3143,1999,954,45,795,173,1967,32,1144
,관내사전투표,1227,1226,607,24,476,101,1208,18,1
,죽교동제1투,858,355,166,11,147,23,347,8,503
,죽교동제2투,1058,418,181,10,172,49,412,6,640
북항동,소계,8150,5560,2669,96,2093,639,5497,63,2590
,관내사전투표,3318,3318,1683,40,1189,375,3287,31,0
,북항동제1투,2616,1252,507,25,529,177,1238,14,1364
,북항동제2투,1134,470,238,15,164,44,461,9,664
,북항동제3투,1082,520,241,16,211,43,511,9,562
용해동,소계,12977,8369,4091,119,3012,1064,8286,83,4608
,관내사전투표,4182,4182,2204,54,1398,486,4142,40,0
,용해동제1투,1859,794,368,23,305,87,783,11,1065
,용해동제2투,2096,1010,462,13,385,142,1002,8,1086
,용해동제3투,2506,1187,527,19,454,172,1172,15,1319
,용해동제4투,2334,1196,530,10,470,177,1187,9,1138
이로동,소계,8106,5726,2635,105,2233,710,5683,43,2380
,관내사전투표,3073,3073,1497,34,1159,352,3042,31,0
,이로동제1투,1287,622,237,23,277,83,620,2,665
,이로동제2투,1590,799,355,25,318,96,794,5,791
,이로동제3투,2156,1232,546,23,479,179,1227,5,924
상동,소계,13125,8581,4108,165,3203,1005,8481,100,4544
,관내사전투표,3919,3918,2056,52,1364,386,3858,60,1
,상동제1투,1913,829,386,22,324,87,819,10,1084
,상동제2투,1561,564,280,22,205,52,559,5,997
,상동제3투,2180,1310,547,20,523,208,1298,12,870
,상동제4투,2525,1430,618,30,571,206,1425,5,1095
,상동제5투,1027,530,221,19,216,66,522,8,497
하당동,소계,9882,5818,2817,131,2078,731,5757,61,4064
,관내사전투표,2770,2770,1397,44,985,309,2735,35,0
,하당동제1투,2042,721,333,23,282,76,714,7,1321
,하당동제2투,2747,974,452,39,338,135,964,10,1773
,하당동제3투,2323,1353,635,25,473,211,1344,9,970
신흥동,소계,12596,8343,3862,158,3196,1073,8289,54,4253
,관내사전투표,3386,3385,1674,44,1263,387,3368,17,1
,신흥동제1투,2602,1319,583,26,529,176,1314,5,1283
,신흥동제2투,1587,878,423,25,310,110,868,10,709
,신흥동제3투,2250,1292,556,28,506,191,1281,11,958
,신흥동제4투,2771,1469,626,35,588,209,1458,11,1302
삼향동,소계,4378,3022,1422,70,1149,337,2978,44,1356
,관내사전투표,1804,1804,870,33,683,192,1778,26,0
,삼향동제1투,1240,593,262,16,235,68,581,12,647
,삼향동제2투,1334,625,290,21,231,77,619,6,709
옥암동,소계,8967,6391,3174,98,2249,829,6350,41,2576
,관내사전투표,3932,3932,2051,44,1338,482,3915,17,0
,옥암동제1투,2789,1337,623,31,485,185,1324,13,1452
,옥암동제2투,2246,1122,500,23,426,162,1111,11,1124
부흥동,소계,8725,6097,2960,109,2199,791,6059,38,2628
,관내사전투표,3694,3694,1848,52,1303,477,3680,14,0
,부흥동제1투,1743,713,327,17,267,94,705,8,1030
,부흥동제2투,1311,577,288,14,186,82,570,7,734
,부흥동제3투,1977,1113,497,26,443,138,1104,9,864
부주동,소계,16028,10890,5216,219,3814,1595,10844,46,5138
,관내사전투표,5697,5697,2978,86,1865,749,5678,19,0
,부주동제1투,1655,846,340,17,348,139,844,2,809
,부주동제2투,2324,984,440,19,356,162,977,7,1340
,부주동제3투,2941,1425,668,40,481,223,1412,13,1516
,부주동제4투,1409,749,301,25,298,124,748,1,660
,부주동제5투,2002,1189,489,32,466,198,1185,4,813
잘못 투입·구분된 투표지,,0,4,3,0,1,0,4,0,-4
