읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서동용,미래통합당김창남,정의당이경자,민중당유현주,국가혁명배당금당고주석,무소속정인화,무소속김종수,계,무효투표수,기권수
합계,,23328,16850,11461,666,427,378,97,3362,137,16528,322,6478
거소·선상투표,,89,85,53,6,3,3,0,10,3,78,7,4
관외사전투표,,1711,1710,1222,85,56,45,5,249,20,1682,28,1
국외부재자투표,,39,6,6,0,0,0,0,0,0,6,0,33
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0
구례읍,소계,8560,5852,3972,180,149,108,38,1260,37,5744,108,2708
,관내사전투표,2819,2817,1970,65,76,62,15,570,12,2770,47,2
,구례읍제1투,762,434,280,9,11,9,4,108,5,426,8,328
,구례읍제2투,1314,711,487,27,22,11,9,129,7,692,19,603
,구례읍제3투,1385,681,438,22,12,7,1,189,4,673,8,704
,구례읍제4투,946,498,338,15,12,9,4,106,2,486,12,448
,구례읍제5투,1334,711,459,42,16,10,5,158,7,697,14,623
문척면,소계,1206,855,560,43,24,28,5,176,5,841,14,351
,관내사전투표,456,456,316,17,15,10,3,85,3,449,7,0
,문척면투표소,750,399,244,26,9,18,2,91,2,392,7,351
간전면,소계,1290,943,660,33,31,9,4,173,12,922,21,347
,관내사전투표,399,399,299,6,4,4,1,77,4,395,4,0
,간전면제1투,420,239,150,13,11,3,0,53,0,230,9,181
,간전면제2투,230,159,123,7,3,1,1,15,3,153,6,71
,간전면제3투,241,146,88,7,13,1,2,28,5,144,2,95
토지면,소계,2152,1498,1005,73,36,40,16,290,14,1474,24,654
,관내사전투표,682,682,487,26,12,11,6,129,4,675,7,0
,토지면제1투,845,458,303,24,15,13,6,83,5,449,9,387
,토지면제2투,315,176,105,5,2,10,1,46,2,171,5,139
,토지면제3투,310,182,110,18,7,6,3,32,3,179,3,128
마산면,소계,2405,1702,1153,77,49,55,10,320,7,1671,31,703
,관내사전투표,1077,1077,744,34,29,36,10,199,3,1055,22,0
,마산면투표소,1328,625,409,43,20,19,0,121,4,616,9,703
광의면,소계,1975,1368,876,53,29,29,7,335,8,1337,31,607
,관내사전투표,659,659,415,16,9,19,4,176,3,642,17,0
,광의면제1투,781,418,280,20,16,6,2,80,3,407,11,363
,광의면제2투,535,291,181,17,4,4,1,79,2,288,3,244
용방면,소계,1367,1062,695,30,17,29,4,239,16,1030,32,305
,관내사전투표,643,643,426,19,7,16,2,150,5,625,18,0
,용방면투표소,724,419,269,11,10,13,2,89,11,405,14,305
산동면,소계,2534,1765,1259,86,32,32,8,308,14,1739,26,769
,관내사전투표,843,843,618,29,10,17,4,151,3,832,11,0
,산동면제1투,811,409,275,22,14,7,3,75,6,402,7,402
,산동면제2투,566,315,215,22,6,6,0,55,4,308,7,251
,산동면제3투,314,198,151,13,2,2,1,27,1,197,1,116
잘못 투입·구분된 투표지,,0,4,0,0,1,0,0,2,1,4,0,-4
