읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당서삼석,미래통합당이인호,민생당이윤석,계,무효투표수,기권수
합계,,46989,30009,23127,1269,4947,29343,666,16980
거소·선상투표,,265,257,163,35,38,236,21,8
관외사전투표,,3470,3469,2798,199,399,3396,73,1
국외부재자투표,,49,6,6,0,0,6,0,43
국외부재자투표(공관),,0,0,0,0,0,0,0,0
영암읍,소계,6647,4299,3070,154,998,4222,77,2348
,관내사전투표,2336,2336,1695,67,535,2297,39,0
,영암읍제1투,1875,816,578,29,195,802,14,1059
,영암읍제2투,1167,544,391,19,125,535,9,623
,영암읍제3투,1269,603,406,39,143,588,15,666
삼호읍,소계,15677,8258,6445,380,1309,8134,124,7419
,관내사전투표,2939,2938,2358,105,423,2886,52,1
,삼호읍제1투,2432,914,690,46,164,900,14,1518
,삼호읍제2투,2195,774,606,37,121,764,10,1421
,삼호읍제3투,922,464,336,10,105,451,13,458
,삼호읍제4투,3003,1271,979,55,229,1263,8,1732
,삼호읍제5투,996,404,283,24,87,394,10,592
,삼호읍제6투,1496,637,508,41,80,629,8,859
,삼호읍제7투,1694,856,685,62,100,847,9,838
덕진면,소계,1632,1075,844,37,162,1043,32,557
,관내사전투표,497,497,408,10,68,486,11,0
,덕진면제1투,588,260,197,10,43,250,10,328
,덕진면제2투,547,318,239,17,51,307,11,229
금정면,소계,1766,1161,929,53,131,1113,48,605
,관내사전투표,710,710,560,30,83,673,37,0
,금정면투표소,1056,451,369,23,48,440,11,605
신북면,소계,3277,2144,1769,60,278,2107,37,1133
,관내사전투표,1241,1241,1036,23,163,1222,19,0
,신북면제1투,1000,392,307,27,49,383,9,608
,신북면제2투,541,257,213,7,34,254,3,284
,신북면제3투,495,254,213,3,32,248,6,241
시종면,소계,3194,1931,1527,59,306,1892,39,1263
,관내사전투표,1074,1074,873,21,162,1056,18,0
,시종면제1투,1275,468,349,21,89,459,9,807
,시종면제2투,845,389,305,17,55,377,12,456
도포면,소계,1966,1258,992,40,193,1225,33,708
,관내사전투표,627,627,501,17,90,608,19,0
,도포면제1투,719,341,269,15,47,331,10,378
,도포면제2투,620,290,222,8,56,286,4,330
군서면,소계,2718,1844,1358,79,347,1784,60,874
,관내사전투표,904,904,684,31,158,873,31,0
,군서면제1투,778,331,227,20,72,319,12,447
,군서면제2투,1036,609,447,28,117,592,17,427
서호면,소계,1691,1126,829,54,208,1091,35,565
,관내사전투표,647,647,471,26,130,627,20,0
,서호면투표소,1044,479,358,28,78,464,15,565
학산면,소계,2858,2059,1524,72,401,1997,62,799
,관내사전투표,1245,1245,925,29,256,1210,35,0
,학산면제1투,683,296,223,14,54,291,5,387
,학산면제2투,604,339,241,23,64,328,11,265
,학산면제3투,326,179,135,6,27,168,11,147
미암면,소계,1779,1121,872,47,177,1096,25,658
,관내사전투표,505,505,401,12,83,496,9,0
,미암면투표소,1274,616,471,35,94,600,16,658
잘못 투입·구분된 투표지,,0,1,1,0,0,1,0,-1
