읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이원택,민생당김경민,국가혁명배당금당박정요,무소속김종회,계,무효투표수,기권수
합계,,74066,48983,31224,1228,396,15213,48061,922,25083
거소·선상투표,,503,454,267,40,19,99,425,29,49
관외사전투표,,4530,4525,3212,197,52,989,4450,75,5
국외부재자투표,,116,33,21,2,3,6,32,1,83
국외부재자투표(공관),,0,3,3,0,0,0,3,0,-3
만경읍,소계,2427,1675,992,31,13,610,1646,29,752
,관내사전투표,887,887,545,14,6,308,873,14,0
,만경읍제1투,708,374,213,10,5,135,363,11,334
,만경읍제2투,832,414,234,7,2,167,410,4,418
죽산면,소계,2160,1379,684,28,11,621,1344,35,781
,관내사전투표,788,788,370,14,4,379,767,21,0
,죽산면투표소,1372,591,314,14,7,242,577,14,781
백산면,소계,2256,1419,851,33,3,496,1383,36,837
,관내사전투표,663,663,409,9,2,226,646,17,0
,백산면제1투,909,407,227,8,0,161,396,11,502
,백산면제2투,684,349,215,16,1,109,341,8,335
용지면,소계,3121,1966,1268,47,18,579,1912,54,1155
,관내사전투표,1088,1087,715,17,5,323,1060,27,1
,용지면투표소,2033,879,553,30,13,256,852,27,1154
백구면,소계,3306,2119,1693,45,17,322,2077,42,1187
,관내사전투표,1088,1088,897,9,3,163,1072,16,0
,백구면제1투,1151,548,425,20,10,79,534,14,603
,백구면제2투,1067,483,371,16,4,80,471,12,584
부량면,소계,1178,785,474,15,6,270,765,20,393
,관내사전투표,414,414,246,10,1,147,404,10,0
,부량면투표소,764,371,228,5,5,123,361,10,393
공덕면,소계,2258,1433,1007,43,9,344,1403,30,825
,관내사전투표,704,704,519,18,4,157,698,6,0
,공덕면투표소,1554,729,488,25,5,187,705,24,825
청하면,소계,1560,1079,673,31,8,342,1054,25,481
,관내사전투표,565,565,362,11,1,180,554,11,0
,청하면투표소,995,514,311,20,7,162,500,14,481
성덕면,소계,1573,1017,427,17,4,549,997,20,556
,관내사전투표,529,529,228,8,2,283,521,8,0
,성덕면투표소,1044,488,199,9,2,266,476,12,556
진봉면,소계,2236,1428,718,26,10,640,1394,34,808
,관내사전투표,664,663,318,8,4,322,652,11,1
,진봉면제1투,1010,432,196,12,5,204,417,15,578
,진봉면제2투,562,333,204,6,1,114,325,8,229
금구면,소계,4183,2619,1874,79,23,595,2571,48,1564
,관내사전투표,1218,1217,880,32,11,282,1205,12,1
,금구면제1투,1499,653,441,27,7,162,637,16,846
,금구면제2투,750,362,274,7,3,70,354,8,388
,금구면제3투,716,387,279,13,2,81,375,12,329
봉남면,소계,1948,1269,730,35,11,460,1236,33,679
,관내사전투표,592,592,353,15,3,210,581,11,0
,봉남면투표소,1356,677,377,20,8,250,655,22,679
황산면,소계,1808,1261,681,18,15,513,1227,34,547
,관내사전투표,751,751,402,7,10,314,733,18,0
,황산면투표소,1057,510,279,11,5,199,494,16,547
금산면,소계,4090,2624,1685,59,25,798,2567,57,1466
,관내사전투표,1356,1356,892,26,11,401,1330,26,0
,금산면제1투,1462,656,394,15,11,215,635,21,806
,금산면제2투,1272,612,399,18,3,182,602,10,660
광활면,소계,1218,816,467,12,3,312,794,22,402
,관내사전투표,376,376,212,5,1,147,365,11,0
,광활면투표소,842,440,255,7,2,165,429,11,402
요촌동,소계,9255,5803,3651,130,39,1922,5742,61,3452
,관내사전투표,2996,2996,1976,71,18,910,2975,21,0
,요촌동제1투,2483,955,580,21,11,330,942,13,1528
,요촌동제2투,1523,746,416,13,6,300,735,11,777
,요촌동제3투,1608,739,437,17,3,274,731,8,869
,요촌동제4투,645,367,242,8,1,108,359,8,278
신풍동,소계,9567,5877,3806,127,35,1821,5789,88,3690
,관내사전투표,2422,2422,1632,46,16,700,2394,28,0
,신풍동제1투,1363,581,353,15,4,199,571,10,782
,신풍동제2투,1339,684,440,16,4,210,670,14,655
,신풍동제3투,1910,940,584,24,6,311,925,15,970
,신풍동제4투,1443,669,433,15,4,209,661,8,774
,신풍동제5투,1090,581,364,11,1,192,568,13,509
검산동,소계,9140,5846,3829,128,43,1757,5757,89,3294
,관내사전투표,3024,3023,2088,52,14,837,2991,32,1
,검산동제1투,3111,1352,836,35,10,443,1324,28,1759
,검산동제2투,1389,695,444,23,16,193,676,19,694
,검산동제3투,1616,776,461,18,3,284,766,10,840
교월동,소계,5633,3552,2210,85,29,1168,3492,60,2081
,관내사전투표,1756,1756,1126,35,15,554,1730,26,0
,교월동제1투,1398,623,384,18,7,205,614,9,775
,교월동제2투,1144,564,344,17,2,193,556,8,580
,교월동제3투,1335,609,356,15,5,216,592,17,726
잘못 투입·구분된 투표지,,0,1,1,0,0,0,1,0,-1
