읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당윤재갑,민생당윤영일,국가혁명배당금당강상범,계,무효투표수,기권수
합계,,27067,18107,11688,5535,403,17626,481,8960
거소·선상투표,,206,189,155,30,2,187,2,17
관외사전투표,,1413,1411,1021,330,23,1374,37,2
국외부재자투표,,37,13,8,4,1,13,0,24
국외부재자투표(공관),,0,0,0,0,0,0,0,0
진도읍,소계,8440,5585,3430,1958,98,5486,99,2855
,관내사전투표,3075,3075,1976,995,52,3023,52,0
,진도읍제1투,2229,1067,623,398,24,1045,22,1162
,진도읍제2투,2409,1086,626,423,19,1068,18,1323
,진도읍제3투,727,357,205,142,3,350,7,370
군내면,소계,2647,1797,1130,582,36,1748,49,850
,관내사전투표,810,810,524,251,14,789,21,0
,군내면제1투,554,280,162,101,7,270,10,274
,군내면제2투,687,357,225,120,6,351,6,330
,군내면제3투,596,350,219,110,9,338,12,246
고군면,소계,3081,1981,1360,538,28,1926,55,1100
,관내사전투표,831,831,594,199,18,811,20,0
,고군면제1투,782,346,253,79,3,335,11,436
,고군면제2투,730,390,230,145,5,380,10,340
,고군면제3투,738,414,283,115,2,400,14,324
의신면,소계,3098,1982,1181,702,51,1934,48,1116
,관내사전투표,884,883,518,322,22,862,21,1
,의신면제1투,876,410,252,133,13,398,12,466
,의신면제2투,481,247,157,77,6,240,7,234
,의신면제3투,857,442,254,170,10,434,8,415
임회면,소계,3024,1923,1334,502,34,1870,53,1101
,관내사전투표,859,859,608,218,8,834,25,0
,임회면제1투,926,438,306,113,11,430,8,488
,임회면제2투,591,342,234,91,7,332,10,249
,임회면제3투,648,284,186,80,8,274,10,364
지산면,소계,2812,1781,1155,521,41,1717,64,1031
,관내사전투표,742,742,497,213,12,722,20,0
,지산면제1투,854,384,256,110,6,372,12,470
,지산면제2투,699,380,233,120,8,361,19,319
,지산면제3투,517,275,169,78,15,262,13,242
조도면,소계,2309,1445,914,368,89,1371,74,864
,관내사전투표,548,548,346,153,23,522,26,0
,조도면제1투,901,376,243,106,12,361,15,525
,조도면제2투,111,63,37,14,5,56,7,48
,조도면제3투,87,66,24,33,4,61,5,21
,조도면제4투,193,131,65,14,39,118,13,62
,조도면제5투,105,55,43,7,2,52,3,50
,조도면제6투,135,68,51,12,4,67,1,67
,조도면제7투,229,138,105,29,0,134,4,91
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
