읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이원택,민생당김경민,국가혁명배당금당박정요,무소속김종회,계,무효투표수,기권수
합계,,47303,30545,20757,2940,249,5949,29895,650,16758
거소·선상투표,,232,215,143,26,3,33,205,10,17
관외사전투표,,3068,3066,2237,280,22,453,2992,74,2
국외부재자투표,,81,18,13,2,0,3,18,0,63
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
부안읍,소계,15647,9465,6377,1080,68,1799,9324,141,6182
,관내사전투표,4801,4801,3349,510,22,864,4745,56,0
,부안읍제1투,907,362,220,58,5,72,355,7,545
,부안읍제2투,902,418,258,61,7,87,413,5,484
,부안읍제3투,1828,821,534,123,5,142,804,17,1007
,부안읍제4투,1551,595,402,75,5,102,584,11,956
,부안읍제5투,2206,982,637,104,5,222,968,14,1224
,부안읍제6투,2618,1088,692,116,15,245,1068,20,1530
,부안읍제7투,834,398,285,33,4,65,387,11,436
주산면,소계,1817,1151,769,92,13,242,1116,35,666
,관내사전투표,618,618,412,44,8,137,601,17,0
,주산면투표소,1199,533,357,48,5,105,515,18,666
동진면,소계,2534,1483,1010,127,17,295,1449,34,1051
,관내사전투표,626,626,434,44,2,134,614,12,0
,동진면제1투,840,331,222,35,4,60,321,10,509
,동진면제2투,445,203,135,15,8,40,198,5,242
,동진면제3투,623,323,219,33,3,61,316,7,300
행안면,소계,2517,1753,1115,214,16,372,1717,36,764
,관내사전투표,1158,1158,772,135,9,222,1138,20,0
,행안면투표소,1359,595,343,79,7,150,579,16,764
계화면,소계,3089,1965,1288,120,19,490,1917,48,1124
,관내사전투표,796,795,515,50,8,208,781,14,1
,계화면제1투,1245,558,372,31,4,139,546,12,687
,계화면제2투,625,361,218,25,3,103,349,12,264
,계화면제3투,423,251,183,14,4,40,241,10,172
보안면,소계,2147,1307,893,119,14,252,1278,29,840
,관내사전투표,651,651,468,51,4,118,641,10,0
,보안면투표소,1496,656,425,68,10,134,637,19,840
변산면,소계,3880,2366,1700,166,23,432,2321,45,1514
,관내사전투표,989,989,725,75,9,162,971,18,0
,변산면제1투,1145,507,341,33,3,117,494,13,638
,변산면제2투,1746,870,634,58,11,153,856,14,876
진서면,소계,2118,1369,944,127,8,256,1335,34,749
,관내사전투표,621,621,440,59,3,103,605,16,0
,진서면제1투,887,416,289,47,3,71,410,6,471
,진서면제2투,610,332,215,21,2,82,320,12,278
백산면,소계,2334,1480,1007,121,8,307,1443,37,854
,관내사전투표,732,732,497,68,3,149,717,15,0
,백산면제1투,931,415,287,27,4,81,399,16,516
,백산면제2투,671,333,223,26,1,77,327,6,338
상서면,소계,1994,1267,741,187,9,297,1234,33,727
,관내사전투표,742,742,451,108,6,162,727,15,0
,상서면투표소,1252,525,290,79,3,135,507,18,727
하서면,소계,2451,1480,979,160,11,291,1441,39,971
,관내사전투표,780,780,533,81,3,148,765,15,0
,하서면투표소,1671,700,446,79,8,143,676,24,971
줄포면,소계,2436,1545,1135,99,12,263,1509,36,891
,관내사전투표,828,828,627,54,4,125,810,18,0
,줄포면투표소,1608,717,508,45,8,138,699,18,891
위도면,소계,958,615,406,20,6,164,596,19,343
,관내사전투표,264,264,172,11,5,69,257,7,0
,위도면제1투,560,269,185,9,1,64,259,10,291
,위도면제2투,134,82,49,0,0,31,80,2,52
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
