읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이강래,정의당정상모,무소속이용호,무소속방경채,계,무효투표수,기권수
합계,,70326,52037,21190,1398,27912,663,51163,874,18289
거소·선상투표,,324,296,111,5,135,7,258,38,28
관외사전투표,,3713,3711,1908,160,1517,53,3638,73,2
국외부재자투표,,128,26,22,1,3,0,26,0,102
국외부재자투표(공관),,0,3,3,0,0,0,3,0,-3
운봉읍,소계,3367,2398,1030,79,1209,24,2342,56,969
,관내사전투표,1413,1413,625,40,707,10,1382,31,0
,운봉읍제1투,874,427,178,15,213,7,413,14,447
,운봉읍제2투,1080,558,227,24,289,7,547,11,522
주천면,소계,2103,1585,654,34,839,23,1550,35,518
,관내사전투표,972,972,400,21,523,9,953,19,0
,주천면제1투,941,480,197,11,256,6,470,10,461
,주천면제2투,190,133,57,2,60,8,127,6,57
수지면,소계,1020,714,274,13,369,40,696,18,306
,관내사전투표,440,440,174,10,212,31,427,13,0
,수지면투표소,580,274,100,3,157,9,269,5,306
송동면,소계,1752,1249,467,24,708,22,1221,28,503
,관내사전투표,789,789,279,16,464,13,772,17,0
,송동면투표소,963,460,188,8,244,9,449,11,503
주생면,소계,1600,1205,452,46,656,28,1182,23,395
,관내사전투표,695,695,278,29,366,12,685,10,0
,주생면투표소,905,510,174,17,290,16,497,13,395
금지면,소계,2066,1522,705,33,724,25,1487,35,544
,관내사전투표,785,785,352,21,381,11,765,20,0
,금지면투표소,1281,737,353,12,343,14,722,15,544
대강면,소계,1425,986,360,25,562,10,957,29,439
,관내사전투표,526,526,194,8,308,5,515,11,0
,대강면투표소,899,460,166,17,254,5,442,18,439
대산면,소계,1479,1070,484,22,516,13,1035,35,409
,관내사전투표,751,751,343,11,361,7,722,29,0
,대산면투표소,728,319,141,11,155,6,313,6,409
사매면,소계,1345,1044,389,21,607,7,1024,20,301
,관내사전투표,688,688,253,17,395,6,671,17,0
,사매면투표소,657,356,136,4,212,1,353,3,301
덕과면,소계,787,608,202,16,372,3,593,15,179
,관내사전투표,337,337,103,8,218,1,330,7,0
,덕과면투표소,450,271,99,8,154,2,263,8,179
보절면,소계,1328,1004,217,20,724,18,979,25,324
,관내사전투표,700,700,146,12,514,16,688,12,0
,보절면투표소,628,304,71,8,210,2,291,13,324
산동면,소계,1567,1188,517,29,590,25,1161,27,379
,관내사전투표,794,794,357,24,379,19,779,15,0
,산동면투표소,773,394,160,5,211,6,382,12,379
이백면,소계,1915,1419,555,31,791,19,1396,23,496
,관내사전투표,1014,1014,411,20,549,15,995,19,0
,이백면투표소,901,405,144,11,242,4,401,4,496
인월면,소계,2410,1791,874,56,806,21,1757,34,619
,관내사전투표,1098,1098,558,36,474,11,1079,19,0
,인월면투표소,1312,693,316,20,332,10,678,15,619
아영면,소계,1692,1262,569,42,619,14,1244,18,430
,관내사전투표,805,805,363,26,400,10,799,6,0
,아영면투표소,887,457,206,16,219,4,445,12,430
산내면,소계,1680,1248,501,127,580,15,1223,25,432
,관내사전투표,802,802,296,79,402,10,787,15,0
,산내면투표소,878,446,205,48,178,5,436,10,432
동충동,소계,3174,2323,924,46,1292,31,2293,30,851
,관내사전투표,1516,1516,606,33,842,18,1499,17,0
,동충동투표소,1658,807,318,13,450,13,794,13,851
죽항동,소계,3165,2231,874,46,1250,26,2196,35,934
,관내사전투표,1542,1542,623,37,853,11,1524,18,0
,죽항동투표소,1623,689,251,9,397,15,672,17,934
노암동,소계,4831,3494,1396,81,1937,38,3452,42,1337
,관내사전투표,2052,2052,861,40,1108,13,2022,30,0
,노암동제1투,704,371,127,11,225,6,369,2,333
,노암동제2투,2075,1071,408,30,604,19,1061,10,1004
금동,소계,5474,3955,1499,87,2305,31,3922,33,1519
,관내사전투표,2291,2290,875,52,1335,14,2276,14,1
,금동제1투,1239,637,224,12,385,8,629,8,602
,금동제2투,1944,1028,400,23,585,9,1017,11,916
왕정동,소계,3582,2568,965,53,1476,38,2532,36,1014
,관내사전투표,1545,1545,583,28,901,15,1527,18,0
,왕정동제1투,1086,546,196,14,315,9,534,12,540
,왕정동제2투,951,477,186,11,260,14,471,6,474
향교동,소계,6196,4244,1755,105,2280,48,4188,56,1952
,관내사전투표,2711,2711,1133,62,1471,18,2684,27,0
,향교동제1투,1741,736,291,25,398,8,722,14,1005
,향교동제2투,1032,505,186,9,285,16,496,9,527
,향교동제3투,712,292,145,9,126,6,286,6,420
도통동,소계,12203,8889,3483,195,5043,84,8805,84,3314
,관내사전투표,5307,5305,2157,105,2971,34,5267,38,2
,도통동제1투,1407,752,256,19,458,9,742,10,655
,도통동제2투,1362,735,262,19,438,6,725,10,627
,도통동제3투,2406,1247,493,36,692,15,1236,11,1159
,도통동제4투,1721,850,315,16,484,20,835,15,871
잘못 투입·구분된 투표지,,0,4,0,1,2,0,3,1,-4
