읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이강래,정의당정상모,무소속이용호,무소속방경채,계,무효투표수,기권수
합계,,24821,18579,10076,448,7368,285,18177,402,6242
거소·선상투표,,193,183,129,2,48,1,180,3,10
관외사전투표,,2044,2042,1243,79,661,29,2012,30,2
국외부재자투표,,36,6,1,3,2,0,6,0,30
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0
순창읍,소계,7663,5449,2755,99,2464,60,5378,71,2214
,관내사전투표,2854,2854,1534,51,1207,23,2815,39,0
,순창읍제1투,1417,711,335,12,345,11,703,8,706
,순창읍제2투,1746,947,460,17,446,14,937,10,799
,순창읍제3투,1646,937,426,19,466,12,923,14,709
인계면,소계,1268,925,532,27,331,15,905,20,343
,관내사전투표,626,626,369,19,214,6,608,18,0
,인계면투표소,642,299,163,8,117,9,297,2,343
동계면,소계,1677,1239,670,34,471,22,1197,42,438
,관내사전투표,723,723,388,18,283,13,702,21,0
,동계면제1투,594,324,168,10,126,6,310,14,270
,동계면제2투,360,192,114,6,62,3,185,7,168
적성면,소계,1146,861,501,24,295,12,832,29,285
,관내사전투표,647,647,381,18,214,11,624,23,0
,적성면투표소,499,214,120,6,81,1,208,6,285
유등면,소계,1013,748,474,22,225,9,730,18,265
,관내사전투표,477,477,309,17,135,4,465,12,0
,유등면투표소,536,271,165,5,90,5,265,6,265
풍산면,소계,1393,1017,522,28,406,28,984,33,376
,관내사전투표,460,460,264,13,164,8,449,11,0
,풍산면제1투,453,259,134,5,100,9,248,11,194
,풍산면제2투,480,298,124,10,142,11,287,11,182
금과면,소계,1497,1118,678,20,382,21,1101,17,379
,관내사전투표,684,684,439,13,213,9,674,10,0
,금과면투표소,813,434,239,7,169,12,427,7,379
팔덕면,소계,1274,936,499,25,384,12,920,16,338
,관내사전투표,606,606,348,16,228,3,595,11,0
,팔덕면투표소,668,330,151,9,156,9,325,5,338
복흥면,소계,1859,1322,702,29,543,21,1295,27,537
,관내사전투표,735,735,407,20,285,10,722,13,0
,복흥면제1투,719,348,182,6,147,9,344,4,371
,복흥면제2투,405,239,113,3,111,2,229,10,166
쌍치면,소계,1692,1226,637,22,499,26,1184,42,466
,관내사전투표,629,628,348,7,236,11,602,26,1
,쌍치면제1투,570,311,140,7,145,10,302,9,259
,쌍치면제2투,493,287,149,8,118,5,280,7,206
구림면,소계,2066,1504,732,34,656,29,1451,53,562
,관내사전투표,879,879,466,19,349,20,854,25,0
,구림면제1투,787,393,174,11,182,5,372,21,394
,구림면제2투,400,232,92,4,125,4,225,7,168
잘못 투입·구분된 투표지,,0,3,1,0,1,0,2,1,-3
