읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당안호영,미래통합당김창도,무소속임정엽,계,무효투표수,기권수
합계,,21521,15675,8354,902,6118,15374,301,5846
거소·선상투표,,148,138,58,4,72,134,4,10
관외사전투표,,1299,1299,842,141,292,1275,24,0
국외부재자투표,,45,15,9,3,3,15,0,30
국외부재자투표(공관),,0,0,0,0,0,0,0,0
무주읍,소계,7693,5426,2780,253,2311,5344,82,2267
,관내사전투표,3228,3228,1770,112,1289,3171,57,0
,무주읍제1투,1614,850,391,48,402,841,9,764
,무주읍제2투,1728,848,400,53,386,839,9,880
,무주읍제3투,1123,500,219,40,234,493,7,623
무풍면,소계,2008,1438,627,98,683,1408,30,570
,관내사전투표,691,691,303,38,332,673,18,0
,무풍면제1투,1123,616,263,52,289,604,12,507
,무풍면제2투,194,131,61,8,62,131,0,63
설천면,소계,3260,2301,1205,117,942,2264,37,959
,관내사전투표,1154,1153,615,49,478,1142,11,1
,설천면제1투,1210,595,282,40,257,579,16,615
,설천면제2투,896,553,308,28,207,543,10,343
적상면,소계,2227,1590,745,98,705,1548,42,637
,관내사전투표,641,641,346,23,258,627,14,0
,적상면제1투,687,397,169,42,171,382,15,290
,적상면제2투,311,197,85,9,100,194,3,114
,적상면제3투,588,355,145,24,176,345,10,233
안성면,소계,3647,2575,1634,127,766,2527,48,1072
,관내사전투표,1283,1283,830,44,387,1261,22,0
,안성면제1투,1110,616,395,39,169,603,13,494
,안성면제2투,1254,676,409,44,210,663,13,578
부남면,소계,1194,893,454,61,344,859,34,301
,관내사전투표,526,526,254,36,225,515,11,0
,부남면투표소,668,367,200,25,119,344,23,301
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0
