읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당안호영,미래통합당김창도,무소속임정엽,계,무효투표수,기권수
합계,,78113,54010,28573,2175,22440,53188,822,24103
거소·선상투표,,272,253,156,23,61,240,13,19
관외사전투표,,6781,6774,4353,348,1979,6680,94,7
국외부재자투표,,146,32,24,6,2,32,0,114
국외부재자투표(공관),,0,0,0,0,0,0,0,0
삼례읍,소계,11611,7242,4178,284,2653,7115,127,4369
,관내사전투표,3434,3433,2066,93,1223,3382,51,1
,삼례읍제1투,2303,970,522,52,374,948,22,1333
,삼례읍제2투,2036,1005,543,42,400,985,20,1031
,삼례읍제3투,2130,1002,570,55,357,982,20,1128
,삼례읍제4투,1708,832,477,42,299,818,14,876
봉동읍,소계,18749,12202,5831,426,5778,12035,167,6547
,관내사전투표,5445,5444,2733,118,2517,5368,76,1
,봉동읍제1투,2299,1062,449,36,558,1043,19,1237
,봉동읍제2투,3070,1448,684,66,672,1422,26,1622
,봉동읍제3투,834,418,199,11,205,415,3,416
,봉동읍제4투,1364,610,302,49,249,600,10,754
,봉동읍제5투,2719,1625,739,62,810,1611,14,1094
,봉동읍제6투,3018,1595,725,84,767,1576,19,1423
용진읍,소계,5764,3886,1692,107,2038,3837,49,1878
,관내사전투표,1581,1581,761,26,769,1556,25,0
,용진읍제1투,810,482,175,15,287,477,5,328
,용진읍제2투,1011,615,259,13,341,613,2,396
,용진읍제3투,959,565,228,16,312,556,9,394
,용진읍제4투,1403,643,269,37,329,635,8,760
상관면,소계,3498,2325,1267,103,922,2292,33,1173
,관내사전투표,1250,1250,754,49,439,1242,8,0
,상관면제1투,1708,792,389,40,344,773,19,916
,상관면제2투,540,283,124,14,139,277,6,257
이서면,소계,9924,6270,4074,313,1814,6201,69,3654
,관내사전투표,2535,2534,1713,83,719,2515,19,1
,이서면제1투,1611,706,426,37,230,693,13,905
,이서면제2투,2605,1308,796,74,416,1286,22,1297
,이서면제3투,3173,1722,1139,119,449,1707,15,1451
소양면,소계,5228,3449,1739,150,1496,3385,64,1779
,관내사전투표,1548,1548,840,60,613,1513,35,0
,소양면제1투,1005,461,241,26,189,456,5,544
,소양면제2투,952,581,261,17,290,568,13,371
,소양면제3투,725,354,154,22,172,348,6,371
,소양면제4투,998,505,243,25,232,500,5,493
구이면,소계,4768,3343,1436,78,1775,3289,54,1425
,관내사전투표,1509,1509,697,25,766,1488,21,0
,구이면제1투,1298,710,303,21,375,699,11,588
,구이면제2투,1075,634,212,14,392,618,16,441
,구이면제3투,886,490,224,18,242,484,6,396
고산면,소계,4162,2998,1484,100,1356,2940,58,1164
,관내사전투표,1824,1824,952,41,808,1801,23,0
,고산면제1투,1589,771,328,38,377,743,28,818
,고산면제2투,749,403,204,21,171,396,7,346
비봉면,소계,1675,1217,565,37,591,1193,24,458
,관내사전투표,631,631,316,18,280,614,17,0
,비봉면제1투,701,360,157,6,193,356,4,341
,비봉면제2투,343,226,92,13,118,223,3,117
운주면,소계,1699,1226,559,92,558,1209,17,473
,관내사전투표,752,752,354,50,334,738,14,0
,운주면투표소,947,474,205,42,224,471,3,473
화산면,소계,2139,1506,672,59,745,1476,30,633
,관내사전투표,859,859,390,15,442,847,12,0
,화산면투표소,1280,647,282,44,303,629,18,633
동상면,소계,775,548,211,17,309,537,11,227
,관내사전투표,330,330,134,5,182,321,9,0
,동상면투표소,445,218,77,12,127,216,2,227
경천면,소계,922,737,331,32,362,725,12,185
,관내사전투표,477,477,233,16,222,471,6,0
,경천면투표소,445,260,98,16,140,254,6,185
잘못 투입·구분된 투표지,,0,2,1,0,1,2,0,-2
